time_s,current_A,voltage_V,temperature_C,phase,window
0.0,0,0.780371,25.00,rest,
10.0,0,0.780294,25.00,rest,
20.0,0,0.780526,25.00,rest,
30.0,0,0.780365,25.00,rest,
40.0,0,0.780173,25.00,rest,
50.0,0,0.780442,25.00,rest,
60.0,0,0.780725,25.00,rest,
70.0,0,0.780618,25.00,rest,
80.0,0,0.780122,25.00,rest,
90.0,0,0.779954,25.00,rest,
100.0,0,0.780146,25.00,rest,
110.0,0,0.780346,25.00,rest,
120.0,0,0.779636,25.00,rest,
130.0,0,0.780268,25.00,rest,
140.0,0,0.779960,25.00,rest,
150.0,0,0.780114,25.00,rest,
160.0,0,0.780170,25.00,rest,
170.0,0,0.780238,25.00,rest,
180.0,0,0.780457,25.00,rest,
190.0,0,0.780646,25.00,rest,
200.0,0,0.780295,25.00,rest,
210.0,0,0.780743,25.00,rest,
220.0,0,0.780134,25.00,rest,
230.0,0,0.780439,25.00,rest,
240.0,0,0.780604,25.00,rest,
250.0,0,0.780362,25.00,rest,
260.0,0,0.780110,25.00,rest,
270.0,0,0.780057,25.00,rest,
280.0,0,0.780196,25.00,rest,
290.0,0,0.780399,25.00,rest,
300.0,0,0.780030,25.00,rest,
310.0,0,0.780271,25.00,rest,
320.0,0,0.780286,25.00,rest,
330.0,0,0.780496,25.00,rest,
340.0,0,0.780398,25.00,rest,
350.0,0,0.780440,25.00,rest,
360.0,0,0.780137,25.00,rest,
370.0,0,0.780295,25.00,rest,
380.0,0,0.780569,25.00,rest,
390.0,0,0.780781,25.00,rest,
400.0,0,0.779956,25.00,rest,
410.0,0,0.780788,25.00,rest,
420.0,0,0.780737,25.00,rest,
430.0,0,0.780568,25.00,rest,
440.0,0,0.780413,25.00,rest,
450.0,0,0.780239,25.00,rest,
460.0,0,0.780771,25.00,rest,
470.0,0,0.780921,25.00,rest,
480.0,0,0.780874,25.00,rest,
490.0,0,0.780728,25.00,rest,
500.0,0,0.780441,25.00,rest,
510.0,0,0.779971,25.00,rest,
520.0,0,0.780332,25.00,rest,
530.0,0,0.780530,25.00,rest,
540.0,0,0.779947,25.00,rest,
