time_s,current_A,voltage_V,temperature_C,phase,window
0.0,0,0.780334,25.00,rest,
10.0,0,0.780423,25.00,rest,
20.0,0,0.780251,25.00,rest,
30.0,0,0.780066,25.00,rest,
40.0,0,0.780197,25.00,rest,
50.0,0,0.780036,25.00,rest,
60.0,0,0.780351,25.00,rest,
70.0,0,0.780735,25.00,rest,
80.0,0,0.780186,25.00,rest,
90.0,0,0.780147,25.00,rest,
100.0,0,0.780480,25.00,rest,
110.0,0,0.780440,25.00,rest,
120.0,0,0.780365,25.00,rest,
130.0,0,0.780054,25.00,rest,
140.0,0,0.780325,25.00,rest,
150.0,0,0.780542,25.00,rest,
160.0,0,0.779930,25.00,rest,
170.0,0,0.780196,25.00,rest,
180.0,0,0.779763,25.00,rest,
190.0,0,0.779947,25.00,rest,
200.0,0,0.779781,25.00,rest,
210.0,0,0.780263,25.00,rest,
220.0,0,0.779953,25.00,rest,
230.0,0,0.780415,25.00,rest,
240.0,0,0.780380,25.00,rest,
250.0,0,0.780277,25.00,rest,
260.0,0,0.779578,25.00,rest,
270.0,0,0.780172,25.00,rest,
280.0,0,0.780319,25.00,rest,
290.0,0,0.780367,25.00,rest,
300.0,0,0.779874,25.00,rest,
310.0,0,0.780190,25.00,rest,
320.0,0,0.780040,25.00,rest,
330.0,0,0.780091,25.00,rest,
340.0,0,0.780652,25.00,rest,
350.0,0,0.780091,25.00,rest,
360.0,0,0.780324,25.00,rest,
370.0,0,0.780599,25.00,rest,
380.0,0,0.780158,25.00,rest,
390.0,0,0.780300,25.00,rest,
400.0,0,0.780367,25.00,rest,
410.0,0,0.780353,25.00,rest,
420.0,0,0.779966,25.00,rest,
430.0,0,0.780356,25.00,rest,
440.0,0,0.780741,25.00,rest,
450.0,0,0.779869,25.00,rest,
460.0,0,0.780591,25.00,rest,
470.0,0,0.780369,25.00,rest,
480.0,0,0.780141,25.00,rest,
490.0,0,0.780934,25.00,rest,
500.0,0,0.780562,25.00,rest,
510.0,0,0.779974,25.00,rest,
520.0,0,0.780356,25.00,rest,
530.0,0,0.780506,25.00,rest,
540.0,0,0.780277,25.00,rest,
550.0,0,0.780538,25.00,rest,
560.0,0,0.780313,25.00,rest,
570.0,0,0.780534,25.00,rest,
580.0,0,0.780765,25.00,rest,
590.0,0,0.780131,25.00,rest,
600.0,0,0.780394,25.00,rest,
610.0,0,0.780194,25.00,rest,
620.0,0,0.780372,25.00,rest,
630.0,0,0.779977,25.00,rest,
640.0,0,0.780160,25.00,rest,
650.0,0,0.780275,25.00,rest,
660.0,0,0.780603,25.00,rest,
670.0,0,0.780677,25.00,rest,
680.0,0,0.779936,25.00,rest,
690.0,0,0.780095,25.00,rest,
700.0,0,0.780527,25.00,rest,
710.0,0,0.779736,25.00,rest,
720.0,0,0.780194,25.00,rest,
730.0,0,0.780304,25.00,rest,
740.0,0,0.780710,25.00,rest,
750.0,0,0.780540,25.00,rest,
760.0,0,0.780235,25.00,rest,
770.0,0,0.780223,25.00,rest,
780.0,0,0.780258,25.00,rest,
790.0,0,0.780790,25.00,rest,
800.0,0,0.780205,25.00,rest,
810.0,0,0.780242,25.00,rest,
820.0,0,0.780439,25.00,rest,
830.0,0,0.780297,25.00,rest,
