time_s,current_A,voltage_V,temperature_C,phase,window
0.0,0,0.780736,25.00,rest,
10.0,0,0.780594,25.00,rest,
20.0,0,0.780280,25.00,rest,
30.0,0,0.780350,25.00,rest,
40.0,0,0.780248,25.00,rest,
50.0,0,0.780259,25.00,rest,
60.0,0,0.780781,25.00,rest,
70.0,0,0.780211,25.00,rest,
80.0,0,0.780444,25.00,rest,
90.0,0,0.780095,25.00,rest,
100.0,0,0.780667,25.00,rest,
110.0,0,0.780503,25.00,rest,
120.0,0,0.780692,25.00,rest,
130.0,0,0.780093,25.00,rest,
140.0,0,0.780330,25.00,rest,
150.0,0,0.780891,25.00,rest,
160.0,0,0.780740,25.00,rest,
170.0,0,0.780516,25.00,rest,
180.0,0,0.780814,25.00,rest,
190.0,0,0.780196,25.00,rest,
200.0,0,0.780827,25.00,rest,
210.0,0,0.780432,25.00,rest,
220.0,0,0.780086,25.00,rest,
230.0,0,0.780002,25.00,rest,
240.0,0,0.780000,25.00,rest,
250.0,0,0.780798,25.00,rest,
260.0,0,0.780180,25.00,rest,
270.0,0,0.781227,25.00,rest,
280.0,0,0.780276,25.00,rest,
290.0,0,0.780585,25.00,rest,
300.0,0,0.780553,25.00,rest,
310.0,0,0.780685,25.00,rest,
320.0,0,0.780214,25.00,rest,
330.0,0,0.780328,25.00,rest,
340.0,0,0.780242,25.00,rest,
350.0,0,0.780419,25.00,rest,
360.0,0,0.780135,25.00,rest,
370.0,0,0.780034,25.00,rest,
380.0,0,0.780466,25.00,rest,
390.0,0,0.780844,25.00,rest,
400.0,0,0.780630,25.00,rest,
410.0,0,0.780123,25.00,rest,
420.0,0,0.780339,25.00,rest,
430.0,0,0.780448,25.00,rest,
440.0,0,0.780501,25.00,rest,
450.0,0,0.780418,25.00,rest,
460.0,0,0.780346,25.00,rest,
470.0,0,0.780898,25.00,rest,
480.0,0,0.780479,25.00,rest,
490.0,0,0.780403,25.00,rest,
500.0,0,0.779939,25.00,rest,
510.0,0,0.780206,25.00,rest,
520.0,0,0.780060,25.00,rest,
530.0,0,0.780377,25.00,rest,
540.0,0,0.779948,25.00,rest,
550.0,0,0.780107,25.00,rest,
560.0,0,0.779681,25.00,rest,
570.0,0,0.780173,25.00,rest,
580.0,0,0.779881,25.00,rest,
590.0,0,0.780635,25.00,rest,
600.0,0.2,0.618913,25.00,discharge,
610.0,0.2,0.546384,25.00,discharge,
620.0,0.2,0.499052,25.00,discharge,
630.0,0.2,0.461902,25.00,discharge,
640.0,0.2,0.429958,25.00,discharge,
650.0,0.2,0.402329,25.00,discharge,
660.0,0.2,0.377418,25.00,discharge,
670.0,0.2,0.355344,25.00,discharge,
680.0,0.2,0.335199,25.00,discharge,
690.0,0.2,0.317379,25.00,discharge,
700.0,0.2,0.301966,25.00,discharge,
710.0,0.2,0.287079,25.00,discharge,
720.0,0.2,0.274133,25.00,discharge,
730.0,0.2,0.262821,25.00,discharge,
740.0,0.2,0.252505,25.00,discharge,
750.0,0.2,0.242936,25.00,discharge,
760.0,0.2,0.234927,25.00,discharge,
