time_s,current_A,voltage_V,temperature_C,phase,window
0.0,0,0.780382,25.00,rest,
10.0,0,0.780698,25.00,rest,
20.0,0,0.780017,25.00,rest,
30.0,0,0.780435,25.00,rest,
40.0,0,0.780495,25.00,rest,
50.0,0,0.780033,25.00,rest,
60.0,0,0.780679,25.00,rest,
70.0,0,0.780509,25.00,rest,
80.0,0,0.780099,25.00,rest,
90.0,0,0.780014,25.00,rest,
100.0,0,0.780489,25.00,rest,
110.0,0,0.780176,25.00,rest,
120.0,0,0.780128,25.00,rest,
130.0,0,0.780321,25.00,rest,
140.0,0,0.780701,25.00,rest,
150.0,0,0.780483,25.00,rest,
160.0,0,0.780360,25.00,rest,
170.0,0,0.780285,25.00,rest,
180.0,0,0.780455,25.00,rest,
190.0,0,0.780372,25.00,rest,
200.0,0,0.780917,25.00,rest,
210.0,0,0.780171,25.00,rest,
220.0,0,0.780335,25.00,rest,
230.0,0,0.780661,25.00,rest,
240.0,0,0.780244,25.00,rest,
250.0,0,0.779978,25.00,rest,
260.0,0,0.780167,25.00,rest,
270.0,0,0.780696,25.00,rest,
280.0,0,0.780831,25.00,rest,
290.0,0,0.780709,25.00,rest,
300.0,0,0.780684,25.00,rest,
310.0,0,0.780064,25.00,rest,
320.0,0,0.780196,25.00,rest,
330.0,0,0.780338,25.00,rest,
340.0,0,0.780202,25.00,rest,
350.0,0,0.780275,25.00,rest,
360.0,0,0.780152,25.00,rest,
370.0,0,0.779939,25.00,rest,
380.0,0,0.780947,25.00,rest,
390.0,0,0.780344,25.00,rest,
400.0,0,0.780455,25.00,rest,
410.0,0,0.780181,25.00,rest,
420.0,0,0.780478,25.00,rest,
430.0,0,0.780441,25.00,rest,
440.0,0,0.780265,25.00,rest,
450.0,0,0.780044,25.00,rest,
460.0,0,0.780319,25.00,rest,
470.0,0,0.780179,25.00,rest,
480.0,0,0.779950,25.00,rest,
490.0,0,0.780659,25.00,rest,
500.0,0,0.780197,25.00,rest,
510.0,0,0.779964,25.00,rest,
520.0,0,0.780507,25.00,rest,
530.0,0,0.780651,25.00,rest,
540.0,0,0.780263,25.00,rest,
550.0,0,0.780168,25.00,rest,
560.0,0,0.780174,25.00,rest,
570.0,0,0.780362,25.00,rest,
580.0,0,0.780184,25.00,rest,
590.0,0,0.780142,25.00,rest,
600.0,0,0.780126,25.00,rest,
610.0,0,0.780236,25.00,rest,
620.0,0,0.780418,25.00,rest,
630.0,0,0.779853,25.00,rest,
640.0,0,0.780086,25.00,rest,
650.0,0,0.780199,25.00,rest,
660.0,0,0.780269,25.00,rest,
670.0,0,0.780300,25.00,rest,
680.0,0,0.779946,25.00,rest,
690.0,0,0.780280,25.00,rest,
700.0,0,0.780624,25.00,rest,
710.0,0,0.780229,25.00,rest,
720.0,0,0.780435,25.00,rest,
730.0,0,0.779752,25.00,rest,
740.0,0,0.780607,25.00,rest,
750.0,0,0.780052,25.00,rest,
760.0,0,0.780517,25.00,rest,
770.0,0,0.780469,25.00,rest,
780.0,0,0.780636,25.00,rest,
790.0,0,0.779872,25.00,rest,
800.0,0,0.780345,25.00,rest,
810.0,0,0.780353,25.00,rest,
820.0,0,0.780944,25.00,rest,
830.0,0,0.780406,25.00,rest,
840.0,0,0.780384,25.00,rest,
850.0,0,0.780109,25.00,rest,
860.0,0,0.780329,25.00,rest,
870.0,0,0.780679,25.00,rest,
880.0,0,0.780304,25.00,rest,
890.0,0,0.780182,25.00,rest,
900.0,0,0.780769,25.00,rest,
910.0,0,0.780187,25.00,rest,
920.0,0,0.779992,25.00,rest,
930.0,0,0.780303,25.00,rest,
940.0,0,0.780066,25.00,rest,
950.0,0,0.780384,25.00,rest,
960.0,0,0.780059,25.00,rest,
970.0,0,0.780024,25.00,rest,
980.0,0,0.780548,25.00,rest,
990.0,0,0.779977,25.00,rest,
1000.0,0,0.780098,25.00,rest,
1010.0,0,0.780676,25.00,rest,
1020.0,0,0.780397,25.00,rest,
1030.0,0,0.780472,25.00,rest,
1040.0,0,0.780487,25.00,rest,
1050.0,0,0.780593,25.00,rest,
1060.0,0,0.780436,25.00,rest,
1070.0,0,0.780320,25.00,rest,
1080.0,0,0.780228,25.00,rest,
1090.0,0,0.780367,25.00,rest,
1100.0,0,0.780146,25.00,rest,
1110.0,0,0.780048,25.00,rest,
1120.0,0,0.780345,25.00,rest,
1130.0,0,0.780427,25.00,rest,
1140.0,0,0.780387,25.00,rest,
1150.0,0,0.780868,25.00,rest,
1160.0,0,0.780167,25.00,rest,
