time_s,current_A,voltage_V,temperature_C,phase,window
0.0,0,0.780237,25.00,rest,
10.0,0,0.780188,25.00,rest,
20.0,0,0.780837,25.00,rest,
30.0,0,0.780925,25.00,rest,
40.0,0,0.780380,25.00,rest,
50.0,0,0.779956,25.00,rest,
60.0,0,0.780393,25.00,rest,
70.0,0,0.780346,25.00,rest,
80.0,0,0.780070,25.00,rest,
90.0,0,0.780792,25.00,rest,
100.0,0,0.780632,25.00,rest,
110.0,0,0.779911,25.00,rest,
120.0,0,0.780598,25.00,rest,
130.0,0,0.779905,25.00,rest,
140.0,0,0.780203,25.00,rest,
150.0,0,0.780067,25.00,rest,
160.0,0,0.780111,25.00,rest,
170.0,0,0.780334,25.00,rest,
180.0,0,0.780191,25.00,rest,
190.0,0,0.780239,25.00,rest,
200.0,0,0.780727,25.00,rest,
210.0,0,0.780243,25.00,rest,
220.0,0,0.780460,25.00,rest,
230.0,0,0.779873,25.00,rest,
240.0,0,0.780391,25.00,rest,
250.0,0,0.780543,25.00,rest,
260.0,0,0.780370,25.00,rest,
270.0,0,0.780157,25.00,rest,
280.0,0,0.780649,25.00,rest,
290.0,0,0.780769,25.00,rest,
300.0,0,0.780378,25.00,rest,
310.0,0,0.780813,25.00,rest,
320.0,0,0.780729,25.00,rest,
330.0,0,0.780418,25.00,rest,
340.0,0,0.780438,25.00,rest,
350.0,0,0.780631,25.00,rest,
360.0,0,0.780519,25.00,rest,
370.0,0,0.780020,25.00,rest,
380.0,0,0.780279,25.00,rest,
390.0,0,0.780695,25.00,rest,
400.0,0,0.779914,25.00,rest,
410.0,0,0.780330,25.00,rest,
420.0,0,0.780115,25.00,rest,
430.0,0,0.780445,25.00,rest,
440.0,0,0.780563,25.00,rest,
450.0,0,0.780703,25.00,rest,
460.0,0,0.780827,25.00,rest,
470.0,0,0.780724,25.00,rest,
480.0,0,0.780179,25.00,rest,
490.0,0,0.780357,25.00,rest,
500.0,0,0.780518,25.00,rest,
510.0,0,0.780210,25.00,rest,
520.0,0,0.780205,25.00,rest,
530.0,0,0.780083,25.00,rest,
540.0,0,0.780558,25.00,rest,
550.0,0,0.779973,25.00,rest,
560.0,0,0.780583,25.00,rest,
570.0,0,0.780169,25.00,rest,
580.0,0,0.781023,25.00,rest,
590.0,0,0.780163,25.00,rest,
600.0,0.2,0.597539,25.00,discharge,
610.0,0.2,0.511481,25.00,discharge,
620.0,0.2,0.459061,25.00,discharge,
630.0,0.2,0.419776,25.00,discharge,
640.0,0.2,0.387923,25.00,discharge,
650.0,0.2,0.360706,25.00,discharge,
660.0,0.2,0.337457,25.00,discharge,
670.0,0.2,0.317296,25.00,discharge,
680.0,0.2,0.299824,25.00,discharge,
690.0,0.2,0.284124,25.00,discharge,
700.0,0.2,0.271047,25.00,discharge,
710.0,0.2,0.258250,25.00,discharge,
720.0,0.2,0.248137,25.00,discharge,
730.0,0.2,0.238516,25.00,discharge,
740.0,0.2,0.229827,25.00,discharge,
750.0,0.2,0.222087,25.00,discharge,
760.0,0.2,0.215551,25.00,discharge,
770.0,0.2,0.209956,25.00,discharge,
780.0,0.2,0.204637,25.00,discharge,
790.0,0.2,0.199644,25.00,discharge,
800.0,0.2,0.195761,25.00,discharge,
810.0,0.2,0.191714,25.00,discharge,
820.0,0.2,0.188996,25.00,discharge,
830.0,0.2,0.186145,25.00,discharge,
840.0,0.2,0.182861,25.00,discharge,
850.0,0.2,0.181084,25.00,discharge,
860.0,0.2,0.179448,25.00,discharge,
870.0,0.2,0.176860,25.00,discharge,
880.0,0.2,0.175174,25.00,discharge,
890.0,0.2,0.173586,25.00,discharge,
900.0,0.2,0.172524,25.00,discharge,
910.0,0.2,0.170662,25.00,discharge,
920.0,0.2,0.170014,25.00,discharge,
930.0,0.2,0.168657,25.00,discharge,
940.0,0.2,0.167957,25.00,discharge,
950.0,0.2,0.167113,25.00,discharge,
960.0,0.2,0.166054,25.00,discharge,
970.0,0.2,0.165615,25.00,discharge,
980.0,0.2,0.163777,25.00,discharge,
990.0,0.2,0.162948,25.00,discharge,
1000.0,0.2,0.161664,25.00,discharge,
1010.0,0.2,0.160940,25.00,discharge,
1020.0,0.2,0.159448,25.00,discharge,
1030.0,0.2,0.158286,25.00,discharge,
1040.0,0.2,0.157536,25.00,discharge,
1050.0,0.2,0.155468,25.00,discharge,
1060.0,0.2,0.154008,25.00,discharge,
1070.0,0.2,0.152426,25.00,discharge,
1080.0,0.2,0.150779,25.00,discharge,
1090.0,0.2,0.149202,25.00,discharge,
1100.0,0.2,0.147500,25.00,discharge,
1110.0,0.2,0.145492,25.00,discharge,
1120.0,0.2,0.144065,25.00,discharge,
1130.0,0.2,0.142375,25.00,discharge,
1140.0,0.2,0.140604,25.00,discharge,
