time_s,current_A,voltage_V,temperature_C,phase,window
0.0,0,0.780011,25.00,rest,
10.0,0,0.779952,25.00,rest,
20.0,0,0.780372,25.00,rest,
30.0,0,0.780576,25.00,rest,
40.0,0,0.780493,25.00,rest,
50.0,0,0.780409,25.00,rest,
60.0,0,0.779945,25.00,rest,
70.0,0,0.780746,25.00,rest,
80.0,0,0.779741,25.00,rest,
90.0,0,0.780124,25.00,rest,
100.0,0,0.780155,25.00,rest,
110.0,0,0.780926,25.00,rest,
120.0,0,0.780512,25.00,rest,
130.0,0,0.780471,25.00,rest,
140.0,0,0.780909,25.00,rest,
150.0,0,0.780772,25.00,rest,
160.0,0,0.780540,25.00,rest,
170.0,0,0.780082,25.00,rest,
180.0,0,0.780510,25.00,rest,
190.0,0,0.779822,25.00,rest,
200.0,0,0.780308,25.00,rest,
210.0,0,0.780306,25.00,rest,
220.0,0,0.779837,25.00,rest,
230.0,0,0.780261,25.00,rest,
240.0,0,0.780009,25.00,rest,
250.0,0,0.780292,25.00,rest,
260.0,0,0.780339,25.00,rest,
270.0,0,0.780079,25.00,rest,
280.0,0,0.780065,25.00,rest,
290.0,0,0.780509,25.00,rest,
300.0,0,0.780192,25.00,rest,
310.0,0,0.780543,25.00,rest,
320.0,0,0.780362,25.00,rest,
330.0,0,0.781061,25.00,rest,
340.0,0,0.779716,25.00,rest,
350.0,0,0.780113,25.00,rest,
360.0,0,0.780353,25.00,rest,
370.0,0,0.779799,25.00,rest,
380.0,0,0.780316,25.00,rest,
390.0,0,0.780855,25.00,rest,
400.0,0,0.781109,25.00,rest,
410.0,0,0.780175,25.00,rest,
420.0,0,0.780352,25.00,rest,
430.0,0,0.780406,25.00,rest,
440.0,0,0.780628,25.00,rest,
450.0,0,0.780264,25.00,rest,
460.0,0,0.779877,25.00,rest,
470.0,0,0.780557,25.00,rest,
480.0,0,0.780536,25.00,rest,
490.0,0,0.780329,25.00,rest,
500.0,0,0.780087,25.00,rest,
510.0,0,0.780768,25.00,rest,
520.0,0,0.779848,25.00,rest,
530.0,0,0.780817,25.00,rest,
540.0,0,0.780376,25.00,rest,
550.0,0,0.780475,25.00,rest,
560.0,0,0.780421,25.00,rest,
570.0,0,0.780172,25.00,rest,
580.0,0,0.780594,25.00,rest,
590.0,0,0.780149,25.00,rest,
600.0,0,0.780347,25.00,rest,
610.0,0,0.780677,25.00,rest,
620.0,0,0.780430,25.00,rest,
630.0,0,0.780850,25.00,rest,
640.0,0,0.780733,25.00,rest,
650.0,0,0.780188,25.00,rest,
660.0,0,0.780381,25.00,rest,
670.0,0,0.780470,25.00,rest,
680.0,0,0.780390,25.00,rest,
690.0,0,0.780027,25.00,rest,
700.0,0,0.780137,25.00,rest,
710.0,0,0.779917,25.00,rest,
720.0,0,0.780180,25.00,rest,
730.0,0,0.780429,25.00,rest,
740.0,0,0.780123,25.00,rest,
750.0,0,0.780264,25.00,rest,
760.0,0,0.780423,25.00,rest,
770.0,0,0.781045,25.00,rest,
780.0,0,0.780398,25.00,rest,
790.0,0,0.780415,25.00,rest,
800.0,0,0.780047,25.00,rest,
810.0,0,0.780998,25.00,rest,
820.0,0,0.780378,25.00,rest,
830.0,0,0.780168,25.00,rest,
840.0,0,0.780736,25.00,rest,
850.0,0,0.780692,25.00,rest,
860.0,0,0.780274,25.00,rest,
870.0,0,0.780355,25.00,rest,
880.0,0,0.780247,25.00,rest,
890.0,0,0.780267,25.00,rest,
900.0,0,0.780134,25.00,rest,
910.0,0,0.780304,25.00,rest,
920.0,0,0.779669,25.00,rest,
930.0,0,0.780516,25.00,rest,
940.0,0,0.780194,25.00,rest,
950.0,0,0.780909,25.00,rest,
960.0,0,0.780132,25.00,rest,
970.0,0,0.780414,25.00,rest,
980.0,0,0.780881,25.00,rest,
990.0,0,0.780410,25.00,rest,
1000.0,0,0.780073,25.00,rest,
1010.0,0,0.780146,25.00,rest,
1020.0,0,0.779901,25.00,rest,
1030.0,0,0.779789,25.00,rest,
1040.0,0,0.779843,25.00,rest,
1050.0,0,0.779837,25.00,rest,
1060.0,0,0.779837,25.00,rest,
1070.0,0,0.780108,25.00,rest,
1080.0,0,0.779967,25.00,rest,
1090.0,0,0.780713,25.00,rest,
1100.0,0,0.780604,25.00,rest,
1110.0,0,0.780374,25.00,rest,
1120.0,0,0.780585,25.00,rest,
1130.0,0,0.780355,25.00,rest,
1140.0,0,0.780742,25.00,rest,
1150.0,0,0.780561,25.00,rest,
1160.0,0,0.780388,25.00,rest,
1170.0,0,0.780022,25.00,rest,
1180.0,0,0.780647,25.00,rest,
1190.0,0,0.780640,25.00,rest,
1200.0,0,0.779593,25.00,rest,1
1210.0,0,0.780510,25.00,rest,1
1220.0,0,0.780086,25.00,rest,1
1230.0,0,0.780279,25.00,rest,1
1240.0,0,0.780949,25.00,rest,1
1250.0,0,0.780932,25.00,rest,1
1260.0,0,0.780303,25.00,rest,1
1270.0,0,0.781099,25.00,rest,1
1280.0,0,0.780162,25.00,rest,1
1290.0,0,0.780366,25.00,rest,1
1300.0,0,0.780363,25.00,rest,1
1310.0,0,0.780595,25.00,rest,1
1320.0,0,0.780140,25.00,rest,1
1330.0,0,0.780462,25.00,rest,1
1340.0,0,0.780334,25.00,rest,1
1350.0,0,0.779838,25.00,rest,1
1360.0,0,0.780165,25.00,rest,1
1370.0,0,0.780280,25.00,rest,1
1380.0,0,0.780287,25.00,rest,1
1390.0,0,0.780555,25.00,rest,1
1400.0,0,0.780475,25.00,rest,1
1410.0,0,0.780300,25.00,rest,1
1420.0,0,0.779846,25.00,rest,1
1430.0,0,0.780863,25.00,rest,1
1440.0,0,0.780488,25.00,rest,1
1450.0,0,0.780782,25.00,rest,1
1460.0,0,0.780628,25.00,rest,1
1470.0,0,0.780301,25.00,rest,1
1480.0,0,0.779937,25.00,rest,1
1490.0,0,0.779934,25.00,rest,1
1500.0,0,0.780521,25.00,rest,1
1510.0,0,0.780336,25.00,rest,1
1520.0,0,0.780533,25.00,rest,1
1530.0,0,0.780398,25.00,rest,1
1540.0,0,0.780083,25.00,rest,1
1550.0,0,0.780262,25.00,rest,1
1560.0,0,0.780049,25.00,rest,1
1570.0,0,0.780248,25.00,rest,1
1580.0,0,0.780941,25.00,rest,1
1590.0,0,0.780383,25.00,rest,1
1600.0,0,0.780682,25.00,rest,1
1610.0,0,0.780566,25.00,rest,1
1620.0,0,0.780173,25.00,rest,1
1630.0,0,0.780102,25.00,rest,1
1640.0,0,0.780376,25.00,rest,1
1650.0,0,0.780648,25.00,rest,1
1660.0,0,0.780164,25.00,rest,1
1670.0,0,0.780033,25.00,rest,1
1680.0,0,0.780184,25.00,rest,1
1690.0,0,0.780524,25.00,rest,1
1700.0,0,0.780069,25.00,rest,1
1710.0,0,0.780098,25.00,rest,1
1720.0,0,0.780337,25.00,rest,1
1730.0,0,0.780401,25.00,rest,1
1740.0,0,0.779852,25.00,rest,1
1750.0,0,0.780131,25.00,rest,1
1760.0,0,0.780565,25.00,rest,1
1770.0,0,0.780458,25.00,rest,1
1780.0,0,0.780944,25.00,rest,1
1790.0,0,0.779922,25.00,rest,1
1800.0,0,0.780871,25.00,rest,1
1810.0,0.1,0.676695,25.00,pulse,1
1820.0,0.1,0.623570,25.00,pulse,1
1830.0,0.1,0.589635,25.00,pulse,1
1840.0,0.1,0.562565,25.00,pulse,1
1850.0,0.1,0.539040,25.00,pulse,1
1860.0,0.1,0.518426,25.00,pulse,1
1870.0,0.1,0.499802,25.00,pulse,1
1880.0,0.1,0.482054,25.00,pulse,1
1890.0,0.1,0.465769,25.00,pulse,1
1900.0,0.1,0.450784,25.00,pulse,1
1910.0,0.1,0.435503,25.00,pulse,1
1920.0,0.1,0.422046,25.00,pulse,1
1930.0,0.1,0.409975,25.00,pulse,1
1940.0,0.1,0.397649,25.00,pulse,1
1950.0,0.1,0.386775,25.00,pulse,1
1960.0,0.1,0.375617,25.00,pulse,1
1970.0,0.1,0.365298,25.00,pulse,1
1980.0,0.1,0.355999,25.00,pulse,1
1990.0,0.1,0.346755,25.00,pulse,1
2000.0,0.1,0.337311,25.00,pulse,1
2010.0,0.1,0.329273,25.00,pulse,1
2020.0,0.1,0.321730,25.00,pulse,1
2030.0,0.1,0.313915,25.00,pulse,1
2040.0,0.1,0.306740,25.00,pulse,1
2050.0,0.1,0.300327,25.00,pulse,1
2060.0,0.1,0.294007,25.00,pulse,1
2070.0,0.1,0.288031,25.00,pulse,1
2080.0,0.1,0.282282,25.00,pulse,1
2090.0,0.1,0.276989,25.00,pulse,1
2100.0,0.1,0.271704,25.00,pulse,1
2110.0,0.1,0.266757,25.00,pulse,1
2120.0,0.1,0.262005,25.00,pulse,1
2130.0,0.1,0.257852,25.00,pulse,1
2140.0,0.1,0.253757,25.00,pulse,1
2150.0,0.1,0.250030,25.00,pulse,1
2160.0,0.1,0.245470,25.00,pulse,1
2170.0,0.1,0.242185,25.00,pulse,1
2180.0,0.1,0.238556,25.00,pulse,1
2190.0,0.1,0.235435,25.00,pulse,1
2200.0,0.1,0.232436,25.00,pulse,1
2210.0,0.1,0.229949,25.00,pulse,1
2220.0,0.1,0.226713,25.00,pulse,1
2230.0,0.1,0.224535,25.00,pulse,1
2240.0,0.1,0.221970,25.00,pulse,1
2250.0,0.1,0.220141,25.00,pulse,1
2260.0,0.1,0.218118,25.00,pulse,1
2270.0,0.1,0.215514,25.00,pulse,1
2280.0,0.1,0.213734,25.00,pulse,1
2290.0,0.1,0.211779,25.00,pulse,1
2300.0,0.1,0.209686,25.00,pulse,1
2310.0,0.1,0.208011,25.00,pulse,1
2320.0,0.1,0.206719,25.00,pulse,1
2330.0,0.1,0.205278,25.00,pulse,1
2340.0,0.1,0.203578,25.00,pulse,1
2350.0,0.1,0.202195,25.00,pulse,1
2360.0,0.1,0.201456,25.00,pulse,1
2370.0,0.1,0.199431,25.00,pulse,1
2380.0,0.1,0.198528,25.00,pulse,1
2390.0,0.1,0.197360,25.00,pulse,1
2400.0,0.1,0.196725,25.00,pulse,1
2410.0,0,0.215333,25.00,rest,1
2420.0,0,0.218369,25.00,rest,1
2430.0,0,0.219510,25.00,rest,1
2440.0,0,0.220237,25.00,rest,1
2450.0,0,0.221526,25.00,rest,1
2460.0,0,0.221806,25.00,rest,1
2470.0,0,0.221923,25.00,rest,1
2480.0,0,0.222775,25.00,rest,1
2490.0,0,0.222822,25.00,rest,1
2500.0,0,0.223170,25.00,rest,1
2510.0,0,0.223880,25.00,rest,1
2520.0,0,0.224224,25.00,rest,1
2530.0,0,0.224184,25.00,rest,1
2540.0,0,0.223553,25.00,rest,1
2550.0,0,0.224156,25.00,rest,1
2560.0,0,0.224671,25.00,rest,1
2570.0,0,0.224779,25.00,rest,1
2580.0,0,0.224971,25.00,rest,1
2590.0,0,0.224080,25.00,rest,1
2600.0,0,0.224592,25.00,rest,1
2610.0,0,0.225160,25.00,rest,1
2620.0,0,0.224629,25.00,rest,1
2630.0,0,0.225005,25.00,rest,1
2640.0,0,0.225020,25.00,rest,1
2650.0,0,0.224807,25.00,rest,1
2660.0,0,0.225439,25.00,rest,1
2670.0,0,0.225086,25.00,rest,1
2680.0,0,0.225466,25.00,rest,1
2690.0,0,0.225514,25.00,rest,1
2700.0,0,0.225444,25.00,rest,1
2710.0,0,0.224854,25.00,rest,1
2720.0,0,0.225282,25.00,rest,1
2730.0,0,0.224994,25.00,rest,1
2740.0,0,0.224901,25.00,rest,1
2750.0,0,0.225152,25.00,rest,1
2760.0,0,0.225525,25.00,rest,1
2770.0,0,0.225713,25.00,rest,1
2780.0,0,0.225684,25.00,rest,1
2790.0,0,0.225042,25.00,rest,1
2800.0,0,0.225267,25.00,rest,1
2810.0,0,0.225792,25.00,rest,1
2820.0,0,0.226005,25.00,rest,1
2830.0,0,0.225431,25.00,rest,1
2840.0,0,0.225822,25.00,rest,1
2850.0,0,0.225986,25.00,rest,1
2860.0,0,0.225334,25.00,rest,1
2870.0,0,0.225892,25.00,rest,1
2880.0,0,0.225595,25.00,rest,1
2890.0,0,0.225690,25.00,rest,1
2900.0,0,0.225339,25.00,rest,1
2910.0,0,0.225326,25.00,rest,1
2920.0,0,0.225290,25.00,rest,1
2930.0,0,0.225523,25.00,rest,1
2940.0,0,0.225598,25.00,rest,1
2950.0,0,0.225392,25.00,rest,1
2960.0,0,0.225088,25.00,rest,1
2970.0,0,0.225649,25.00,rest,1
2980.0,0,0.225172,25.00,rest,1
2990.0,0,0.225161,25.00,rest,1
3000.0,0,0.224719,25.00,rest,1
3010.0,0,0.225521,25.00,rest,
3020.0,0,0.225627,25.00,rest,
3030.0,0,0.225618,25.00,rest,
3040.0,0,0.225957,25.00,rest,
3050.0,0,0.224882,25.00,rest,
3060.0,0,0.225257,25.00,rest,
3070.0,0,0.225832,25.00,rest,
3080.0,0,0.225021,25.00,rest,
3090.0,0,0.225536,25.00,rest,
3100.0,0,0.225231,25.00,rest,
3110.0,0,0.225290,25.00,rest,
3120.0,0,0.225826,25.00,rest,
3130.0,0,0.225014,25.00,rest,
3140.0,0,0.225322,25.00,rest,
3150.0,0,0.225647,25.00,rest,
3160.0,0,0.224936,25.00,rest,
3170.0,0,0.225238,25.00,rest,
3180.0,0,0.225747,25.00,rest,
3190.0,0,0.225611,25.00,rest,
3200.0,0,0.225077,25.00,rest,
3210.0,0,0.225381,25.00,rest,
3220.0,0,0.225665,25.00,rest,
3230.0,0,0.224907,25.00,rest,
3240.0,0,0.225748,25.00,rest,
3250.0,0,0.225316,25.00,rest,
3260.0,0,0.225807,25.00,rest,
3270.0,0,0.225188,25.00,rest,
3280.0,0,0.225827,25.00,rest,
3290.0,0,0.225462,25.00,rest,
3300.0,0,0.225083,25.00,rest,
3310.0,0,0.225397,25.00,rest,
3320.0,0,0.225292,25.00,rest,
3330.0,0,0.225521,25.00,rest,
3340.0,0,0.225285,25.00,rest,
3350.0,0,0.226060,25.00,rest,
3360.0,0,0.225447,25.00,rest,
3370.0,0,0.225303,25.00,rest,
3380.0,0,0.225668,25.00,rest,
3390.0,0,0.225429,25.00,rest,
3400.0,0,0.225716,25.00,rest,
3410.0,0,0.225172,25.00,rest,
3420.0,0,0.225617,25.00,rest,
3430.0,0,0.225687,25.00,rest,
3440.0,0,0.225452,25.00,rest,
3450.0,0,0.225398,25.00,rest,
3460.0,0,0.225667,25.00,rest,
3470.0,0,0.225442,25.00,rest,
3480.0,0,0.226099,25.00,rest,
3490.0,0,0.225849,25.00,rest,
3500.0,0,0.225432,25.00,rest,
3510.0,0,0.225494,25.00,rest,
3520.0,0,0.225816,25.00,rest,
3530.0,0,0.225476,25.00,rest,
3540.0,0,0.225221,25.00,rest,
3550.0,0,0.225353,25.00,rest,
3560.0,0,0.225200,25.00,rest,
3570.0,0,0.225756,25.00,rest,
3580.0,0,0.225467,25.00,rest,
3590.0,0,0.225666,25.00,rest,
3600.0,0,0.225483,25.00,rest,2
3610.0,0,0.224665,25.00,rest,2
3620.0,0,0.225242,25.00,rest,2
3630.0,0,0.226251,25.00,rest,2
3640.0,0,0.225266,25.00,rest,2
3650.0,0,0.225570,25.00,rest,2
3660.0,0,0.225552,25.00,rest,2
3670.0,0,0.225675,25.00,rest,2
3680.0,0,0.225007,25.00,rest,2
3690.0,0,0.225646,25.00,rest,2
3700.0,0,0.225143,25.00,rest,2
3710.0,0,0.225451,25.00,rest,2
3720.0,0,0.225482,25.00,rest,2
3730.0,0,0.225942,25.00,rest,2
3740.0,0,0.225770,25.00,rest,2
3750.0,0,0.225784,25.00,rest,2
3760.0,0,0.225784,25.00,rest,2
3770.0,0,0.225293,25.00,rest,2
3780.0,0,0.225296,25.00,rest,2
3790.0,0,0.225102,25.00,rest,2
3800.0,0,0.225285,25.00,rest,2
3810.0,0,0.225369,25.00,rest,2
3820.0,0,0.225552,25.00,rest,2
3830.0,0,0.224871,25.00,rest,2
3840.0,0,0.226043,25.00,rest,2
