Time [s],Current [mA],Discharge capacity [A.h],Voltage [V],Absolute error [V]
0,0,0,4.1915,1.945e-05
0.0927,6.8787,8.8835e-08,3.9779,0.12533
0.0967,6.8781,9.6478e-08,3.9778,0.11918
0.1007,6.8784,1.0412e-07,3.9778,0.11343
0.1047,6.8785,1.1176e-07,3.9777,0.10795
0.1087,6.8786,1.1941e-07,3.9777,0.10295
0.1147,6.8788,1.3087e-07,3.9777,0.095712
0.1207,6.879,1.4234e-07,3.9776,0.089186
0.1267,6.8786,1.538e-07,3.9776,0.082995
0.1327,6.8789,1.6526e-07,3.9775,0.077453
0.1387,6.879,1.7673e-07,3.9775,0.072221
0.1467,6.8792,1.9202e-07,3.9774,0.065981
0.1547,6.8788,2.073e-07,3.9774,0.060511
0.1627,6.8792,2.2259e-07,3.9773,0.055495
0.1727,6.8791,2.417e-07,3.9772,0.050043
0.1847,6.8792,2.6463e-07,3.9772,0.044411
0.1987,6.8792,2.9138e-07,3.9771,0.038985
0.2147,6.8791,3.2195e-07,3.977,0.034001
0.2367,6.8794,3.64e-07,3.9768,0.028784
0.2667,6.8791,4.2133e-07,3.9767,0.023909
0.3147,6.8794,5.1305e-07,3.9764,0.019028
0.4167,6.8794,7.0797e-07,3.9759,0.014555
0.8087,6.8795,1.4571e-06,3.9741,0.011274
2.3127,6.8795,4.3312e-06,3.9698,0.010612
6.0547,6.8795,1.1482e-05,3.9643,0.011114
13.649,6.8795,2.5994e-05,3.9606,0.0097418
73.649,6.8795,0.00014065,3.9546,0.012733
133.65,6.8795,0.00025531,3.9445,0.02007
166.35,6.8795,0.00031781,3.9366,0.023014
190.07,6.8795,0.00036314,3.9298,0.024856
209.33,6.8795,0.00039994,3.9232,0.026438
226.06,6.8795,0.0004319,3.9167,0.027909
241.04,6.8795,0.00046053,3.9102,0.029335
255.09,6.8795,0.00048738,3.9035,0.031055
268.09,6.8795,0.00051223,3.8966,0.032949
280.42,6.8795,0.0005358,3.8894,0.035121
292.37,6.8795,0.00055862,3.8819,0.037634
303.83,6.8795,0.00058053,3.8743,0.040257
315.17,6.8795,0.00060219,3.8666,0.042992
326.45,6.8795,0.00062376,3.8588,0.045739
337.57,6.8795,0.000645,3.8513,0.048221
348.64,6.8795,0.00066616,3.8441,0.050414
359.77,6.8795,0.00068743,3.8371,0.052406
371.09,6.8795,0.00070907,3.8303,0.054186
382.44,6.8795,0.00073075,3.8238,0.055658
394.04,6.8795,0.00075291,3.8175,0.056948
406.01,6.8795,0.00077579,3.8114,0.058114
417.9,6.8795,0.00079852,3.8055,0.058955
430.29,6.8795,0.00082218,3.7998,0.059718
442.68,6.8795,0.00084586,3.7943,0.060146
455.32,6.8795,0.00087001,3.7891,0.060385
468.06,6.8795,0.00089437,3.7841,0.060404
480.74,6.8795,0.0009186,3.7792,0.060275
493.41,6.8795,0.00094281,3.7744,0.06008
506.07,6.8795,0.00096701,3.7696,0.05981
518.58,6.8795,0.00099091,3.7649,0.059531
530.68,6.8795,0.001014,3.7603,0.059143
542.59,6.8795,0.0010368,3.7556,0.058794
554.4,6.8795,0.0010594,3.7508,0.05858
566.02,6.8795,0.0010816,3.746,0.058403
577.34,6.8795,0.0011032,3.7411,0.058243
588.19,6.8795,0.0011239,3.7364,0.057942
599.18,6.8795,0.0011449,3.7315,0.057803
609.75,6.8795,0.0011651,3.7268,0.05757
620.1,6.8795,0.0011849,3.722,0.057342
630.37,6.8795,0.0012045,3.7171,0.057214
640.49,6.8795,0.0012239,3.7121,0.057239
650.53,6.8795,0.0012431,3.7069,0.057403
660.28,6.8795,0.0012617,3.7018,0.057519
670.05,6.8795,0.0012804,3.6966,0.057721
679.65,6.8795,0.0012987,3.6914,0.057901
689.31,6.8795,0.0013172,3.6862,0.058105
698.77,6.8795,0.0013353,3.6812,0.058142
708.31,6.8795,0.0013535,3.6762,0.058154
717.82,6.8795,0.0013716,3.6712,0.058058
727.33,6.8795,0.0013898,3.6663,0.058006
736.83,6.8795,0.001408,3.6612,0.058089
746.34,6.8795,0.0014262,3.6559,0.058365
755.97,6.8795,0.0014446,3.6505,0.058772
765.64,6.8795,0.001463,3.6451,0.059184
775.52,6.8795,0.0014819,3.6396,0.059664
785.34,6.8795,0.0015007,3.6342,0.060045
795.44,6.8795,0.00152,3.6288,0.06047
805.58,6.8795,0.0015394,3.6235,0.060825
815.93,6.8795,0.0015591,3.6181,0.061158
826.46,6.8795,0.0015793,3.6129,0.061408
837.19,6.8795,0.0015998,3.6077,0.061585
848.32,6.8795,0.001621,3.6025,0.061709
859.49,6.8795,0.0016424,3.5975,0.061686
871.06,6.8795,0.0016645,3.5926,0.061668
882.72,6.8795,0.0016868,3.5877,0.0615
894.72,6.8795,0.0017097,3.5829,0.061255
907.07,6.8795,0.0017333,3.5782,0.061013
919.41,6.8795,0.0017569,3.5735,0.060597
932.05,6.8795,0.001781,3.569,0.060182
944.81,6.8795,0.0018054,3.5645,0.059654
957.78,6.8795,0.0018302,3.5601,0.059042
970.9,6.8795,0.0018553,3.5558,0.058361
983.87,6.8795,0.0018801,3.5516,0.057529
997.15,6.8795,0.0019054,3.5474,0.056657
1010.5,6.8795,0.0019309,3.5432,0.05582
1023.4,6.8795,0.0019556,3.5392,0.054841
1036.5,6.8795,0.0019806,3.5352,0.053841
1049.3,6.8795,0.0020051,3.5312,0.052792
1061.9,6.8795,0.0020292,3.5273,0.051633
1074.4,6.8795,0.002053,3.5235,0.050471
1086.7,6.8795,0.0020766,3.5197,0.049234
1098.9,6.8795,0.0020999,3.5159,0.048011
1110.6,6.8794,0.0021222,3.5122,0.046663
1122.2,6.8795,0.0021444,3.5086,0.045315
1133.5,6.8795,0.0021661,3.505,0.043863
1144.7,6.8795,0.0021875,3.5015,0.042357
1155.5,6.8795,0.0022081,3.4981,0.040745
1166.1,6.8795,0.0022283,3.4948,0.039104
1176.5,6.8795,0.0022482,3.4915,0.037396
1186.6,6.8795,0.0022676,3.4883,0.035595
1196.4,6.8795,0.0022863,3.4852,0.033692
1205.9,6.8795,0.0023044,3.4822,0.031717
1215.2,6.8795,0.002322,3.4792,0.029664
1224.2,6.8795,0.0023393,3.4763,0.02755
1232.8,6.8795,0.0023558,3.4736,0.025322
1241.3,6.8795,0.002372,3.4708,0.023075
1249.6,6.8795,0.0023878,3.4681,0.020768
1257.5,6.8795,0.002403,3.4655,0.018367
1265.3,6.8795,0.0024178,3.463,0.01591
1272.7,6.8795,0.002432,3.4605,0.013367
1280,6.8795,0.0024459,3.4581,0.010763
1286.9,6.8795,0.0024591,3.4558,0.0080911
1293.6,6.8795,0.002472,3.4534,0.0054229
1299.9,6.8795,0.002484,3.4511,0.0027081
1306.2,6.8795,0.0024961,3.4488,8.0208e-05
1312.2,6.8795,0.0025074,3.4465,0.0026046
1317.9,6.8795,0.0025183,3.4442,0.0053123
1323.4,6.8795,0.0025289,3.4418,0.0079746
1328.8,6.8795,0.0025392,3.4394,0.010531
1333.9,6.8795,0.0025489,3.4369,0.013052
1338.7,6.8795,0.0025582,3.4343,0.015508
1343.5,6.8795,0.0025673,3.4316,0.017815
1348,6.8795,0.0025759,3.429,0.020151
1352.4,6.8794,0.0025843,3.4263,0.022475
1356.6,6.8795,0.0025923,3.4236,0.024795
1360.6,6.8795,0.0025999,3.4209,0.027088
1364.5,6.8794,0.0026074,3.4181,0.029281
1368.2,6.8794,0.0026145,3.4152,0.031454
1371.8,6.8795,0.0026214,3.4123,0.033488
1375.2,6.8795,0.0026279,3.4093,0.035526
1378.6,6.8795,0.0026343,3.4062,0.037536
1381.8,6.8795,0.0026405,3.4031,0.039365
1384.8,6.8795,0.0026462,3.3999,0.041261
1387.8,6.8795,0.0026519,3.3968,0.043095
1390.6,6.8795,0.0026574,3.3936,0.044958
1393.3,6.8795,0.0026626,3.3905,0.04686
1396,6.8794,0.0026676,3.3874,0.048745
1398.5,6.8795,0.0026725,3.3844,0.050846
1401,6.8794,0.0026772,3.3816,0.05299
1403.3,6.8794,0.0026817,3.3788,0.055214
1405.6,6.8795,0.002686,3.3761,0.057542
1407.8,6.8794,0.0026901,3.3734,0.059887
1409.9,6.8794,0.0026942,3.3708,0.062238
1411.9,6.8794,0.0026981,3.3681,0.064588
1413.9,6.8794,0.0027018,3.3656,0.067027
1415.8,6.8795,0.0027055,3.3629,0.0694
1417.6,6.8795,0.002709,3.3604,0.071848
1419.4,6.8794,0.0027124,3.3579,0.074368
1421.1,6.8795,0.0027156,3.3555,0.077022
1422.8,6.8795,0.0027189,3.3531,0.079647
1424.5,6.8794,0.002722,3.3508,0.082363
1426,6.8794,0.002725,3.3486,0.085118
1427.5,6.8795,0.0027278,3.3464,0.087987
1429,6.8794,0.0027306,3.3442,0.090812
1430.4,6.8794,0.0027334,3.342,0.093632
1431.8,6.8794,0.002736,3.3399,0.096543
1433.2,6.8794,0.0027386,3.3377,0.099428
1434.5,6.8794,0.0027412,3.3356,0.10229
1435.7,6.8794,0.0027436,3.3335,0.10521
1437,6.8795,0.0027459,3.3314,0.10812
1438.1,6.8795,0.0027482,3.3294,0.11106
1439.3,6.8794,0.0027504,3.3273,0.11398
1440.4,6.8795,0.0027526,3.3252,0.11691
1441.5,6.8794,0.0027547,3.3231,0.11982
1442.6,6.8794,0.0027567,3.321,0.12278
1443.7,6.8795,0.0027587,3.3189,0.12565
1444.7,6.8794,0.0027607,3.3168,0.12852
1445.7,6.8794,0.0027626,3.3147,0.13148
1446.6,6.8794,0.0027644,3.3126,0.13439
1447.6,6.8794,0.0027663,3.3105,0.13727
1448.5,6.8794,0.002768,3.3085,0.14024
1449.4,6.8795,0.0027697,3.3064,0.14314
1450.3,6.8794,0.0027714,3.3043,0.14605
1451.1,6.8794,0.002773,3.3022,0.14898
1452,6.8795,0.0027746,3.3001,0.15188
1452.8,6.8794,0.0027762,3.298,0.15481
1453.6,6.8795,0.0027778,3.2959,0.15768
1454.4,6.8795,0.0027793,3.2938,0.16067
1455.2,6.8795,0.0027808,3.2917,0.16353
1456,6.8794,0.0027822,3.2895,0.1664
1456.7,6.8795,0.0027836,3.2874,0.1693
1457.4,6.8794,0.002785,3.2853,0.1722
1458.1,6.8794,0.0027863,3.2832,0.17509
1458.8,6.8794,0.0027876,3.2811,0.17796
1459.5,6.8794,0.0027889,3.279,0.18086
1460.1,6.8794,0.0027902,3.2768,0.18376
1460.8,6.8794,0.0027915,3.2746,0.18652
1461.4,6.8795,0.0027927,3.2724,0.1894
1462.1,6.8794,0.0027939,3.2703,0.19227
1462.7,6.8794,0.002795,3.2681,0.19508
1463.3,6.8794,0.0027962,3.2658,0.19795
1463.9,6.8795,0.0027974,3.2635,0.20066
1464.5,6.8795,0.0027984,3.2613,0.20348
1465,6.8795,0.0027995,3.259,0.20621
1465.6,6.8795,0.0028006,3.2567,0.20884
1466.1,6.8795,0.0028017,3.2544,0.2116
1466.7,6.8794,0.0028028,3.2519,0.21413
1467.2,6.8794,0.0028038,3.2495,0.21675
1467.8,6.8794,0.0028048,3.2471,0.21928
1468.3,6.8795,0.0028058,3.2445,0.22178
1468.8,6.8794,0.0028068,3.242,0.22425
1469.4,6.8794,0.0028078,3.2393,0.22659
1469.9,6.8794,0.0028088,3.2367,0.22897
1470.4,6.8794,0.0028098,3.234,0.23134
1470.9,6.8794,0.0028107,3.2313,0.23361
1471.4,6.8795,0.0028116,3.2285,0.23586
1471.8,6.8794,0.0028126,3.2257,0.23807
1472.3,6.8795,0.0028135,3.2228,0.24025
1472.8,6.8795,0.0028144,3.2199,0.24228
1473.3,6.8794,0.0028153,3.2168,0.24422
1473.8,6.8795,0.0028162,3.2137,0.2462
1474.2,6.8794,0.0028171,3.2105,0.24801
1474.7,6.8794,0.002818,3.2073,0.24981
1475.2,6.8794,0.0028189,3.2039,0.25145
1475.6,6.8794,0.0028198,3.2005,0.25312
1476.1,6.8795,0.0028207,3.197,0.25462
