Stoichiometry,Voltage [V],Diffusivity [m2.s-1],Diffusion time [s],Lumped resistance [Ohm],RMSE [V]
0.33711,4.2038,4.1705e-16,8474.8,91.175,0.0020306
0.34595,4.1927,2.2992e-16,15373,81.693,0.0011837
0.35488,4.1863,1.7505e-16,20191,73.066,0.00084958
0.36377,4.1824,2.1209e-16,16665,63.58,0.00091082
0.37266,4.1792,3.4516e-16,10240,60.603,0.0015842
0.38154,4.1757,7.1991e-16,4909.5,58.577,0.0034356
0.39053,4.1695,2.4078e-15,1467.9,59.626,0.0054786
0.39937,4.157,2.3739e-15,1488.8,53.365,0.0064548
0.4083,4.1393,2.2093e-15,1599.8,46.738,0.0071528
0.41719,4.1188,2.446e-15,1445,43.993,0.0070811
0.42608,4.0962,2.3575e-15,1499.2,40.614,0.0062671
0.435,4.0738,2.4132e-15,1464.6,38.064,0.0053025
0.44387,4.0538,2.4731e-15,1429.1,39.477,0.0045051
0.45279,4.0364,2.4043e-15,1470,40.688,0.0040328
0.46165,4.0213,2.3171e-15,1525.4,41.699,0.0035204
0.47058,4.0082,2.3436e-15,1508.1,43.532,0.0034773
0.47952,3.9961,2.2311e-15,1584.1,42.668,0.0036467
0.48838,3.9842,2.2298e-15,1585,42.405,0.0037989
0.4973,3.9719,2.1765e-15,1623.9,38.759,0.0040523
0.5062,3.9589,2.025e-15,1745.4,37.567,0.0043501
0.5151,3.9449,2.0501e-15,1724,32.625,0.0045853
0.52401,3.93,2.433e-15,1452.7,34.765,0.0047645
0.53287,3.9142,2.2715e-15,1555.9,30.786,0.0047478
0.54178,3.898,2.2144e-15,1596.1,31.061,0.0047011
0.55068,3.8816,2.2282e-15,1586.2,30.857,0.0044791
0.55962,3.8654,3.3821e-15,1045,35.326,0.0043183
0.56848,3.85,3.2601e-15,1084.1,36.868,0.0039457
0.57739,3.8352,3.1522e-15,1121.2,35.619,0.0034509
0.5863,3.8221,2.9612e-15,1193.6,35.903,0.0031365
0.59521,3.81,2.9045e-15,1216.9,35.848,0.003009
0.6041,3.7988,2.9413e-15,1201.6,36.742,0.0027799
0.61299,3.7886,2.9095e-15,1214.8,38.005,0.0025481
0.62188,3.7793,2.9363e-15,1203.7,39.221,0.0025288
0.63083,3.7702,2.7799e-15,1271.4,40.851,0.0025138
0.63965,3.7616,2.6854e-15,1316.1,39.907,0.002383
0.64858,3.753,2.7411e-15,1289.4,40.658,0.0024416
0.65752,3.7445,2.6769e-15,1320.3,42.542,0.0024679
0.66641,3.7359,2.5319e-15,1395.9,41.724,0.002425
0.67529,3.7274,2.4108e-15,1466.1,43.817,0.0024853
0.68428,3.7185,2.3809e-15,1484.5,43.83,0.0025182
0.69307,3.7099,2.0706e-15,1707,45.02,0.0024142
0.702,3.7012,2.1019e-15,1681.5,47.201,0.0024781
0.71084,3.6925,1.999e-15,1768,49.98,0.0023255
0.71982,3.6839,2.0259e-15,1744.6,53.131,0.0023937
0.72876,3.6752,2.0634e-15,1712.9,55.398,0.002531
0.7376,3.6666,2.0626e-15,1713.6,57.035,0.0026197
0.74648,3.6575,1.9229e-15,1838.1,64.834,0.0027098
0.75537,3.6481,1.7674e-15,1999.7,66.481,0.002808
0.76426,3.6383,1.6435e-15,2150.6,80.203,0.0029137
0.77324,3.6278,5.9851e-16,5905.3,77.843,0.0030321
0.78213,3.6168,3.9514e-16,8944.7,95.045,0.0029431
0.79102,3.6057,2.1981e-16,16079,115.07,0.0029023
0.79995,3.5949,1.2296e-16,28744,135.48,0.0031204
0.80889,3.5846,7.2459e-17,48778,174.99,0.003761
0.81777,3.5752,3.3764e-17,1.0468e+05,234.95,0.006594
0.82666,3.5668,2.1421e-17,1.65e+05,272.35,0.0074764
0.83545,3.5588,2.14e-17,1.6516e+05,348.33,0.0084889
0.84443,3.5511,2.3261e-17,1.5194e+05,427.23,0.0099484
0.85332,3.5436,2.7751e-17,1.2736e+05,519.93,0.012162
0.86221,3.5357,3.327e-17,1.0623e+05,526.37,0.016654
0.87109,3.5258,4.137e-17,85434,471.49,0.021532
0.88,3.5119,4.8286e-17,73197,365.04,0.027565
0.88892,3.4871,5.3803e-17,65691,217.07,0.038428
0.8978,3.4406,5.8813e-17,60095,100.64,0.066776
0.90669,3.3386,6.8966e-17,51249,0,0.093451
