Charge capacity [mA.h],Stoichiometry,Voltage [V]
0.30993,0.91401,3.5558
0.36724,0.90422,3.5637
0.42455,0.89442,3.5717
0.48186,0.88463,3.5802
0.53917,0.87484,3.5895
0.59648,0.86505,3.5997
0.65379,0.85525,3.6108
0.71111,0.84546,3.622
0.76842,0.83567,3.633
0.82573,0.82588,3.6435
0.88304,0.81608,3.6532
0.94034,0.80629,3.6626
0.99765,0.7965,3.6714
1.055,0.78671,3.6801
1.1123,0.77692,3.6886
1.1696,0.76712,3.6972
1.2269,0.75733,3.7057
1.2842,0.74754,3.7142
1.3415,0.73775,3.7227
1.3988,0.72796,3.7312
1.4561,0.71816,3.7395
1.5134,0.70837,3.748
1.5707,0.69858,3.7561
1.628,0.68879,3.7643
1.6853,0.679,3.7726
1.7426,0.66921,3.7812
1.7999,0.65941,3.7899
1.8573,0.64962,3.7993
1.9146,0.63983,3.8094
1.9719,0.63004,3.8203
2.0292,0.62025,3.8324
2.0865,0.61045,3.8452
2.1438,0.60066,3.8591
2.2011,0.59087,3.8735
2.2584,0.58108,3.8879
2.3157,0.57129,3.9019
2.373,0.56149,3.9162
2.4303,0.5517,3.9302
2.4876,0.54191,3.9434
2.5449,0.53212,3.9559
2.6022,0.52233,3.9679
2.6596,0.51253,3.9794
2.7169,0.50274,3.9901
2.7742,0.49295,4.0006
2.8315,0.48316,4.0113
2.8888,0.47337,4.0224
2.9461,0.46357,4.0346
3.0034,0.45378,4.0476
3.0607,0.44399,4.0629
3.118,0.4342,4.0794
3.1753,0.42441,4.0962
3.2326,0.41461,4.1122
3.2899,0.40482,4.1276
3.3472,0.39503,4.1419
3.4045,0.38524,4.1546
3.4619,0.37545,4.1652
3.5192,0.36565,4.1718
3.5765,0.35586,4.1761
3.6338,0.34607,4.1787
3.6911,0.33628,4.1808
3.7484,0.32648,4.1828
3.8057,0.31669,4.1847
3.863,0.3069,4.1872
3.9203,0.2971,4.1902
3.9777,0.28731,4.194
4.035,0.27751,4.1982
4.0923,0.26772,4.2038
