Stoichiometry,Voltage [V]
0.901877,3.62087
0.901288,3.62097
0.900699,3.62108
0.90011,3.62119
0.899521,3.62131
0.898932,3.62143
0.898343,3.62158
0.897754,3.62173
0.897165,3.6219
0.896576,3.62208
0.895987,3.62227
0.895398,3.62246
0.894809,3.62265
0.89422,3.62284
0.893631,3.62303
0.893042,3.62321
0.892453,3.6234
0.891864,3.62359
0.891275,3.62378
0.890686,3.62397
0.890097,3.62417
0.889508,3.62437
0.888919,3.62457
0.88833,3.62477
0.887741,3.62498
0.887152,3.62519
0.886563,3.6254
0.885974,3.6256
0.885385,3.62581
0.884796,3.626
0.884207,3.6262
0.883618,3.62639
0.883029,3.62659
0.88244,3.62678
0.881851,3.62698
0.881262,3.62718
0.880673,3.62739
0.880084,3.62761
0.879495,3.62783
0.878905,3.62805
0.878316,3.62827
0.877727,3.6285
0.877138,3.62872
0.876549,3.62893
0.87596,3.62915
0.875371,3.62937
0.874782,3.62958
0.874193,3.6298
0.873604,3.63002
0.873015,3.63025
0.872426,3.63048
0.871837,3.63072
0.871248,3.63096
0.870659,3.63121
0.87007,3.63146
0.869481,3.63171
0.868892,3.63197
0.868303,3.63222
0.867714,3.63248
0.867125,3.63274
0.866536,3.63301
0.865947,3.63328
0.865358,3.63355
0.864769,3.63383
0.86418,3.63411
0.863591,3.63438
0.863002,3.63466
0.862413,3.63494
0.861824,3.63522
0.861235,3.6355
0.860646,3.63578
0.860057,3.63606
0.859468,3.63634
0.858879,3.63663
0.85829,3.63692
0.857701,3.63721
0.857112,3.63751
0.856523,3.63782
0.855934,3.63813
0.855345,3.63845
0.854756,3.63877
0.854167,3.6391
0.853578,3.63943
0.852989,3.63975
0.8524,3.64008
0.851811,3.64041
0.851222,3.64074
0.850633,3.64106
0.850044,3.64139
0.849455,3.64172
0.848866,3.64205
0.848277,3.64238
0.847688,3.64272
0.847099,3.64305
0.84651,3.6434
0.845921,3.64375
0.845332,3.6441
0.844743,3.64446
0.844154,3.64482
0.843565,3.64519
0.842976,3.64556
0.842387,3.64593
0.841798,3.6463
0.841209,3.64667
0.84062,3.64704
0.840031,3.64741
0.839442,3.64778
0.838853,3.64815
0.838263,3.64851
0.837674,3.64888
0.837085,3.64925
0.836496,3.64963
0.835907,3.65001
0.835318,3.6504
0.834729,3.65078
0.83414,3.65118
0.833551,3.65157
0.832962,3.65197
0.832373,3.65236
0.831784,3.65275
0.831195,3.65313
0.830606,3.65352
0.830017,3.65391
0.829428,3.65431
0.828839,3.6547
0.82825,3.65511
0.827661,3.65551
0.827072,3.65592
0.826483,3.65633
0.825894,3.65675
0.825305,3.65716
0.824716,3.65757
0.824127,3.65797
0.823538,3.65838
0.822949,3.65879
0.82236,3.6592
0.821771,3.65962
0.821182,3.66003
0.820593,3.66045
0.820004,3.66087
0.819415,3.66129
0.818826,3.66171
0.818237,3.66212
0.817648,3.66254
0.817059,3.66295
0.81647,3.66337
0.815881,3.66379
0.815292,3.66422
0.814703,3.66464
0.814114,3.66507
0.813525,3.66549
0.812936,3.66592
0.812347,3.66635
0.811758,3.66678
0.811169,3.66722
0.81058,3.66766
0.809991,3.66811
0.809402,3.66855
0.808813,3.669
0.808224,3.66944
