Stoichiometry,Voltage [V]
0.310877,4.18595
0.311464,4.1854
0.312051,4.18486
0.312638,4.18434
0.313226,4.18385
0.313813,4.1834
0.3144,4.18298
0.314987,4.1826
0.315574,4.18225
0.316162,4.18193
0.316749,4.18163
0.317336,4.18136
0.317923,4.1811
0.31851,4.18085
0.319098,4.18062
0.319685,4.1804
0.320272,4.18019
0.320859,4.17999
0.321446,4.1798
0.322034,4.17962
0.322621,4.17944
0.323208,4.17926
0.323795,4.17908
0.324382,4.1789
0.32497,4.17873
0.325557,4.17857
0.326144,4.17842
0.326731,4.17828
0.327318,4.17814
0.327906,4.17801
0.328493,4.17788
0.32908,4.17775
0.329667,4.17762
0.330254,4.1775
0.330842,4.17737
0.331429,4.17726
0.332016,4.17714
0.332603,4.17702
0.33319,4.17691
0.333778,4.17679
0.334365,4.17668
0.334952,4.17656
0.335539,4.17645
0.336126,4.17634
0.336714,4.17623
0.337301,4.17612
0.337888,4.17602
0.338475,4.17592
0.339062,4.17582
0.33965,4.17573
0.340237,4.17563
0.340824,4.17553
0.341411,4.17543
0.341998,4.17532
0.342586,4.17521
0.343173,4.1751
0.34376,4.175
0.344347,4.17489
0.344934,4.17479
0.345522,4.17468
0.346109,4.17458
0.346696,4.17448
0.347283,4.17439
0.34787,4.17429
0.348458,4.17419
0.349045,4.17408
0.349632,4.17397
0.350219,4.17386
0.350806,4.17374
0.351394,4.17362
0.351981,4.1735
0.352568,4.17338
0.353155,4.17325
0.353742,4.17313
0.35433,4.173
0.354917,4.17287
0.355504,4.17274
0.356091,4.1726
0.356678,4.17247
0.357266,4.17234
0.357853,4.1722
0.35844,4.17206
0.359027,4.17191
0.359614,4.17176
0.360201,4.17161
0.360789,4.17145
0.361376,4.17128
0.361963,4.17111
0.36255,4.17093
0.363137,4.17074
0.363725,4.17053
0.364312,4.17032
0.364899,4.17011
0.365486,4.16988
0.366073,4.16964
0.366661,4.16939
0.367248,4.16913
0.367835,4.16886
0.368422,4.16857
0.369009,4.16827
0.369597,4.16796
0.370184,4.16763
0.370771,4.16728
0.371358,4.16692
0.371945,4.16653
0.372533,4.16613
0.37312,4.16571
0.373707,4.16526
0.374294,4.1648
0.374881,4.16431
0.375468,4.16379
0.376056,4.16326
0.376643,4.16269
0.37723,4.1621
0.377817,4.16149
0.378404,4.16085
0.378992,4.1602
0.379579,4.15952
0.380166,4.15883
0.380753,4.15811
0.38134,4.15738
0.381928,4.15662
0.382515,4.15585
0.383102,4.15505
0.383689,4.15424
0.384276,4.15341
0.384864,4.15256
0.385451,4.1517
0.386038,4.15082
