Time [s],Current [mA],Discharge capacity [A.h],Voltage [V],Absolute error [V]
0,0,0,4.1915,2.9443e-05
0.0976,1.3758,1.8941e-08,4.143,0.024291
0.1296,1.3758,3.117e-08,4.143,0.019201
0.1776,1.3758,4.9514e-08,4.1429,0.014246
0.2556,1.3758,7.9323e-08,4.1429,0.0092675
0.4136,1.3758,1.3971e-07,4.1428,0.0043351
1.5576,1.3758,5.7691e-07,4.1422,6.6172e-05
15.214,1.3758,5.7958e-06,4.1376,0.00050365
72.934,1.3758,2.7855e-05,4.1271,0.0049744
132.93,1.3758,5.0785e-05,4.1229,0.0086087
192.93,1.3758,7.3715e-05,4.1214,0.0098248
252.93,1.3758,9.6645e-05,4.1205,0.010865
312.93,1.3758,0.00011957,4.1197,0.011461
372.93,1.3758,0.0001425,4.1192,0.011982
432.93,1.3758,0.00016543,4.1187,0.012189
492.93,1.3758,0.00018836,4.1183,0.01234
552.93,1.3758,0.00021129,4.1179,0.012616
612.93,1.3758,0.00023423,4.1175,0.012801
672.93,1.3758,0.00025716,4.1171,0.012844
732.93,1.3758,0.00028009,4.1167,0.012966
792.93,1.3758,0.00030302,4.1163,0.013155
852.93,1.3758,0.00032595,4.1159,0.013127
912.93,1.3758,0.00034888,4.1155,0.013265
972.93,1.3758,0.00037181,4.1151,0.013242
1032.9,1.3758,0.00039474,4.1147,0.013111
1092.9,1.3758,0.00041767,4.1143,0.013071
1152.9,1.3758,0.0004406,4.1138,0.012921
1212.9,1.3758,0.00046353,4.1134,0.012839
1272.9,1.3758,0.00048646,4.1129,0.012704
1332.9,1.3758,0.00050939,4.1123,0.012479
1392.9,1.3758,0.00053232,4.1118,0.012326
1452.9,1.3758,0.00055525,4.1112,0.01205
1512.9,1.3758,0.00057818,4.1106,0.011745
1572.9,1.3758,0.00060111,4.1099,0.011493
1632.9,1.3758,0.00062404,4.1091,0.010907
1692.9,1.3758,0.00064697,4.1083,0.010546
1752.9,1.3758,0.0006699,4.1074,0.010027
1812.9,1.3758,0.00069283,4.1064,0.0094351
1872.9,1.3758,0.00071576,4.1053,0.008664
1932.9,1.3758,0.00073869,4.1041,0.0079689
