Stoichiometry,Diffusivity [m2.s-1]
0,1.0133e-16
0.27075,1.0133e-16
0.28174,7.6783e-17
0.29268,7.4606e-17
0.30361,8.0276e-17
0.31436,1.0451e-16
0.32559,2.041e-16
0.33662,3.6488e-16
0.34736,7.3418e-16
0.35835,1.0863e-15
0.36929,1.278e-15
0.38022,1.2452e-15
0.39116,1.2307e-15
0.40211,1.0824e-15
0.41309,9.4988e-16
0.42402,8.4646e-16
0.43494,7.2901e-16
0.44584,6.6371e-16
0.45682,6.5265e-16
0.46772,6.468e-16
0.47868,6.9415e-16
0.48965,7.1714e-16
0.50056,7.6723e-16
0.51152,7.9507e-16
0.52246,7.6061e-16
0.53342,7.574e-16
0.54434,7.2032e-16
0.55531,7.4616e-16
0.56621,6.8511e-16
0.5772,6.7969e-16
0.58818,6.5273e-16
0.59905,5.5428e-16
0.61006,5.2736e-16
0.6209,4.7519e-16
0.63193,4.5117e-16
0.64282,4.162e-16
0.65391,4.2843e-16
0.66475,4.183e-16
0.67573,4.0172e-16
0.68667,4.1897e-16
0.69756,3.9696e-16
0.7085,3.8916e-16
0.71948,4.0579e-16
0.73037,3.8729e-16
0.74141,3.5562e-16
0.75234,3.6604e-16
0.76318,3.2476e-16
0.77412,3.1331e-16
0.78516,3.2166e-16
0.79609,3.2955e-16
0.80703,3.1042e-16
0.81797,3.0617e-16
0.82891,2.7617e-16
0.83984,2.173e-16
0.85078,1.5896e-16
0.86172,9.9963e-17
0.87266,5.2269e-17
1,5.2269e-17
