Stoichiometry,Voltage [V],Diffusivity [m2.s-1],Diffusion time [s],Lumped resistance [Ohm],RMSE [V]
0.25957,4.1975,3.6782e-17,96089,79.919,0.0020576
0.27139,4.1927,4.283e-17,82521,66.84,0.0012425
0.28291,4.1895,4.5555e-17,77586,56.946,0.001069
0.29453,4.1868,4.3993e-17,80340,48.621,0.00081733
0.30615,4.1848,4.0432e-17,87415,43.136,0.00074233
0.31836,4.1828,3.6198e-17,97641,39.296,0.00063346
0.32998,4.1809,3.7414e-17,94468,34.418,0.00045335
0.3416,4.178,4.1951e-17,84251,30.363,0.00052634
0.35332,4.1719,4.9549e-17,71332,25.645,0.00044788
0.36514,4.1607,6.9344e-17,50969,18.903,0.00098555
0.37686,4.1462,1.2062e-16,29301,13.309,0.0017151
0.38867,4.1303,1.3704e-16,25791,9.8535,0.002509
0.40039,4.1129,1.377e-16,25667,7.897,0.002761
0.41208,4.0949,1.4908e-16,23709,6.2409,0.0030848
0.42383,4.0773,1.6204e-16,21812,5.6783,0.0031053
0.4356,4.0613,1.6255e-16,21744,6.0371,0.0031186
0.44736,4.0471,1.6265e-16,21729,7.6309,0.0028616
0.45908,4.0341,1.6411e-16,21537,9.9043,0.0024231
0.47082,4.0228,1.7492e-16,20206,12.535,0.0022184
0.48257,4.0117,1.9243e-16,18367,14.356,0.0016231
0.4943,4.0014,2.1502e-16,16437,16.011,0.0015057
0.50608,3.991,2.1099e-16,16752,15.995,0.0013275
0.51782,3.9801,2.4795e-16,14255,14.395,0.0011945
0.52949,3.9684,2.7859e-16,12687,14.613,0.0012528
0.54125,3.9559,2.7305e-16,12944,13.969,0.0013546
0.55303,3.9424,2.8529e-16,12389,13.679,0.0013871
0.56472,3.9277,3.2499e-16,10875,14.741,0.0014197
0.57651,3.912,3.2133e-16,10999,14.358,0.0015293
0.58821,3.8958,3.4463e-16,10256,14.747,0.001575
0.6,3.8792,3.5856e-16,9857.2,14.375,0.0015817
0.61177,3.8629,3.8131e-16,9269.2,13.495,0.0015906
0.62344,3.8476,3.845e-16,9192.2,14.954,0.0014522
0.63516,3.8331,3.6733e-16,9621.9,15.67,0.0013766
0.6469,3.8199,3.789e-16,9328,17.624,0.0013138
0.65864,3.8082,3.2846e-16,10761,17.473,0.0012995
0.67051,3.7972,3.016e-16,11719,18.74,0.0011832
0.68213,3.7873,2.8342e-16,12470,19.616,0.0010189
0.69395,3.7778,2.819e-16,12538,19.101,0.00098253
0.70571,3.7688,2.5848e-16,13674,20.477,0.00095016
0.71738,3.7599,2.2438e-16,15752,21.104,0.0008666
0.7292,3.7511,2.1701e-16,16287,22.053,0.00099338
0.74082,3.7424,2.2224e-16,15904,22.878,0.00090023
0.75264,3.7335,1.9471e-16,18152,23.547,0.0009889
0.76436,3.7244,2.0052e-16,17626,24.653,0.00091379
0.77617,3.7154,1.767e-16,20002,26.397,0.0011162
0.78789,3.7064,1.713e-16,20632,27.789,0.0010401
0.79961,3.6973,1.5883e-16,22252,30.291,0.001006
0.81123,3.6883,1.6259e-16,21738,32.09,0.00093442
0.82314,3.6792,1.437e-16,24595,33.771,0.0011189
0.83477,3.6702,1.4065e-16,25130,39.007,0.0010933
0.84648,3.6611,1.1943e-16,29593,43.751,0.0012447
0.8583,3.6515,1.1849e-16,29828,48.464,0.0013283
0.86992,3.6417,1.1674e-16,30277,54.727,0.0015342
0.88174,3.6314,1.0642e-16,33212,58.298,0.0015785
0.89346,3.6208,9.5099e-17,37165,66.364,0.0017736
0.90518,3.6101,8.5141e-17,41512,80.415,0.0020139
0.91699,3.599,6.9902e-17,50562,89.531,0.002057
0.92871,3.5879,6.3951e-17,55267,101.23,0.0025334
0.94043,3.5767,5.7838e-17,61109,108.62,0.0025328
