Charge capacity [mA.h],Stoichiometry,Voltage [V]
7.4665,0.27077,4.2042
7.3518,0.28172,4.1942
7.2371,0.29266,4.1887
7.1225,0.3036,4.1853
7.0078,0.31455,4.1829
6.8931,0.32549,4.1809
6.7784,0.33644,4.179
6.6637,0.34738,4.1758
6.5491,0.35832,4.168
6.4344,0.36927,4.1536
6.3197,0.38021,4.1355
6.205,0.39115,4.1145
6.0904,0.4021,4.0923
5.9757,0.41304,4.0708
5.861,0.42399,4.0519
5.7463,0.43493,4.0358
5.6317,0.44587,4.0222
5.517,0.45682,4.0103
5.4023,0.46776,3.9994
5.2876,0.4787,3.9889
5.1729,0.48965,3.978
5.0583,0.50059,3.9662
4.9436,0.51154,3.9536
4.8289,0.52248,3.9398
4.7142,0.53342,3.9251
4.5996,0.54437,3.9097
4.4849,0.55531,3.8938
4.3702,0.56625,3.8775
4.2555,0.5772,3.8616
4.1409,0.58814,3.8464
4.0262,0.59908,3.8322
3.9115,0.61003,3.8194
3.7968,0.62097,3.8079
3.6822,0.63191,3.7973
3.5675,0.64286,3.7876
3.4528,0.6538,3.7786
3.3382,0.66474,3.77
3.2235,0.67569,3.7615
3.1088,0.68663,3.7532
2.9941,0.69757,3.7449
2.8795,0.70852,3.7365
2.7648,0.71946,3.7281
2.6501,0.7304,3.7196
2.5354,0.74135,3.711
2.4208,0.75229,3.7026
2.3061,0.76323,3.6941
2.1914,0.77418,3.6857
2.0768,0.78512,3.6776
1.9621,0.79606,3.6693
1.8474,0.80701,3.6608
1.7327,0.81795,3.6523
1.6181,0.82889,3.6436
1.5034,0.83984,3.6345
1.3887,0.85078,3.6253
1.2741,0.86172,3.6156
1.1594,0.87267,3.6055
1.0447,0.88361,3.5952
0.93005,0.89455,3.585
0.81538,0.9055,3.5753
0.70071,0.91644,3.5659
