cycle,pulse_id,branch,SOC_start,SOC_end,SOC_mid,I_A,pulse_time_s,relax_time_s,capacity_increment_mAh,delta_V_pulse_mV,delta_V_relax_mV,dE_s_mV,dE_tau_expected_mV,sqrt_t_slope_V_per_sqrt_s,sqrt_t_slope_stderr,sqrt_t_r2,u_prime_V_per_soc,u_prime_knots,u_prime_halfwidth_soc,u_prime_window_curvature_mV,Q_th_Ah,R_m,tau_d_s,Ds_app_m2_s,Ds_app_cm2_s,Ds_app_rel_uncertainty,Ds_app_cm2_s_uncertainty,Ds_app_relax_m2_s,Ds_app_relax_cm2_s,relax_over_pulse_sqrt_ratio,accepted,flags
1,1,lithiation,0.0,0.009629646462066254,0.004814823231033127,4.41545e-05,1799.9799999999996,9000.0,0.022077004697222218,-2385.2299451999997,363.2793427,-654.210003161911,-309.0434064557274,-0.015419963318562846,0.00014791300452051453,0.8620619464842832,-31.446521053034907,301,0.014444469693099381,2542.2365964,0.0022464319849470867,1.37e-05,57015.83208410191,3.2918926750581405e-15,3.29189267505814e-11,0.019184611722448657,6.315368280296326e-13,4.548708531404288e-15,4.548708531404288e-11,1.1754961766254093,False,sqrt(t) fit weak (R2=0.862); OCP not locally linear over the pulse step (2542 mV across the window)
1,2,lithiation,0.009629646462066254,0.019259358351075163,0.014444502406570709,4.41548e-05,1799.9800000000032,9000.0,0.022077154695555594,-490.57793619999995,263.7710572,-247.2288064017284,-202.86912566137485,-0.005827271224196222,9.540997292127146e-06,0.9953597993672538,-20.642682398547795,450,0.014444567833513364,2619.4192171,0.0022464319849470867,1.37e-05,18895.844212893626,9.932871899522184e-15,9.932871899522184e-11,0.0032746020993533465,3.2526203174783205e-13,1.6791797941745e-14,1.6791797941744999e-10,1.300203056231836,False,OCP not locally linear over the pulse step (2619 mV across the window)
1,3,lithiation,0.019259358351075163,0.028889048431103195,0.024074203391089177,4.41547e-05,1799.9800000000032,9000.0,0.02207710469611115,-331.5271139000001,222.81444069999995,-271.23576462245614,-85.0702985577681,-0.006393123799614996,1.95739721352338e-05,0.9839598413873032,-8.656236507445248,447,0.014444535120042049,263.70960470000006,0.0022464319849470867,1.37e-05,129341.55109998139,1.4511191369192339e-15,1.4511191369192338e-11,0.006123445360595887,8.88584874663999e-14,9.95482945121093e-15,9.954829451210929e-11,2.6191801895310722,False,OCP not locally linear over the pulse step (264 mV across the window)
1,4,lithiation,0.0288890484311032,0.0385187603201121,0.03370390437560765,4.41548e-05,1799.9800000000032,9000.0,0.022077154695555594,-266.74443490000004,184.92844700000006,-239.22719840947457,-60.30520654474011,-0.005638670467354024,1.6095313506437205e-05,0.9860287706885805,-6.136277374013992,407,0.014444567833513356,180.56958909999997,0.0022464319849470867,1.37e-05,200221.8917709027,9.374099821949443e-16,9.374099821949443e-12,0.005708903756523305,5.351583368755162e-14,8.815103188347867e-15,8.815103188347866e-11,3.066541972007054,False,OCP not locally linear over the pulse step (181 mV across the window)
1,5,lithiation,0.0385187603201121,0.048148472209120975,0.04333361626461654,4.41548e-05,1799.979999999996,9000.0,0.022077154695555504,-211.4718557,155.69442510000005,-191.31341909675425,-52.616380798745446,-0.004509325584388359,1.4152770314618224e-05,0.983158420672634,-5.35391097215317,269,0.014444567833513309,137.80726489999998,0.0022464319849470867,1.37e-05,168208.90867830598,1.115814860667998e-15,1.1158148606679979e-11,0.006277111754190575,7.004094577399607e-14,9.770039546194994e-15,9.770039546194995e-11,2.959048546032119,False,OCP not locally linear over the pulse step (138 mV across the window)
1,6,lithiation,0.048148472209120975,0.05777818409812984,0.05296332815362541,4.41548e-05,1799.979999999996,9000.0,0.022077154695555504,-174.2257178,134.9301636,-155.959204688408,-44.83612293112464,-0.003676014129811924,1.2285186600677576e-05,0.9809473903874788,-4.5622410144082,129,0.014444567833513298,113.07029420000003,0.0022464319849470867,1.37e-05,153945.1430787168,1.2192005297889029e-15,1.2192005297889028e-11,0.006683971370537754,8.149101436053487e-14,1.1041730275624356e-14,1.1041730275624357e-10,3.0094074772538657,False,OCP not locally linear over the pulse step (113 mV across the window)
1,7,lithiation,0.05777818409812984,0.06740789598713871,0.06259304004263427,4.41548e-05,1799.979999999996,9000.0,0.022077154695555504,-144.91724970000004,115.41590089999998,-125.02096401234469,-35.047701489351304,-0.002946788752547712,1.1742594807359681e-05,0.9731280178590265,-3.5662330001431983,18,0.014444567833513309,88.8094157,0.0022464319849470867,1.37e-05,161899.9351151206,1.1592963262557275e-15,1.1592963262557276e-11,0.007969756771473597,9.239309746321048e-14,1.2572066484430518e-14,1.257206648443052e-10,3.2931089913290688,True,
1,8,lithiation,0.06740789598713871,0.07703758606716671,0.0722227410271527,4.41547e-05,1799.979999999996,9000.0,0.02207710469611106,-118.17300320000001,97.25531940000002,-95.83918198144937,-24.98704954985599,-0.0022589637325818586,1.0840727467952472e-05,0.9614926282972149,-2.5425302860543098,11,0.014444535120041992,69.5007593,0.0022464319849470867,1.37e-05,187178.65005032136,1.0027318818120611e-15,1.0027318818120611e-11,0.009597965041751404,9.624185547881763e-14,1.519083324773647e-14,1.519083324773647e-10,3.8922290207152743,True,
1,9,lithiation,0.07703758606716671,0.08666723252923293,0.08185240929819981,4.41545e-05,1799.979999999996,9000.0,0.02207700469722217,-93.5934186,83.39113,-69.81625197761198,-19.662897760810583,-0.0016455939825607937,8.699463886162762e-06,0.9536521928032922,-2.000786023848026,10,0.014444469693099336,52.58113149999999,0.0022464319849470867,1.37e-05,160405.06923699996,1.1701001775865716e-15,1.1701001775865715e-11,0.01057303803776078,1.2371513685613465e-13,2.1045910577764514e-14,2.1045910577764514e-10,4.2410396989503685,True,
1,10,lithiation,0.08666723252923293,0.09629687899129917,0.09148205576026605,4.41545e-05,1799.979999999996,9000.0,0.02207700469722217,-74.57396390000001,82.4963749,-50.210648704518434,-15.071006441329375,-0.0011834829144813628,8.388725794258946e-06,0.9196492703551,-1.533540957184549,9,0.014444469693099357,39.28680720000003,0.0022464319849470867,1.37e-05,141223.5824599634,1.3290273248323078e-15,1.3290273248323078e-11,0.01417633612046716,1.8840738070108088e-13,3.9821638833584784e-14,3.9821638833584784e-10,5.473846436278426,True,
