branch,SOC,n_pulses,Ds_app_m2_s,Ds_app_cm2_s,Ds_app_cm2_s_p25,Ds_app_cm2_s_p75,Ds_app_rel_uncertainty_median,Ds_app_cm2_s_uncertainty,SOC_lo,SOC_hi
delithiation,0.14,1,2.1007285392080817e-13,2.100728539208082e-09,2.100728539208082e-09,2.100728539208082e-09,0.008017554584386535,1.6842705730079387e-11,0.1477748814278787,0.1477748814278787
delithiation,0.16,9,2.2601042064744345e-13,2.2601042064744347e-09,9.574893612705594e-10,4.48733551198184e-09,0.008913769456668398,2.0146047844559582e-11,0.15054646650825093,0.16586556999461088
delithiation,0.18,8,1.0615018286955141e-14,1.061501828695514e-10,6.008978126887811e-11,1.4741495628384158e-10,0.004291207107772794,3.954250874132822e-13,0.17065205671508138,0.1860871438803362
delithiation,0.2,10,6.132676650788537e-16,6.132676650788537e-12,3.696715236177597e-12,7.547103031396007e-12,0.002916484897029986,1.2715804547417817e-14,0.19075765830569308,0.20630878646160217
delithiation,0.22,10,4.062755156281915e-16,4.062755156281915e-12,2.9873683406963845e-12,5.982746733357174e-12,0.003471596689565758,1.3970370176080157e-14,0.2108632371287425,0.22653045194138133
delithiation,0.24,10,5.1884490262792716e-15,5.1884490262792715e-11,2.998109498828719e-11,9.204641336928676e-11,0.0037803353633753915,2.350826948884906e-13,0.23096883871935414,0.24675208307339075
delithiation,0.26,10,1.0740459115194904e-14,1.0740459115194904e-10,1.0482859478961316e-10,1.177424450323789e-10,0.003319008699281631,3.752353478205006e-13,0.2510744403099658,0.26697369130688703
delithiation,0.28,10,1.048458045972136e-14,1.0484580459721361e-10,9.919890549098317e-11,1.1847794951944338e-10,0.00567553520450793,6.139304052135391e-13,0.2711799963654531,0.28719540258369236
delithiation,0.3,10,6.659554348461155e-15,6.659554348461154e-11,6.074992192501392e-11,8.633294960428362e-11,0.0059987023773114875,4.032615891449111e-13,0.29128562072362696,0.30741712530975424
delithiation,0.32,10,3.2803307701840484e-15,3.280330770184048e-11,2.6134602690443507e-11,3.7729575705059456e-11,0.0017772866152210394,5.946928367533397e-14,0.31139113124398987,0.327638722093994
delithiation,0.34,11,2.116433452335579e-15,2.116433452335579e-11,2.010332566881502e-11,2.1832139493011886e-11,0.001548317707131873,3.0088483993182944e-14,0.33073778254997027,0.3499970536651216
delithiation,0.36,10,2.1035400025188895e-15,2.1035400025188897e-11,2.0204372417924392e-11,2.2211422065634533e-11,0.002487031461909467,5.318100492489336e-14,0.35160185630640717,0.369256270257821
delithiation,0.38,10,2.3716410611618515e-15,2.3716410611618517e-11,2.24052107543734e-11,2.517250466032103e-11,0.00529037081366002,1.271566283516145e-13,0.3717073895943322,0.3885154214235776
