cycle,pulse_id,branch,SOC_start,SOC_end,SOC_mid,I_A,pulse_time_s,relax_time_s,capacity_increment_mAh,delta_V_pulse_mV,delta_V_relax_mV,quad_sqrt_t_slope_V_per_sqrt_s,quad_sqrt_t_slope_stderr,quad_t_slope_V_per_s,quad_r2,linear_sqrt_t_slope_V_per_sqrt_s,linear_sqrt_t_r2,slope_ratio_linear_over_quad,Ds_ratio_vs_linear,dUdt_expected_V_per_s,t_slope_over_expected_drift,u_prime_V_per_soc,u_prime_knots,u_prime_halfwidth_soc,u_prime_window_curvature_mV,Q_th_Ah,R_m,tau_d_s,Ds_app_m2_s,Ds_app_cm2_s,Ds_app_rel_uncertainty,Ds_app_cm2_s_uncertainty,Ds_app_relax_m2_s,Ds_app_relax_cm2_s,relax_over_pulse_sqrt_ratio,accepted,flags
1,1,lithiation,0.0,0.009629646462066254,0.004814823231033127,4.41545e-05,1799.9799999999996,9000.0,0.022077004697222218,-2385.2299451999997,363.2793427,-0.04996877327535634,0.00031941788503729156,0.0006402617234626306,0.9825808241185191,-0.015419963318562846,0.8620619464842832,0.3085919927149319,0.09522901796777257,-0.00017169268906083816,-3.7291146580840033,-31.446521053034907,301,0.014444469693099381,2542.2365964,0.0022464319849470867,1.37e-05,598723.3020023082,3.1348370670109043e-16,3.134837067010904e-12,0.01278469988755247,4.007795109810962e-14,4.3316904646725946e-16,4.331690464672595e-12,1.1754961766254097,False,OCP not locally linear over the pulse step (2542 mV across the window)
1,2,lithiation,0.009629646462066254,0.019259358351075163,0.014444502406570709,4.41548e-05,1799.9800000000032,9000.0,0.022077154695555594,-490.57793619999995,263.7710572,-0.006545553647223788,5.5285705850310096e-05,1.3311275921680102e-05,0.9957809691548077,-0.005827271224196222,0.9953597993672538,0.8902640690551491,0.7925701126506313,-0.00011270632210434255,-0.11810584954903094,-20.642682398547795,450,0.014444567833513364,2619.4192171,0.0022464319849470867,1.37e-05,23841.227307574496,7.872497400348587e-15,7.872497400348587e-11,0.016892598802168188,1.3298694015520072e-12,1.3308677186295473e-14,1.3308677186295473e-10,1.300203056231836,False,OCP not locally linear over the pulse step (2619 mV across the window)
1,3,lithiation,0.019259358351075163,0.028889048431103195,0.024074203391089177,4.41547e-05,1799.9800000000032,9000.0,0.02207710469611115,-331.5271139000001,222.81444069999995,-0.011103856147377949,3.201731717390599e-05,8.729972509969848e-05,0.9988378602053163,-0.006393123799614996,0.9839598413873032,0.5757570806718944,0.3314962159438223,-4.726180210767229e-05,-1.847151847930204,-8.656236507445248,447,0.014444535120042049,263.70960470000006,0.0022464319849470867,1.37e-05,390175.04538242007,4.810405027723914e-16,4.810405027723914e-12,0.005766882558446422,2.7741040853444016e-14,3.2999882934425414e-15,3.299988293442541e-11,2.6191801895310722,False,OCP not locally linear over the pulse step (264 mV across the window)
1,4,lithiation,0.0288890484311032,0.0385187603201121,0.03370390437560765,4.41548e-05,1799.9800000000032,9000.0,0.022077154695555594,-266.74443490000004,184.92844700000006,-0.00957390246008964,2.020543697620688e-05,7.292808120004958e-05,0.9994037752449458,-0.005638670467354024,0.9860287706885805,0.5889625981526063,0.34687694202266844,-3.3503264783353156e-05,-2.1767455103744253,-6.136277374013992,407,0.014444567833513356,180.56958909999997,0.0022464319849470867,1.37e-05,577213.0329660779,3.251659080453062e-16,3.251659080453062e-12,0.00422094063741228,1.3725059951694976e-14,3.057756037588382e-15,3.057756037588382e-11,3.066541972007055,False,OCP not locally linear over the pulse step (181 mV across the window)
1,5,lithiation,0.0385187603201121,0.048148472209120975,0.04333361626461654,4.41548e-05,1799.979999999996,9000.0,0.022077154695555504,-211.4718557,155.69442510000005,-0.007988950684463722,1.537216320767669e-05,6.448471661281957e-05,0.9994619688127815,-0.004509325584388359,0.983158420672634,0.5644452898123076,0.3185984851912999,-2.9231647462052673e-05,-2.2059898162267793,-5.35391097215317,269,0.014444567833513309,137.80726489999998,0.0022464319849470867,1.37e-05,527965.1865805523,3.5549692436276553e-16,3.554969243627655e-12,0.0038483560144065617,1.3680787269744832e-14,3.1127197996768205e-15,3.1127197996768203e-11,2.959048546032119,False,OCP not locally linear over the pulse step (138 mV across the window)
1,6,lithiation,0.048148472209120975,0.05777818409812984,0.05296332815362541,4.41548e-05,1799.979999999996,9000.0,0.022077154695555504,-174.2257178,134.9301636,-0.006710619683756586,1.128663499983685e-05,5.623758920865011e-05,0.9995645305584382,-0.003676014129811924,0.9809473903874788,0.5477905622799505,0.3000745001229843,-2.490923395322434e-05,-2.2577004702053682,-4.5622410144082,129,0.014444567833513298,113.07029420000003,0.0022464319849470867,1.37e-05,513023.07598820626,3.658509895260827e-16,3.6585098952608265e-12,0.0033638130401449375,1.2306543293177657e-14,3.3133416929507993e-15,3.313341692950799e-11,3.0094074772538653,False,OCP not locally linear over the pulse step (113 mV across the window)
1,7,lithiation,0.05777818409812984,0.06740789598713871,0.06259304004263427,4.41548e-05,1799.979999999996,9000.0,0.022077154695555504,-144.91724970000004,115.41590089999998,-0.005855212711495739,9.456756006026823e-06,5.389918028565249e-05,0.9995280525012132,-0.002946788752547712,0.9731280178590265,0.5032761229600047,0.25328685594165373,-1.947116161810208e-05,-2.7681543270404134,-3.5662330001431983,18,0.014444567833513309,88.8094157,0.0022464319849470867,1.37e-05,639195.9603005034,2.936345215820228e-16,2.936345215820228e-12,0.00323020066801674,9.484984277670258e-15,3.1843391925308466e-15,3.184339192530846e-11,3.2931089913290696,True,
1,8,lithiation,0.06740789598713871,0.07703758606716671,0.0722227410271527,4.41547e-05,1799.979999999996,9000.0,0.02207710469611106,-118.17300320000001,97.25531940000002,-0.004952806604549158,6.945781776092987e-06,4.9922543847396304e-05,0.9995719376196561,-0.0022589637325818586,0.9614926282972149,0.45609770640085123,0.2080251177841171,-1.3881848437124884e-05,-3.5962461392307152,-2.5425302860543098,11,0.014444535120041992,69.5007593,0.0022464319849470867,1.37e-05,899788.6988078541,2.0859341781984344e-16,2.0859341781984346e-12,0.0028047861871744718,5.850599370366103e-15,3.1600748755992613e-15,3.1600748755992614e-11,3.892229020715274,True,
1,9,lithiation,0.07703758606716671,0.08666723252923293,0.08185240929819981,4.41545e-05,1799.979999999996,9000.0,0.02207700469722217,-93.5934186,83.39113,-0.003802704731774326,6.551953567024022e-06,3.997577478698876e-05,0.9992880924419772,-0.0016455939825607937,0.9536521928032922,0.43274303387551377,0.18726653336778407,-1.0923953466599978e-05,-3.6594603692898193,-2.000786023848026,10,0.014444469693099336,52.58113149999999,0.0022464319849470867,1.37e-05,856560.2531978886,2.1912060394966576e-16,2.1912060394966577e-12,0.00344594388950462,7.550773062449127e-15,3.941194715466339e-15,3.941194715466339e-11,4.241039698950369,True,
1,10,lithiation,0.08666723252923293,0.09629687899129917,0.09148205576026605,4.41545e-05,1799.979999999996,9000.0,0.02207700469722217,-74.57396390000001,82.4963749,-0.0032725433237487853,4.210191896084287e-06,3.871465962873508e-05,0.9994519257746658,-0.0011834829144813628,0.9196492703551,0.3616401059973292,0.13078356626575952,-8.372874388231764e-06,-4.623819471500645,-1.533540957184549,9,0.014444469693099357,39.28680720000003,0.0022464319849470867,1.37e-05,1079826.6670063818,1.7381493320621127e-16,1.7381493320621127e-12,0.002573039669501701,4.472327182913701e-15,5.208015941203281e-15,5.2080159412032807e-11,5.473846436278427,True,
