axis,model,rate,branch,case,parameter_set,D_prescribed_m2_s,D_origin,tau_d_of_prescribed_s,Fo_over_window,n_points,rmse_mV,mae_mV,bias_mV,max_abs_mV,v_exp_start_V,v_exp_end_V,v_sim_start_V,v_sim_end_V,duration_s,coverage_fraction
pocv_replay,SPM,pOCV-lith,lithiation,control_native_ecker,sintef_graphite_ocp_lith_capmatch_v1_v2,,reference set native D(SOC),,,1978,44.74139818058967,3.2103121261757814,-3.206150861404477,1939.1811937909824,3.0160996914,0.0159007926,1.0769184976090176,0.0060305900650583,159810.021,0.9889886607368694
pocv_replay,SPM,pOCV-lith,lithiation,gitt_curve,sintef_graphite_dsapp_lith_v1_v2,,Phase B1 GITT apparent D_s(SOC),,,932,68.56560436690768,19.344557108105718,-19.3409275158085,1939.1811937909824,3.0160996914,0.0661413521,1.0769184976090176,0.0097924549907098,75250.021,0.4656868012626773
pocv_replay,SPM,pOCV-lith,lithiation,const_1e-17,sintef_graphite_Dsweep_lith_1e-17_v2,1e-17,prescribed constant (sensitivity grid),18768999.999999996,0.0010245628429857746,239,271.2509938554151,219.24319901027266,-219.24319901027266,1939.1811937909824,3.0160996914,0.1250756681,1.0769184976090176,0.0070862546649259,19230.02,0.11900550169969136
pocv_replay,SPM,pOCV-lith,lithiation,const_3e-17,sintef_graphite_Dsweep_lith_3e-17_v2,3e-17,prescribed constant (sensitivity grid),6256333.333333332,0.00485588257232671,377,217.13275354910235,161.396202789206,-161.396202789206,1939.1811937909824,3.0160996914,0.1023074463,1.0769184976090176,0.0059352367359026,30380.02,0.18800757990613934
pocv_replay,SPM,pOCV-lith,lithiation,const_1e-16,sintef_graphite_Dsweep_lith_1e-16_v2,1e-16,prescribed constant (sensitivity grid),1876899.9999999998,0.03681603761521658,856,140.33590084470063,84.49815289149647,-84.49815289149647,1939.1811937909824,3.0160996914,0.0686651319,1.0769184976090176,0.0063714075613537,69100.021,0.4276273590232464
pocv_replay,SPM,pOCV-lith,lithiation,const_3e-16,sintef_graphite_Dsweep_lith_3e-16_v2,3e-16,prescribed constant (sensitivity grid),625633.3333333333,0.19185362192977784,1486,98.09228854534672,45.16404976470237,-45.16404976470237,1939.1811937909824,3.0160996914,0.0504309125,1.0769184976090176,0.0059531311199185,120030.021,0.7428090489832818
pocv_replay,SPM,pOCV-lith,lithiation,const_1e-15,sintef_graphite_Dsweep_lith_1e-15_v2,1e-15,prescribed constant (sensitivity grid),187689.99999999997,0.7924237892269169,1841,74.72025231407633,25.670057186516747,-25.670057186516747,1939.1811937909824,3.0160996914,0.0375318564,1.0769184976090176,0.0057853962101947,148730.021,0.9204197794339597
pocv_replay,SPM,pOCV-lith,lithiation,const_3e-15,sintef_graphite_Dsweep_lith_3e-15_v2,3e-15,prescribed constant (sensitivity grid),62563.33333333333,2.510416447333369,1944,59.2620264127051,14.792569530943828,-14.792569530943828,1939.1811937909824,3.0160996914,0.0233742651,1.0769184976090176,0.0056834837098361,157060.021,0.97197021095501
pocv_replay,SPM,pOCV-lith,lithiation,const_1e-14,sintef_graphite_Dsweep_lith_1e-14_v2,1e-14,prescribed constant (sensitivity grid),18768.999999999996,8.523097714316162,1980,49.90934992257116,7.633641817979532,-7.633641817979532,1939.1811937909824,3.0160996914,0.0154301329,1.0769184976090176,0.0057478479332657,159970.021,0.989978825087814
pocv_replay,SPM,pOCV-lith,lithiation,const_3e-14,sintef_graphite_Dsweep_lith_3e-14_v2,3e-14,prescribed constant (sensitivity grid),6256.333333333333,25.698761947892805,1990,46.73734794975305,4.6055000143965845,-4.6055000143965845,1939.1811937909824,3.0160996914,0.0128203845,1.0769184976090176,0.0061121526850914,160780.021,0.9949915321144707
pocv_replay,SPM,pOCV-lith,lithiation,const_1e-13,sintef_graphite_Dsweep_lith_1e-13_v2,1e-13,prescribed constant (sensitivity grid),1876.8999999999996,85.83303372582452,1994,45.35803436486431,3.2867716720736033,-3.286394396758083,1939.1811937909824,3.0160996914,0.0117389793,1.0769184976090176,0.0056247840867929,161100.021,0.9969718608163598
pocv_replay,SPM,pOCV-deli,delithiation,control_native_ecker,sintef_graphite_ocp_deli_capmatch_v1_v2,,reference set native D(SOC),,,2000,6.312674857813415,2.6538712748080897,2.6538712748080897,64.6617965291038,0.0824038908,1.0000014305,0.1098488894171469,1.064663227029104,148521.31000000003,1.0
pocv_replay,SPM,pOCV-deli,delithiation,gitt_curve,sintef_graphite_dsapp_deli_v1_v2,,Phase B1 GITT apparent D_s(SOC),,,434,373.959745869862,112.80187001080522,112.42096483464215,2993.2914046481587,0.0824038908,0.1136013865,0.1098488894171469,3.1068927911481588,32160.00100000002,0.21653459022143026
pocv_replay,SPM,pOCV-deli,delithiation,const_1e-17,sintef_graphite_Dsweep_deli_1e-17_v2,1e-17,prescribed constant (sensitivity grid),18768999.999999996,0.000985135116415367,250,536.7324478861203,195.5558133100525,194.9814049487876,2996.080660155411,0.0824038908,0.1117076576,0.1098488894171469,3.10778831775541,18490.00100000002,0.12449392615780197
pocv_replay,SPM,pOCV-deli,delithiation,const_3e-17,sintef_graphite_Dsweep_deli_3e-17_v2,3e-17,prescribed constant (sensitivity grid),6256333.333333332,0.004617720869518891,390,611.7008677072856,245.6787476826612,245.28104538890736,3028.827860673552,0.0824038908,0.1127883196,0.1098488894171469,3.141616180273552,28890.00100000002,0.19451754768389812
pocv_replay,SPM,pOCV-deli,delithiation,const_1e-16,sintef_graphite_Dsweep_deli_1e-16_v2,1e-16,prescribed constant (sensitivity grid),1876899.9999999998,0.03503116894879856,886,618.2861612160757,251.71977620388202,251.50231186454081,3034.453281897509,0.0824038908,0.1451159269,0.1098488894171469,3.179569208797509,65750.00100000002,0.4426974216696581
pocv_replay,SPM,pOCV-deli,delithiation,const_3e-16,sintef_graphite_Dsweep_deli_3e-16_v2,3e-16,prescribed constant (sensitivity grid),625633.3333333333,0.1844211263253237,1554,548.2887763121648,195.42444806285545,195.2686217332438,3001.4041733347826,0.0824038908,0.1971081793,0.1098488894171469,3.1985123526347823,115380.004,0.776858243439948
pocv_replay,SPM,pOCV-deli,delithiation,const_1e-15,sintef_graphite_Dsweep_deli_1e-15_v2,1e-15,prescribed constant (sensitivity grid),187689.99999999997,0.7671692951142844,1939,443.4404699448434,131.59140259999683,131.49128501387264,2686.291884306763,0.0824038908,0.5098827481,0.1098488894171469,3.196174632406763,143990.00500000003,0.9694905397750667
pocv_replay,SPM,pOCV-deli,delithiation,const_3e-15,sintef_graphite_Dsweep_deli_3e-15_v2,3e-15,prescribed constant (sensitivity grid),62563.33333333333,2.3739353721562155,2000,168.42163580126524,44.22883549008755,44.19663415830202,1175.4798018457689,0.0824038908,1.0000014305,0.1098488894171469,2.175481232345769,148521.31000000003,1.0
pocv_replay,SPM,pOCV-deli,delithiation,const_1e-14,sintef_graphite_Dsweep_deli_1e-14_v2,1e-14,prescribed constant (sensitivity grid),18768.999999999996,7.913117907187386,2000,43.349229883017195,11.28621755144794,11.28621755144794,391.89668203512326,0.0824038908,1.0000014305,0.1098488894171469,1.3918981125351233,148521.31000000003,1.0
pocv_replay,SPM,pOCV-deli,delithiation,const_3e-14,sintef_graphite_Dsweep_deli_3e-14_v2,3e-14,prescribed constant (sensitivity grid),6256.333333333333,23.739353721562157,2000,16.61288116886163,4.721656531513229,4.721656531513229,168.3475029434233,0.0824038908,1.0000014305,0.1098488894171469,1.1683489334434234,148521.31000000003,1.0
pocv_replay,SPM,pOCV-deli,delithiation,const_1e-13,sintef_graphite_Dsweep_deli_1e-13_v2,1e-13,prescribed constant (sensitivity grid),1876.8999999999996,79.13117907187386,2000,8.526036883767146,2.715644256837662,2.715644256837662,89.9534732933986,0.0824038908,1.0000014305,0.1098488894171469,1.0899549037933989,148521.31000000003,1.0
pocv_replay,SPMe,pOCV-lith,lithiation,control_native_ecker,sintef_graphite_ocp_lith_capmatch_v1_v2,,reference set native D(SOC),,,1978,44.74342128066493,3.334790241039912,-3.330743447850291,1939.1811937909824,3.0160996914,0.0159007926,1.0769184976090176,0.0062800325241851,159810.021,0.9889886607368694
