axis,model,protocol,t_protocol_s,rmse_control_mV,rmse_gitt_curve_mV,rmse_min_over_lattice_mV,D_at_rmse_min_m2_s,rmse_spread_over_lattice_mV,dV_dlog10D_mV_per_decade,sensitivity_threshold_D_m2_s,Fo_at_threshold,Fo_gitt_curve_min,Fo_gitt_curve_median,Fo_gitt_curve_max,sustained_control,sustained_gitt_curve,sustained_spread_over_lattice,sustained_deviation_control_pct,sensitivity_threshold_D_from_sustained_m2_s,Fo_at_threshold_from_sustained,V_half_protocol_control_V,V_half_protocol_deviation_control_mV,sensitivity_threshold_D_from_voltage_m2_s,Fo_at_threshold_from_voltage,q_to_cutoff_control_mAh,q_to_cutoff_gitt_curve_mAh,q_to_cutoff_spread_over_lattice_mAh,dV_dlog10D_at_half_protocol_mV_per_decade
pocv_replay,SPM,pOCV-lith,159810.021,44.74139818058967,68.56560436690768,45.35803436486431,1e-13,225.89295949055082,-54.43984530476942,,,,,,,,,,,,,,,,,,,
pocv_replay,SPM,pOCV-deli,148521.31000000003,6.312674857813415,373.959745869862,8.526036883767146,1e-13,609.7601243323086,-180.93463394366518,,,,,,,,,,,,,,,,,,,
cc_rate,SPM,C/50,180000.0,,,,,,,,,0.0032809073070117333,0.21344631847689166,265.5941391288535,0.9900887815146381,0.47376713880597543,0.8749413224321106,86.79050155194959,1.3185230113511419e-15,1.2645007301572038,0.062043508213840484,11.772175072129555,1.5080975870893918e-15,1.4463080914065243,1.9232142678910813,0.920276785295658,1.699544188648145,0.004826366810500631
cc_rate,SPM,0.5C,7200.0,,,,,,,,,0.00013123629228046935,0.008537852739075666,10.623765565154141,0.7797748364431658,0.19512172357044472,0.8502344646636228,68.76896973599818,8.362165437928156e-15,0.3207820936282313,0.041204335810053346,9.69464831164013,,,1.514686479828333,0.379017407077479,1.6515519456672472,0.010496463126167107
cc_rate,SPM,1C,3600.0,,,,,,,,,6.561814614023467e-05,0.004268926369537833,5.3118827825770705,0.6284315081508619,0.17587150661375775,0.7961799744020923,54.07069163573331,9.563621217769596e-15,0.18343564592663725,0.028134492804987147,10.781659157066224,1.1441155247818172e-14,0.2194478069803688,1.220707138019601,0.34162450595353894,1.5465529103731401,0.01599369059289027
cc_rate,SPM,2C,1800.0,,,,,,,,,3.280907307011734e-05,0.0021344631847689164,2.6559413912885352,0.43058513938825493,0.1355597125762019,0.6310398046926595,35.6840591056254,,,,,,,0.8363971989931276,0.2633201973856634,1.225773666615554,
pocv_replay,SPMe,pOCV-lith,159810.021,44.74342128066493,68.59302422859305,45.36194166557782,1e-13,226.03514447271186,-54.47739979617989,,,,,,,,,,,,,,,,,,,
pocv_replay,SPMe,pOCV-deli,148521.31000000003,6.262144797312737,373.20963572762054,8.43673140822646,1e-13,609.6491831857891,-180.78255874639237,,,,,,,,,,,,,,,,,,,
cc_rate,SPMe,C/50,180000.0,,,,,,,,,0.0032809073070117333,0.21344631847689166,265.5941391288535,0.9901890794722874,0.4737703589719732,0.8750249901436966,86.7988670776722,1.3185226212727534e-15,1.2645003560610348,0.061929927862309886,11.772515891921408,1.5091529824981899e-15,1.4473202453496417,1.9234090933115817,0.9202830403601608,1.699706710373154,0.004825365470065778
cc_rate,SPMe,0.5C,7200.0,,,,,,,,,0.00013123629228046935,0.008537852739075666,10.623765565154141,0.7746621777005606,0.19464571612716308,0.8452465330941021,68.31117871110798,8.346794995690478e-15,0.3201924661354971,0.03834205833769698,9.698682288141573,,,1.5047553116096661,0.37809277857583984,1.6418630558011373,0.010501896477151258
cc_rate,SPMe,1C,3600.0,,,,,,,,,6.561814614023467e-05,0.004268926369537833,5.3118827825770705,0.6131354214126437,0.17395997953337725,0.7776770039231693,52.73735618842695,9.697803418415292e-15,0.18600933617291843,0.0223476045044479,10.802248006866751,1.1594979424979919e-14,0.22239824140832068,1.1909950022929061,0.33791142867896967,1.5106115104827245,0.01603852123247399
cc_rate,SPMe,2C,1800.0,,,,,,,,,3.280907307011734e-05,0.0021344631847689164,2.6559413912885352,0.33746766602728506,0.11506372134163717,0.43951751798741145,28.3917530611007,2.2423237712110847e-14,0.21504516959773842,,,,,0.6555196285152347,0.223507421488351,0.8537480449867793,
