rate_slug,source_rate,replay,D_scale,rmse_mV,bias_mV,coverage_fraction,Q_sim_Ah,Q_exp_Ah,n_pts
C0p1,Cover10,as_published_D1,1.0,126.90402923318497,-47.96946254342777,0.8740587591095409,0.0026334609160333826,0.0030137384197050743,3380
C0p1,Cover10,author_fitted_D,1.157,126.20664634916851,-47.81089723029367,0.8816681781317394,0.0026564382855841025,0.0030137384197050743,3392
C0p2,Cover5,as_published_D1,1.0,110.83715707065845,-50.43752438147089,0.842230938812562,0.0025241035705447002,0.002999071931764915,1934
C0p2,Cover5,author_fitted_D,2.093,136.69215204251887,-54.6374642522357,0.88056989543676,0.002639524290019223,0.002999071931764915,1974
C0p5,Cover2,as_published_D1,1.0,135.01371842015587,-69.87476779133011,0.8112468595590773,0.002400592837070352,0.002965805396669338,1230
C0p5,Cover2,author_fitted_D,3.891,120.04486743527794,-61.42796453780519,0.8748700558638611,0.0025911130403076478,0.002965805396669338,1205
C1,1C,as_published_D1,1.0,126.11061848930841,-101.7170502668554,0.7737216020145005,0.0023007787156530514,0.002990173603446914,1199
C1,1C,author_fitted_D,8.58,157.57019258167847,-96.10937086120556,0.8665465002279971,0.002583850814734073,0.002990173603446914,1143
C2,2C,as_published_D1,1.0,196.90258349823546,-174.1611596008901,0.7342513956794361,0.002171460318420316,0.002998334233993549,1230
C2,2C,author_fitted_D,12.262,171.3479829072536,-131.7991058633849,0.8523921966809168,0.0025388287846263664,0.002998334233993549,1103
