cell_id,cycle,segment,segment_label,t_start,t_end,duration_h,I_mA_median,V_start,V_end,Q_Ah,termination_reason,n_rows,raw_cycle_index,raw_step_index
SINTEF-LFP-NMP-1-pocv-d07eb6,1,rest,c1_pre_rest,0.02,21600.0,5.999994,0.0,3.14983,3.16771,0.0,next_event_or_eof,73,1,1
SINTEF-LFP-NMP-1-pocv-d07eb6,1,charge,c1_charge,21600.02,213183.99,53.217769,0.061601,3.17175,3.65,0.003278256,cutoff_3p65V_reached,19160,1,2
SINTEF-LFP-NMP-1-pocv-d07eb6,1,rest,c1_top_rest,213184.011,241983.991,7.999994,0.0,3.64905,3.47707,0.0,next_event_or_eof,2881,1,3
SINTEF-LFP-NMP-1-pocv-d07eb6,1,discharge,c1_discharge,241984.011,432863.791,53.022161,-0.061601,3.47611,2.5,0.003266216,cutoff_2p50V_reached,19089,1,4
SINTEF-LFP-NMP-1-pocv-d07eb6,1,rest,c1_bottom_rest,432863.811,461663.791,7.999994,0.0,2.50103,3.20965,0.0,next_event_or_eof,2881,1,5
SINTEF-LFP-NMP-1-pocv-d07eb6,2,charge,c2_charge,461663.811,653188.6,53.20133,0.0616,3.2107,3.65,0.00327722,cutoff_3p65V_reached,19154,2,2
SINTEF-LFP-NMP-1-pocv-d07eb6,2,rest,c2_top_rest,653188.621,681988.601,7.999994,0.0,3.64927,3.53222,0.0,next_event_or_eof,2881,2,3
SINTEF-LFP-NMP-1-pocv-d07eb6,2,discharge,c2_discharge,681988.621,874150.144,53.378201,-0.061602,3.53147,2.5,0.003288176,cutoff_2p50V_reached,19218,2,4
SINTEF-LFP-NMP-1-pocv-d07eb6,2,rest,c2_bottom_rest,874150.164,902950.144,7.999994,0.0,2.50076,2.94084,0.0,next_event_or_eof,2881,2,5
SINTEF-LFP-NMP-1-pocv-d07eb6,3,charge,c3_charge,902950.164,1095864.054,53.587192,0.061599,2.94163,3.65,0.0033009,cutoff_3p65V_reached,19293,3,2
SINTEF-LFP-NMP-1-pocv-d07eb6,3,rest,c3_top_rest,1095864.074,1124664.054,7.999994,0.0,3.64935,3.54688,0.0,next_event_or_eof,2881,3,3
SINTEF-LFP-NMP-1-pocv-d07eb6,3,discharge,c3_discharge,1124664.074,1317142.279,53.466168,-0.061599,3.54627,2.49999,0.00329345,cutoff_2p50V_reached,19249,3,4
SINTEF-LFP-NMP-1-pocv-d07eb6,3,rest,c3_bottom_rest,1317142.299,1345942.279,7.999994,0.0,2.50069,2.81319,0.0,next_event_or_eof,2881,3,5
SINTEF-LFP-NMP-1-pocv-d07eb6,4,charge,c4_charge,1345942.299,1539118.817,53.660144,0.061601,2.81397,3.65,0.003305507,cutoff_3p65V_reached,19319,4,2
SINTEF-LFP-NMP-1-pocv-d07eb6,4,rest,c4_top_rest,1539118.837,1567918.817,7.999994,0.0,3.64935,3.55099,0.0,next_event_or_eof,2881,4,3
SINTEF-LFP-NMP-1-pocv-d07eb6,4,discharge,c4_discharge,1567918.837,1760500.937,53.495028,-0.061601,3.55035,2.5,0.003295328,cutoff_2p50V_reached,19260,4,4
SINTEF-LFP-NMP-1-pocv-d07eb6,4,rest,c4_bottom_rest,1760500.958,1789300.938,7.999994,0.0,2.50067,2.80874,0.0,next_event_or_eof,2881,4,5
SINTEF-LFP-NMP-1-pocv-d07eb6,5,charge,c5_charge,1789300.958,1982501.855,53.666916,0.061601,2.80948,3.65,0.003305935,cutoff_3p65V_reached,19322,5,2
SINTEF-LFP-NMP-1-pocv-d07eb6,5,rest,c5_top_rest,1982501.876,2011301.856,7.999994,0.0,3.64935,3.55744,0.0,next_event_or_eof,2881,5,3
SINTEF-LFP-NMP-1-pocv-d07eb6,5,discharge,c5_discharge,2011301.876,2203910.323,53.502346,-0.061601,3.55682,2.5,0.003295792,cutoff_2p50V_reached,19262,5,4
SINTEF-LFP-NMP-1-pocv-d07eb6,5,rest,c5_bottom_rest,2203910.343,2232710.323,7.999994,0.0,2.50065,2.80571,0.0,next_event_or_eof,2881,5,5
