t_s,V_exp,V_sim,residual_mV,cap_fraction
0.000000,2.94162869,2.80515622,-136.472474,0.000052
10.000000,2.95625424,2.80906020,-147.194046,0.000104
20.000000,2.96800685,2.81101389,-156.992964,0.000155
30.000000,2.97878289,2.81252757,-166.255320,0.000207
40.000000,2.98876286,2.81382780,-174.935052,0.000259
50.000000,2.99802303,2.81499784,-183.025191,0.000311
60.000000,3.00675225,2.81607770,-190.674548,0.000363
70.000000,3.01487017,2.81709131,-197.778854,0.000415
80.000000,3.02247643,2.81805363,-204.422805,0.000466
90.000000,3.02966404,2.81897485,-210.689193,0.000518
100.000000,3.03645563,2.81986228,-216.593346,0.000570
110.000000,3.04289556,2.82072141,-222.174144,0.000622
120.000000,3.04903555,2.82155644,-227.479111,0.000674
130.000000,3.05491757,2.82237069,-232.546883,0.000726
140.000000,3.06059647,2.82316685,-237.429614,0.000777
150.000000,3.06607318,2.82394712,-242.126063,0.000829
160.000000,3.07138491,2.82471331,-246.671596,0.000881
170.000000,3.07654977,2.82546698,-251.082792,0.000933
180.000000,3.08162498,2.82620942,-255.415562,0.000985
190.000000,3.08657503,2.82694178,-259.633255,0.001037
200.000000,3.09149694,2.82766501,-263.831929,0.001088
210.000000,3.09623098,2.82837999,-267.850992,0.001140
220.000000,3.10096192,2.82908746,-271.874465,0.001192
230.000000,3.10560298,2.82978808,-275.814902,0.001244
240.000000,3.11021757,2.83048244,-279.735129,0.001296
250.000000,3.11477900,2.83117108,-283.607916,0.001348
260.000000,3.11929727,2.83185446,-287.442802,0.001399
270.000000,3.12377357,2.83253302,-291.240552,0.001451
280.000000,3.12822509,2.83320714,-295.017944,0.001503
290.000000,3.13263178,2.83387718,-298.754601,0.001555
300.000000,3.13701677,2.83454344,-302.473330,0.001607
310.000000,3.14138007,2.83520623,-306.173840,0.001659
320.000000,3.14571428,2.83586581,-309.848473,0.001710
330.000000,3.15004539,2.83652242,-313.522974,0.001762
340.000000,3.15434647,2.83717629,-317.170178,0.001814
350.000000,3.15863013,2.83782762,-320.802516,0.001866
360.000000,3.16289449,2.83847660,-324.417890,0.001918
370.000000,3.16713595,2.83912340,-328.012551,0.001970
380.000000,3.17136621,2.83976819,-331.598021,0.002021
390.000000,3.17557764,2.84041112,-335.166523,0.002073
400.000000,3.17978549,2.84105231,-338.733178,0.002125
410.000000,3.18396616,2.84169190,-342.274256,0.002177
420.000000,3.18814301,2.84233001,-345.813007,0.002229
430.000000,3.19229054,2.84296673,-349.323810,0.002281
440.000000,3.19642496,2.84360218,-352.822779,0.002332
450.000000,3.20054698,2.84423644,-356.310536,0.002384
460.000000,3.20465755,2.84486961,-359.787948,0.002436
470.000000,3.20873213,2.84550175,-363.230380,0.002488
480.000000,3.21281052,2.84613294,-366.677573,0.002540
490.000000,3.21684599,2.84676326,-370.082729,0.002592
500.000000,3.22085691,2.84739276,-373.464144,0.002643
510.000000,3.22485590,2.84802151,-376.834394,0.002695
520.000000,3.22883153,2.84864955,-380.181981,0.002747
530.000000,3.23275304,2.84927694,-383.476098,0.002799
540.000000,3.23669648,2.84990373,-386.792755,0.002851
550.000000,3.24053144,2.85052995,-390.001492,0.002903
560.000000,3.24436593,2.85115566,-393.210274,0.002955
570.000000,3.24814534,2.85178088,-396.364464,0.003006
580.000000,3.25188088,2.85240565,-399.475234,0.003058
590.000000,3.25559235,2.85303001,-402.562340,0.003110
600.000000,3.25923252,2.85365398,-405.578546,0.003162
610.000000,3.26283073,2.85427759,-408.553149,0.003214
620.000000,3.26636529,2.85490086,-411.464427,0.003266
630.000000,3.26983643,2.85552383,-414.312595,0.003317
640.000000,3.27325344,2.85614651,-417.106929,0.003369
650.000000,3.27660227,2.85676893,-419.833342,0.003421
660.000000,3.27987027,2.85739109,-422.479178,0.003473
670.000000,3.28306746,2.85801303,-425.054434,0.003525
680.000000,3.28620839,2.85863476,-427.573636,0.003577
690.000000,3.28926945,2.85925628,-430.013165,0.003628
700.000000,3.29224873,2.85987763,-432.371101,0.003680
710.000000,3.29513764,2.86049880,-434.638846,0.003732
720.000000,3.29794359,2.86111981,-436.823780,0.003784
730.000000,3.30066514,2.86174068,-438.924461,0.003836
740.000000,3.30332375,2.86236141,-440.962335,0.003888
750.000000,3.30589128,2.86298201,-442.909261,0.003939
760.000000,3.30835509,2.86360250,-444.752591,0.003991
770.000000,3.31074810,2.86422288,-446.525221,0.004043
780.000000,3.31307411,2.86484316,-448.230956,0.004095
790.000000,3.31528687,2.86546334,-449.823536,0.004147
800.000000,3.31743026,2.86608343,-451.346824,0.004199
810.000000,3.31950784,2.86670345,-452.804389,0.004250
820.000000,3.32151699,2.86732339,-454.193603,0.004302
830.000000,3.32343435,2.86794326,-455.491096,0.004354
840.000000,3.32527232,2.86856306,-456.709260,0.004406
850.000000,3.32705855,2.86918281,-457.875748,0.004458
860.000000,3.32877445,2.86980249,-458.971958,0.004510
870.000000,3.33041787,2.87042213,-459.995741,0.004561
880.000000,3.33200788,2.87104172,-460.966166,0.004613
890.000000,3.33354187,2.87166126,-461.880607,0.004665
900.000000,3.33500576,2.87228077,-462.724995,0.004717
910.000000,3.33642411,2.87290023,-463.523883,0.004769
920.000000,3.33779979,2.87351966,-464.280130,0.004821
930.000000,3.33911586,2.87413905,-464.976805,0.004872
940.000000,3.34038782,2.87475842,-465.629404,0.004924
950.000000,3.34161901,2.87537775,-466.241262,0.004976
960.000000,3.34282160,2.87599706,-466.824537,0.005028
970.000000,3.34397292,2.87661635,-467.356575,0.005080
980.000000,3.34508014,2.87723561,-467.844530,0.005132
990.000000,3.34615326,2.87785485,-468.298411,0.005183
1000.000000,3.34720516,2.87847407,-468.731094,0.005235
1010.000000,3.34819746,2.87909327,-469.104189,0.005287
1020.000000,3.34917712,2.87971246,-469.464666,0.005339
1030.000000,3.35011911,2.88033163,-469.787488,0.005391
1040.000000,3.35104179,2.88095078,-470.091013,0.005443
1050.000000,3.35194254,2.88156992,-470.372617,0.005494
1060.000000,3.35281634,2.88218905,-470.627293,0.005546
1070.000000,3.35365820,2.88280817,-470.850032,0.005598
1080.000000,3.35447550,2.88342727,-471.048224,0.005650
1090.000000,3.35527754,2.88404637,-471.231168,0.005702
1100.000000,3.35604668,2.88466546,-471.381220,0.005754
1110.000000,3.35682631,2.88528453,-471.541771,0.005805
