t_s,V_exp,V_sim,residual_mV,cap_fraction
0.000000,3.54626894,3.62613558,79.866644,0.000052
10.000000,3.54150796,3.61700146,75.493498,0.000104
20.000000,3.53881192,3.61225333,73.441408,0.000156
30.000000,3.53652883,3.60856372,72.034895,0.000208
40.000000,3.53442907,3.60539072,70.961650,0.000260
50.000000,3.53247118,3.60253408,70.062902,0.000312
60.000000,3.53059506,3.59989608,69.301017,0.000364
70.000000,3.52877617,3.59741986,68.643688,0.000416
80.000000,3.52703023,3.59506914,68.038907,0.000468
90.000000,3.52537870,3.59281897,67.440267,0.000519
100.000000,3.52370405,3.59065134,66.947293,0.000571
110.000000,3.52210140,3.58855289,66.451491,0.000623
120.000000,3.52054405,3.58651332,65.969269,0.000675
130.000000,3.51900983,3.58452450,65.514670,0.000727
140.000000,3.51751041,3.58257988,65.069463,0.000779
150.000000,3.51603770,3.58067409,64.636384,0.000831
160.000000,3.51461244,3.57880266,64.190226,0.000883
170.000000,3.51319170,3.57696184,63.770144,0.000935
180.000000,3.51180506,3.57514843,63.343372,0.000987
190.000000,3.51045942,3.57335967,62.900243,0.001039
200.000000,3.50912499,3.57159317,62.468173,0.001091
210.000000,3.50781226,3.56984685,62.034587,0.001143
220.000000,3.50652337,3.56811887,61.595504,0.001195
230.000000,3.50525832,3.56640762,61.149303,0.001247
240.000000,3.50400543,3.56471165,60.706221,0.001299
250.000000,3.50277472,3.56302967,60.254955,0.001351
260.000000,3.50157380,3.56136052,59.786717,0.001403
270.000000,3.50038815,3.55970315,59.315006,0.001455
280.000000,3.49920654,3.55805663,58.850084,0.001506
290.000000,3.49805737,3.55642009,58.362720,0.001558
300.000000,3.49692011,3.55479275,57.872640,0.001610
310.000000,3.49579144,3.55317391,57.382470,0.001662
320.000000,3.49468398,3.55156290,56.878924,0.001714
330.000000,3.49360132,3.54995915,56.357829,0.001766
340.000000,3.49251747,3.54836210,55.844629,0.001818
350.000000,3.49146199,3.54677125,55.309256,0.001870
360.000000,3.49041653,3.54518614,54.769609,0.001922
370.000000,3.48937297,3.54360634,54.233366,0.001974
380.000000,3.48835468,3.54203146,53.676773,0.002026
390.000000,3.48734117,3.54046114,53.119971,0.002078
400.000000,3.48633313,3.53889504,52.561911,0.002130
410.000000,3.48536873,3.53733287,51.964136,0.002182
420.000000,3.48437929,3.53577432,51.395028,0.002234
430.000000,3.48342276,3.53421914,50.796385,0.002286
440.000000,3.48248363,3.53266709,50.183460,0.002338
450.000000,3.48153615,3.53111793,49.581777,0.002390
460.000000,3.48059940,3.52957146,48.972052,0.002442
470.000000,3.47967982,3.52802748,48.347654,0.002494
480.000000,3.47875404,3.52648581,47.731768,0.002545
490.000000,3.47785521,3.52494629,47.091086,0.002597
500.000000,3.47693920,3.52340876,46.469563,0.002649
510.000000,3.47610378,3.52187308,45.769302,0.002701
520.000000,3.47525311,3.52033912,45.086015,0.002753
530.000000,3.47437954,3.51880675,44.427208,0.002805
540.000000,3.47353363,3.51727585,43.742222,0.002857
550.000000,3.47270036,3.51574633,43.045971,0.002909
560.000000,3.47185254,3.51421808,42.365536,0.002961
570.000000,3.47105122,3.51269101,41.639790,0.003013
580.000000,3.47022247,3.51116503,40.942559,0.003065
590.000000,3.46941400,3.50964008,40.226080,0.003117
600.000000,3.46861863,3.50811606,39.497433,0.003169
610.000000,3.46783352,3.50659293,38.759411,0.003221
620.000000,3.46705484,3.50507061,38.015765,0.003273
630.000000,3.46628594,3.50354904,37.263100,0.003325
640.000000,3.46552062,3.50202818,36.507560,0.003377
650.000000,3.46475863,3.50050797,35.749333,0.003429
660.000000,3.46401024,3.49898836,34.978121,0.003481
670.000000,3.46326995,3.49746931,34.199363,0.003532
680.000000,3.46253085,3.49595079,33.419934,0.003584
690.000000,3.46182227,3.49443274,32.610471,0.003636
700.000000,3.46109390,3.49291515,31.821245,0.003688
710.000000,3.46038938,3.49139797,31.008594,0.003740
720.000000,3.45968032,3.48988118,30.200860,0.003792
730.000000,3.45898318,3.48836475,29.381563,0.003844
740.000000,3.45828938,3.48684865,28.559263,0.003896
750.000000,3.45761013,3.48533286,27.722728,0.003948
760.000000,3.45693636,3.48381736,26.880996,0.004000
770.000000,3.45626068,3.48230212,26.041439,0.004052
780.000000,3.45560026,3.48078713,25.186870,0.004104
790.000000,3.45493960,3.47927237,24.332769,0.004156
800.000000,3.45430493,3.47775783,23.452894,0.004208
810.000000,3.45365620,3.47624348,22.587284,0.004260
820.000000,3.45301580,3.47524260,22.226798,0.004312
830.000000,3.45240068,3.47449540,22.094714,0.004364
840.000000,3.45177650,3.47374842,21.971917,0.004416
850.000000,3.45114946,3.47300158,21.852117,0.004468
860.000000,3.45054388,3.47225484,21.710963,0.004520
870.000000,3.44993711,3.47150819,21.571088,0.004571
880.000000,3.44935417,3.47076162,21.407445,0.004623
890.000000,3.44877386,3.47001511,21.241246,0.004675
900.000000,3.44818473,3.46926866,21.083928,0.004727
910.000000,3.44760823,3.46852226,20.914028,0.004779
920.000000,3.44703674,3.46777591,20.739170,0.004831
930.000000,3.44646740,3.46702961,20.562212,0.004883
940.000000,3.44592071,3.46628335,20.362646,0.004935
950.000000,3.44535947,3.46553713,20.177661,0.004987
960.000000,3.44480896,3.46479094,19.981983,0.005039
970.000000,3.44426060,3.46404479,19.784192,0.005091
980.000000,3.44372296,3.46329867,19.575702,0.005143
990.000000,3.44320321,3.46255257,19.349359,0.005195
