t_s,V_exp,V_sim,residual_mV,cap_fraction
0.000000,3.17174864,3.16778353,-3.965104,0.000052
10.000000,3.19390583,3.16986635,-24.039481,0.000104
20.000000,3.21165371,3.17084004,-40.813667,0.000157
30.000000,3.22789359,3.17158823,-56.305365,0.000209
40.000000,3.24283004,3.17222910,-70.600937,0.000261
50.000000,3.25651455,3.17280121,-83.713341,0.000313
60.000000,3.26898623,3.17332894,-95.657284,0.000365
70.000000,3.28027177,3.17382422,-106.447551,0.000418
80.000000,3.29046845,3.17429168,-116.176775,0.000470
90.000000,3.29951477,3.17473634,-124.778435,0.000522
100.000000,3.30759478,3.17516704,-132.427737,0.000574
110.000000,3.31475306,3.17558355,-139.169509,0.000626
120.000000,3.32107234,3.17598449,-145.087849,0.000678
130.000000,3.32663488,3.17637674,-150.258141,0.000731
140.000000,3.33155322,3.17676023,-154.792994,0.000783
150.000000,3.33589244,3.17713581,-158.756629,0.000835
160.000000,3.33975029,3.17750224,-162.248048,0.000887
170.000000,3.34317017,3.17786246,-165.307705,0.000939
180.000000,3.34624577,3.17821730,-168.028469,0.000992
190.000000,3.34900379,3.17856729,-170.436500,0.001044
200.000000,3.35148406,3.17891150,-172.572565,0.001096
210.000000,3.35375810,3.17925062,-174.507478,0.001148
220.000000,3.35583329,3.17958617,-176.247122,0.001200
230.000000,3.35774708,3.17991846,-177.828614,0.001253
240.000000,3.35950613,3.18024771,-179.258425,0.001305
250.000000,3.36113882,3.18057196,-180.566859,0.001357
260.000000,3.36264968,3.18089368,-181.755999,0.001409
270.000000,3.36408067,3.18121312,-182.867548,0.001461
280.000000,3.36540771,3.18153046,-183.877243,0.001514
290.000000,3.36665916,3.18184572,-184.813448,0.001566
300.000000,3.36784959,3.18215727,-185.692314,0.001618
310.000000,3.36897755,3.18246695,-186.510601,0.001670
320.000000,3.37005067,3.18277511,-187.275557,0.001722
330.000000,3.37106228,3.18308189,-187.980391,0.001775
340.000000,3.37205338,3.18338725,-188.666139,0.001827
350.000000,3.37296629,3.18368942,-189.276872,0.001879
360.000000,3.37385893,3.18399038,-189.868553,0.001931
370.000000,3.37471271,3.18429032,-190.422384,0.001983
380.000000,3.37553740,3.18458933,-190.948066,0.002035
390.000000,3.37632608,3.18488742,-191.438668,0.002088
400.000000,3.37708712,3.18518294,-191.904179,0.002140
410.000000,3.37782240,3.18547733,-192.345071,0.002192
420.000000,3.37852597,3.18577103,-192.754941,0.002244
430.000000,3.37921929,3.18606410,-193.155198,0.002296
440.000000,3.37987590,3.18635657,-193.519328,0.002349
450.000000,3.38055706,3.18664715,-193.909913,0.002401
460.000000,3.38120174,3.18693633,-194.265415,0.002453
470.000000,3.38178301,3.18722512,-194.557888,0.002505
480.000000,3.38236046,3.18751348,-194.846982,0.002557
490.000000,3.38294053,3.18780143,-195.139102,0.002610
500.000000,3.38350391,3.18808830,-195.415614,0.002662
510.000000,3.38404918,3.18837335,-195.675826,0.002714
520.000000,3.38457561,3.18865813,-195.917478,0.002766
530.000000,3.38509727,3.18894260,-196.154661,0.002818
540.000000,3.38560343,3.18922681,-196.376622,0.002871
550.000000,3.38610077,3.18951052,-196.590248,0.002923
560.000000,3.38659286,3.18979224,-196.800625,0.002975
570.000000,3.38706374,3.19007362,-196.990122,0.003027
580.000000,3.38752031,3.19035479,-197.165519,0.003079
590.000000,3.38797212,3.19063578,-197.336336,0.003132
600.000000,3.38842511,3.19091656,-197.508550,0.003184
610.000000,3.38886619,3.19119571,-197.670474,0.003236
620.000000,3.38930941,3.19147412,-197.835282,0.003288
630.000000,3.38970637,3.19175240,-197.953977,0.003340
640.000000,3.39012456,3.19203054,-198.094022,0.003392
650.000000,3.39052844,3.19230856,-198.219882,0.003445
660.000000,3.39093661,3.19258566,-198.350955,0.003497
670.000000,3.39132452,3.19286139,-198.463130,0.003549
680.000000,3.39172029,3.19313703,-198.583260,0.003601
690.000000,3.39209700,3.19341259,-198.684406,0.003653
700.000000,3.39246225,3.19368806,-198.774191,0.003706
710.000000,3.39283276,3.19396322,-198.869537,0.003758
720.000000,3.39319229,3.19423663,-198.955659,0.003810
730.000000,3.39355731,3.19450984,-199.047465,0.003862
740.000000,3.39390421,3.19478300,-199.121213,0.003914
750.000000,3.39424109,3.19505609,-199.185004,0.003967
760.000000,3.39458394,3.19532911,-199.254832,0.004019
770.000000,3.39492893,3.19560070,-199.328228,0.004071
780.000000,3.39526486,3.19587162,-199.393247,0.004123
790.000000,3.39559293,3.19614249,-199.450435,0.004175
800.000000,3.39592266,3.19641333,-199.509330,0.004228
810.000000,3.39624286,3.19668413,-199.558725,0.004280
820.000000,3.39656281,3.19695420,-199.608612,0.004332
830.000000,3.39685941,3.19722293,-199.636476,0.004384
840.000000,3.39717293,3.19749163,-199.681302,0.004436
850.000000,3.39749146,3.19776029,-199.731162,0.004489
860.000000,3.39778423,3.19802894,-199.755298,0.004541
870.000000,3.39808226,3.19829739,-199.784871,0.004593
880.000000,3.39838910,3.19856418,-199.824918,0.004645
890.000000,3.39868236,3.19883076,-199.851592,0.004697
900.000000,3.39895010,3.19909733,-199.852774,0.004749
910.000000,3.39925122,3.19936387,-199.887352,0.004802
920.000000,3.39951611,3.19963039,-199.885718,0.004854
