t_s,V_exp,V_sim,residual_mV,cap_fraction
0.000000,3.54626894,3.54680630,0.537363,0.000052
10.000000,3.54150796,3.54093869,-0.569266,0.000104
20.000000,3.53881192,3.53803118,-0.780743,0.000156
30.000000,3.53652883,3.53580975,-0.719077,0.000208
40.000000,3.53442907,3.53394331,-0.485767,0.000260
50.000000,3.53247118,3.53226056,-0.210616,0.000312
60.000000,3.53059506,3.53075864,0.163574,0.000364
70.000000,3.52877617,3.52935322,0.577056,0.000416
80.000000,3.52703023,3.52801929,0.989056,0.000468
90.000000,3.52537870,3.52676658,1.387875,0.000519
100.000000,3.52370405,3.52558196,1.877910,0.000571
110.000000,3.52210140,3.52443529,2.333886,0.000623
120.000000,3.52054405,3.52332089,2.776835,0.000675
130.000000,3.51900983,3.52226122,3.251391,0.000727
140.000000,3.51751041,3.52124005,3.729632,0.000779
150.000000,3.51603770,3.52023684,4.199135,0.000831
160.000000,3.51461244,3.51925178,4.639348,0.000883
170.000000,3.51319170,3.51829799,5.106286,0.000935
180.000000,3.51180506,3.51738022,5.575165,0.000987
190.000000,3.51045942,3.51647324,6.013814,0.001039
200.000000,3.50912499,3.51557759,6.452594,0.001091
210.000000,3.50781226,3.51469223,6.879968,0.001143
220.000000,3.50652337,3.51384517,7.321798,0.001195
230.000000,3.50525832,3.51300942,7.751099,0.001247
240.000000,3.50400543,3.51218117,8.175739,0.001299
250.000000,3.50277472,3.51135978,8.585066,0.001351
260.000000,3.50157380,3.51054743,8.973633,0.001403
270.000000,3.50038815,3.50976857,9.380423,0.001455
280.000000,3.49920654,3.50899404,9.787498,0.001506
290.000000,3.49805737,3.50822423,10.166868,0.001558
300.000000,3.49692011,3.50745877,10.538666,0.001610
310.000000,3.49579144,3.50670142,10.909983,0.001662
320.000000,3.49468398,3.50597189,11.287910,0.001714
330.000000,3.49360132,3.50524525,11.643924,0.001766
340.000000,3.49251747,3.50452165,12.004183,0.001818
350.000000,3.49146199,3.50380089,12.338893,0.001870
360.000000,3.49041653,3.50308474,12.668218,0.001922
370.000000,3.48937297,3.50239542,13.022456,0.001974
380.000000,3.48835468,3.50170811,13.353429,0.002026
390.000000,3.48734117,3.50102280,13.681638,0.002078
400.000000,3.48633313,3.50033935,14.006219,0.002130
410.000000,3.48536873,3.49965788,14.289152,0.002182
420.000000,3.48437929,3.49900031,14.621014,0.002234
430.000000,3.48342276,3.49834655,14.923798,0.002286
440.000000,3.48248363,3.49769413,15.210502,0.002338
450.000000,3.48153615,3.49704293,15.506778,0.002390
460.000000,3.48059940,3.49639287,15.793462,0.002442
470.000000,3.47967982,3.49576005,16.080228,0.002494
480.000000,3.47875404,3.49513582,16.381777,0.002545
490.000000,3.47785521,3.49451247,16.657263,0.002597
500.000000,3.47693920,3.49388993,16.950729,0.002649
510.000000,3.47610378,3.49326815,17.164364,0.002701
520.000000,3.47525311,3.49265637,17.403264,0.002753
530.000000,3.47437954,3.49205882,17.679284,0.002805
540.000000,3.47353363,3.49146175,17.928118,0.002857
550.000000,3.47270036,3.49086522,18.164858,0.002909
560.000000,3.47185254,3.49026918,18.416642,0.002961
570.000000,3.47105122,3.48967600,18.624788,0.003013
580.000000,3.47022247,3.48910274,18.880271,0.003065
590.000000,3.46941400,3.48852985,19.115850,0.003117
600.000000,3.46861863,3.48795731,19.338677,0.003169
610.000000,3.46783352,3.48738511,19.551587,0.003221
620.000000,3.46705484,3.48681321,19.758369,0.003273
630.000000,3.46628594,3.48625812,19.972174,0.003325
640.000000,3.46552062,3.48570779,20.187169,0.003377
650.000000,3.46475863,3.48515767,20.399031,0.003429
660.000000,3.46401024,3.48460777,20.597527,0.003481
670.000000,3.46326995,3.48405807,20.788123,0.003532
680.000000,3.46253085,3.48351770,20.986848,0.003584
690.000000,3.46182227,3.48298850,21.166233,0.003636
700.000000,3.46109390,3.48245951,21.365605,0.003688
710.000000,3.46038938,3.48193066,21.541286,0.003740
720.000000,3.45968032,3.48140195,21.721635,0.003792
730.000000,3.45898318,3.48087541,21.892224,0.003844
740.000000,3.45828938,3.48036635,22.076960,0.003896
750.000000,3.45761013,3.47985739,22.247260,0.003948
760.000000,3.45693636,3.47934854,22.412178,0.004000
770.000000,3.45626068,3.47883978,22.579096,0.004052
780.000000,3.45560026,3.47833110,22.730841,0.004104
790.000000,3.45493960,3.47783656,22.896953,0.004156
800.000000,3.45430493,3.47734670,23.041769,0.004208
810.000000,3.45365620,3.47685692,23.200720,0.004260
820.000000,3.45301580,3.47636719,23.351389,0.004312
