t_s,V_exp,V_sim,residual_mV,cap_fraction
0.000000,3.17174864,3.16771078,-4.037857,0.000052
10.000000,3.19390583,3.16966603,-24.239795,0.000104
20.000000,3.21165371,3.17062631,-41.027402,0.000157
30.000000,3.22789359,3.17136945,-56.524144,0.000209
40.000000,3.24283004,3.17200852,-70.821522,0.000261
50.000000,3.25651455,3.17257994,-83.934610,0.000313
60.000000,3.26898623,3.17310738,-95.878848,0.000365
70.000000,3.28027177,3.17360253,-106.669237,0.000418
80.000000,3.29046845,3.17406992,-116.398535,0.000470
90.000000,3.29951477,3.17451663,-124.998138,0.000522
100.000000,3.30759478,3.17494697,-132.647806,0.000574
110.000000,3.31475306,3.17536324,-139.389817,0.000626
120.000000,3.32107234,3.17576393,-145.308415,0.000678
130.000000,3.32663488,3.17615600,-150.478889,0.000731
140.000000,3.33155322,3.17653933,-155.013892,0.000783
150.000000,3.33589244,3.17691499,-158.977452,0.000835
160.000000,3.33975029,3.17728111,-162.469177,0.000887
170.000000,3.34317017,3.17764124,-165.528926,0.000939
180.000000,3.34624577,3.17799600,-168.249769,0.000992
190.000000,3.34900379,3.17834592,-170.657868,0.001044
200.000000,3.35148406,3.17869007,-172.793989,0.001096
210.000000,3.35375810,3.17902914,-174.728957,0.001148
220.000000,3.35583329,3.17936464,-176.468650,0.001200
230.000000,3.35774708,3.17969689,-178.050185,0.001253
240.000000,3.35950613,3.18002618,-179.479955,0.001305
250.000000,3.36113882,3.18035040,-180.788417,0.001357
260.000000,3.36264968,3.18067208,-181.977597,0.001409
270.000000,3.36408067,3.18099149,-183.089182,0.001461
280.000000,3.36540771,3.18130880,-184.098909,0.001514
290.000000,3.36665916,3.18162418,-185.034984,0.001566
300.000000,3.36784959,3.18193532,-185.914265,0.001618
310.000000,3.36897755,3.18224499,-186.732560,0.001670
320.000000,3.37005067,3.18255315,-187.497523,0.001722
330.000000,3.37106228,3.18285992,-188.202363,0.001775
340.000000,3.37205338,3.18316540,-188.887984,0.001827
350.000000,3.37296629,3.18346745,-189.498842,0.001879
360.000000,3.37385893,3.18376840,-190.090529,0.001931
370.000000,3.37471271,3.18406834,-190.644367,0.001983
380.000000,3.37553740,3.18436734,-191.170054,0.002035
390.000000,3.37632608,3.18466548,-191.660609,0.002088
400.000000,3.37708712,3.18496107,-192.126047,0.002140
410.000000,3.37782240,3.18525544,-192.566954,0.002192
420.000000,3.37852597,3.18554913,-192.976838,0.002244
430.000000,3.37921929,3.18584219,-193.377106,0.002296
440.000000,3.37987590,3.18613465,-193.741248,0.002349
450.000000,3.38055706,3.18642531,-194.131750,0.002401
460.000000,3.38120174,3.18671455,-194.487196,0.002453
470.000000,3.38178301,3.18700332,-194.779690,0.002505
480.000000,3.38236046,3.18729166,-195.068803,0.002557
490.000000,3.38294053,3.18757959,-195.360941,0.002610
500.000000,3.38350391,3.18786646,-195.637452,0.002662
510.000000,3.38404918,3.18815154,-195.897639,0.002714
520.000000,3.38457561,3.18843629,-196.139311,0.002766
530.000000,3.38509727,3.18872076,-196.376510,0.002818
540.000000,3.38560343,3.18900494,-196.598487,0.002871
550.000000,3.38610077,3.18928881,-196.811962,0.002923
560.000000,3.38659286,3.18957039,-197.022477,0.002975
570.000000,3.38706374,3.18985175,-197.211991,0.003027
580.000000,3.38752031,3.19013291,-197.387402,0.003079
590.000000,3.38797212,3.19041388,-197.558233,0.003132
600.000000,3.38842511,3.19069468,-197.730431,0.003184
610.000000,3.38886619,3.19097382,-197.892366,0.003236
620.000000,3.38930941,3.19125222,-198.057189,0.003288
630.000000,3.38970637,3.19153048,-198.175897,0.003340
640.000000,3.39012456,3.19180861,-198.315953,0.003392
650.000000,3.39052844,3.19208662,-198.441823,0.003445
660.000000,3.39093661,3.19236372,-198.572890,0.003497
670.000000,3.39132452,3.19263945,-198.685068,0.003549
680.000000,3.39172029,3.19291509,-198.805209,0.003601
690.000000,3.39209700,3.19319063,-198.906364,0.003653
700.000000,3.39246225,3.19346610,-198.996157,0.003706
710.000000,3.39283276,3.19374140,-199.091357,0.003758
720.000000,3.39319229,3.19401467,-199.177623,0.003810
730.000000,3.39355731,3.19428787,-199.269439,0.003862
740.000000,3.39390421,3.19456101,-199.343195,0.003914
750.000000,3.39424109,3.19483410,-199.406993,0.003967
760.000000,3.39458394,3.19510714,-199.476803,0.004019
770.000000,3.39492893,3.19537872,-199.550214,0.004071
780.000000,3.39526486,3.19564963,-199.615236,0.004123
790.000000,3.39559293,3.19592050,-199.672430,0.004175
800.000000,3.39592266,3.19619133,-199.731332,0.004228
810.000000,3.39624286,3.19646212,-199.780733,0.004280
820.000000,3.39656281,3.19673225,-199.830569,0.004332
830.000000,3.39685941,3.19700092,-199.858486,0.004384
840.000000,3.39717293,3.19726961,-199.903318,0.004436
850.000000,3.39749146,3.19753827,-199.953183,0.004489
860.000000,3.39778423,3.19780691,-199.977323,0.004541
870.000000,3.39808226,3.19807553,-200.006731,0.004593
880.000000,3.39838910,3.19834216,-200.046941,0.004645
890.000000,3.39868236,3.19860874,-200.073620,0.004697
900.000000,3.39895010,3.19887529,-200.074806,0.004749
910.000000,3.39925122,3.19914183,-200.109388,0.004802
920.000000,3.39951611,3.19940836,-200.107746,0.004854
930.000000,3.39981818,3.19967361,-200.144570,0.004906
940.000000,3.40007353,3.19993816,-200.135372,0.004958
950.000000,3.40035176,3.20020266,-200.149105,0.005010
960.000000,3.40062881,3.20046715,-200.161657,0.005063
970.000000,3.40088677,3.20073163,-200.155146,0.005115
980.000000,3.40116763,3.20099561,-200.172016,0.005167
990.000000,3.40143347,3.20125808,-200.175384,0.005219
1000.000000,3.40169024,3.20152057,-200.169678,0.005271
1010.000000,3.40194941,3.20178304,-200.166363,0.005324
1020.000000,3.40220881,3.20204551,-200.163293,0.005376
1030.000000,3.40245891,3.20230797,-200.150933,0.005428
1040.000000,3.40271688,3.20256868,-200.148193,0.005480
1050.000000,3.40297890,3.20282918,-200.149719,0.005532
1060.000000,3.40321541,3.20308967,-200.125740,0.005585
1070.000000,3.40348268,3.20335015,-200.132521,0.005637
1080.000000,3.40371227,3.20361064,-200.101637,0.005689
1090.000000,3.40395522,3.20387008,-200.085137,0.005741
1100.000000,3.40419149,3.20412862,-200.062877,0.005793
1110.000000,3.40443611,3.20438715,-200.048964,0.005846
1120.000000,3.40466857,3.20464567,-200.022895,0.005898
1130.000000,3.40491414,3.20490420,-200.009943,0.005950
1140.000000,3.40512514,3.20516241,-199.962732,0.006002
1150.000000,3.40538096,3.20541899,-199.961973,0.006054
1160.000000,3.40560961,3.20567558,-199.934025,0.006106
1170.000000,3.40585041,3.20593217,-199.918239,0.006159
1180.000000,3.40607691,3.20618876,-199.888150,0.006211
1190.000000,3.40630794,3.20644534,-199.862593,0.006263
1200.000000,3.40653276,3.20670039,-199.832371,0.006315
1210.000000,3.40676403,3.20695506,-199.808966,0.006367
1220.000000,3.40698791,3.20720973,-199.778172,0.006420
1230.000000,3.40719080,3.20746440,-199.726398,0.006472
1240.000000,3.40741205,3.20771907,-199.692984,0.006524
1250.000000,3.40763640,3.20797292,-199.663483,0.006576
1260.000000,3.40785217,3.20822567,-199.626501,0.006628
1270.000000,3.40805888,3.20847844,-199.580442,0.006681
1280.000000,3.40828133,3.20873121,-199.550120,0.006733
1290.000000,3.40848207,3.20898397,-199.498103,0.006785
1300.000000,3.40870285,3.20923660,-199.466249,0.006837
1310.000000,3.40890884,3.20948748,-199.421363,0.006889
1320.000000,3.40912008,3.20973836,-199.381721,0.006942
1330.000000,3.40933204,3.20998924,-199.342794,0.006994
1340.000000,3.40954924,3.21024012,-199.309113,0.007046
1350.000000,3.40974808,3.21049100,-199.257075,0.007098
1360.000000,3.40995383,3.21074056,-199.213274,0.007150
1370.000000,3.41017485,3.21098957,-199.185276,0.007203
1380.000000,3.41036296,3.21123858,-199.124378,0.007255
1390.000000,3.41055822,3.21148759,-199.070633,0.007307
1400.000000,3.41076684,3.21173660,-199.030239,0.007359
1410.000000,3.41095829,3.21198499,-198.973304,0.007411
1420.000000,3.41116047,3.21223213,-198.928340,0.007463
1430.000000,3.41135383,3.21247928,-198.874542,0.007516
1440.000000,3.41155553,3.21272644,-198.829089,0.007568
1450.000000,3.41175985,3.21297359,-198.786259,0.007620
1460.000000,3.41195774,3.21322075,-198.736992,0.007672
1470.000000,3.41214991,3.21346610,-198.683804,0.007724
1480.000000,3.41233921,3.21371142,-198.627794,0.007777
1490.000000,3.41253614,3.21395673,-198.579413,0.007829
1500.000000,3.41271400,3.21420205,-198.511959,0.007881
1510.000000,3.41291595,3.21444736,-198.468586,0.007933
1520.000000,3.41311717,3.21469154,-198.425628,0.007985
1530.000000,3.41328192,3.21493504,-198.346878,0.008038
1540.000000,3.41348934,3.21517853,-198.310815,0.008090
1550.000000,3.41366553,3.21542201,-198.243518,0.008142
1560.000000,3.41386342,3.21566550,-198.197919,0.008194
1570.000000,3.41404247,3.21590854,-198.133929,0.008246
1580.000000,3.41423345,3.21615021,-198.083233,0.008299
1590.000000,3.41442442,3.21639189,-198.032532,0.008351
1600.000000,3.41459703,3.21663356,-197.963472,0.008403
1610.000000,3.41478920,3.21687524,-197.913963,0.008455
1620.000000,3.41497350,3.21711691,-197.856586,0.008507
1630.000000,3.41515446,3.21735700,-197.797461,0.008560
1640.000000,3.41532731,3.21759687,-197.730439,0.008612
1650.000000,3.41551900,3.21783675,-197.682252,0.008664
1660.000000,3.41570091,3.21807662,-197.624289,0.008716
1670.000000,3.41587114,3.21831650,-197.554644,0.008768
1680.000000,3.41604328,3.21855545,-197.487835,0.008820
1690.000000,3.41623735,3.21879354,-197.443817,0.008873
1700.000000,3.41641831,3.21903163,-197.386686,0.008925
1710.000000,3.41658020,3.21926972,-197.310482,0.008977
1720.000000,3.41675162,3.21950781,-197.243815,0.009029
1730.000000,3.41693902,3.21974563,-197.193393,0.009081
1740.000000,3.41710401,3.21998194,-197.122063,0.009134
1750.000000,3.41727996,3.22021826,-197.061697,0.009186
1760.000000,3.41745734,3.22045458,-197.002762,0.009238
1770.000000,3.41763377,3.22069090,-196.942874,0.009290
1780.000000,3.41780949,3.22092722,-196.882270,0.009342
1790.000000,3.41797924,3.22116215,-196.817094,0.009395
1800.000000,3.41814804,3.22139671,-196.751335,0.009447
1810.000000,3.41832304,3.22163127,-196.691775,0.009499
1820.000000,3.41849947,3.22186582,-196.633645,0.009551
1830.000000,3.41864347,3.22210038,-196.543090,0.009603
1840.000000,3.41883135,3.22233420,-196.497144,0.009656
1850.000000,3.41899824,3.22256702,-196.431225,0.009708
1860.000000,3.41915917,3.22279983,-196.359343,0.009760
