t_s,V_exp,V_sim,residual_mV,cap_fraction
0.000000,3.53146529,3.53221941,0.754118,0.000052
10.000000,3.52693319,3.52706485,0.131660,0.000104
20.000000,3.52452397,3.52447927,-0.044708,0.000156
30.000000,3.52247548,3.52249134,0.015857,0.000208
40.000000,3.52063060,3.52082266,0.192063,0.000260
50.000000,3.51890087,3.51932045,0.419579,0.000312
60.000000,3.51724601,3.51797068,0.724674,0.000364
70.000000,3.51567984,3.51672106,1.041224,0.000416
80.000000,3.51414108,3.51552827,1.387187,0.000468
90.000000,3.51264644,3.51440226,1.755827,0.000520
100.000000,3.51120162,3.51334692,2.145303,0.000572
110.000000,3.50979757,3.51232132,2.523752,0.000624
120.000000,3.50842452,3.51132471,2.900188,0.000676
130.000000,3.50708294,3.51037107,3.288129,0.000728
140.000000,3.50575852,3.50945600,3.697479,0.000780
150.000000,3.50446010,3.50855930,4.099203,0.000833
160.000000,3.50320029,3.50767883,4.478539,0.000885
170.000000,3.50195885,3.50682061,4.861764,0.000937
180.000000,3.50071955,3.50600040,5.280853,0.000989
190.000000,3.49953008,3.50518973,5.659651,0.001041
200.000000,3.49833941,3.50438919,6.049777,0.001093
210.000000,3.49717784,3.50359784,6.419997,0.001145
220.000000,3.49603438,3.50283510,6.800719,0.001197
230.000000,3.49490070,3.50208814,7.187438,0.001249
240.000000,3.49379230,3.50134788,7.555583,0.001301
250.000000,3.49269986,3.50061374,7.913883,0.001353
260.000000,3.49162006,3.49988523,8.265166,0.001405
270.000000,3.49055433,3.49918641,8.632073,0.001457
280.000000,3.48950839,3.49849416,8.985765,0.001509
290.000000,3.48846722,3.49780612,9.338905,0.001561
300.000000,3.48744893,3.49712197,9.673042,0.001613
310.000000,3.48644543,3.49644141,9.995981,0.001665
320.000000,3.48544860,3.49578813,10.339534,0.001717
330.000000,3.48447084,3.49513867,10.667827,0.001769
340.000000,3.48349404,3.49449194,10.997893,0.001821
350.000000,3.48253727,3.49384772,11.310455,0.001873
360.000000,3.48159075,3.49320585,11.615098,0.001925
370.000000,3.48065472,3.49258674,11.932019,0.001977
380.000000,3.47970963,3.49197243,12.262805,0.002029
390.000000,3.47879410,3.49135991,12.565816,0.002081
400.000000,3.47792149,3.49074905,12.827568,0.002133
410.000000,3.47697473,3.49013973,13.165004,0.002185
420.000000,3.47612286,3.48954755,13.424693,0.002237
430.000000,3.47524619,3.48896343,13.717238,0.002289
440.000000,3.47437835,3.48838029,14.001945,0.002342
450.000000,3.47351933,3.48779825,14.278927,0.002394
460.000000,3.47268033,3.48721723,14.536896,0.002446
470.000000,3.47183681,3.48664723,14.810423,0.002498
480.000000,3.47099614,3.48608929,15.093152,0.002550
490.000000,3.47017860,3.48553214,15.353538,0.002602
500.000000,3.46936822,3.48497572,15.607497,0.002654
510.000000,3.46857667,3.48441996,15.843295,0.002706
520.000000,3.46779203,3.48386872,16.076682,0.002758
530.000000,3.46699119,3.48333483,16.343645,0.002810
540.000000,3.46621490,3.48280116,16.586269,0.002862
550.000000,3.46545076,3.48226798,16.817215,0.002914
560.000000,3.46467566,3.48173524,17.059576,0.002966
570.000000,3.46392941,3.48120292,17.273503,0.003018
580.000000,3.46318388,3.48068858,17.504705,0.003070
590.000000,3.46244860,3.48017652,17.727927,0.003122
600.000000,3.46172428,3.47966479,17.940504,0.003174
610.000000,3.46099710,3.47915334,18.156239,0.003226
620.000000,3.46028447,3.47864218,18.357706,0.003278
630.000000,3.45957708,3.47814209,18.565009,0.003330
640.000000,3.45887232,3.47765017,18.777854,0.003382
650.000000,3.45818663,3.47715847,18.971841,0.003434
660.000000,3.45749235,3.47666696,19.174609,0.003486
670.000000,3.45681930,3.47617564,19.356340,0.003538
680.000000,3.45614195,3.47568878,19.546827,0.003590
690.000000,3.45547056,3.47521588,19.745315,0.003642
700.000000,3.45481157,3.47474305,19.931478,0.003694
710.000000,3.45415926,3.47427036,20.111098,0.003746
720.000000,3.45351028,3.47379779,20.287502,0.003798
730.000000,3.45287347,3.47332533,20.451860,0.003851
740.000000,3.45224237,3.47286851,20.626137,0.003903
750.000000,3.45162106,3.47241360,20.792540,0.003955
760.000000,3.45101690,3.47195877,20.941866,0.004007
770.000000,3.45039129,3.47150402,21.112731,0.004059
780.000000,3.44978666,3.47104935,21.262691,0.004111
790.000000,3.44919181,3.47060382,21.412012,0.004163
800.000000,3.44858956,3.47016597,21.576411,0.004215
810.000000,3.44800305,3.46972819,21.725134,0.004267
820.000000,3.44742370,3.46929046,21.866759,0.004319
830.000000,3.44685674,3.46885277,21.996036,0.004371
840.000000,3.44628835,3.46841814,22.129793,0.004423
850.000000,3.44571829,3.46799662,22.278333,0.004475
860.000000,3.44515395,3.46757513,22.421182,0.004527
870.000000,3.44461823,3.46715368,22.535458,0.004579
880.000000,3.44407892,3.46673227,22.653344,0.004631
890.000000,3.44354415,3.46631088,22.766731,0.004683
900.000000,3.44300485,3.46590233,22.897485,0.004735
910.000000,3.44246984,3.46549647,23.026634,0.004787
920.000000,3.44195533,3.46509063,23.135304,0.004839
930.000000,3.44143271,3.46468482,23.252103,0.004891
940.000000,3.44091988,3.46427902,23.359147,0.004943
950.000000,3.44041252,3.46388022,23.467695,0.004995
960.000000,3.43992305,3.46348934,23.566296,0.005047
970.000000,3.43943095,3.46309850,23.667546,0.005099
980.000000,3.43894672,3.46270767,23.760945,0.005151
990.000000,3.43846798,3.46231685,23.848874,0.005203
1000.000000,3.43800306,3.46192750,23.924432,0.005255
1010.000000,3.43753886,3.46155111,24.012244,0.005307
1020.000000,3.43706632,3.46117467,24.108354,0.005360
1030.000000,3.43661284,3.46079825,24.185402,0.005412
1040.000000,3.43616819,3.46042183,24.253637,0.005464
1050.000000,3.43571925,3.46004542,24.326173,0.005516
1060.000000,3.43527579,3.45967927,24.403477,0.005568
1070.000000,3.43484163,3.45931669,24.475061,0.005620
1080.000000,3.43440819,3.45895413,24.545938,0.005672
1090.000000,3.43398905,3.45859156,24.602516,0.005724
1100.000000,3.43357944,3.45822901,24.649563,0.005776
1110.000000,3.43316483,3.45787148,24.706649,0.005828
1120.000000,3.43275666,3.45752224,24.765581,0.005880
1130.000000,3.43233562,3.45717301,24.837394,0.005932
1140.000000,3.43194342,3.45682378,24.880362,0.005984
1150.000000,3.43155313,3.45647455,24.921427,0.006036
1160.000000,3.43117213,3.45612551,24.953374,0.006088
1170.000000,3.43078136,3.45578910,25.007737,0.006140
1180.000000,3.43039227,3.45545270,25.060435,0.006192
1190.000000,3.43003130,3.45511630,25.085004,0.006244
1200.000000,3.42965293,3.45477991,25.126980,0.006296
1210.000000,3.42925334,3.45444352,25.190178,0.006348
1220.000000,3.42895317,3.45411514,25.161972,0.006400
1230.000000,3.42859054,3.45379110,25.200564,0.006452
1240.000000,3.42823648,3.45346706,25.230574,0.006504
1250.000000,3.42789483,3.45314302,25.248188,0.006556
1260.000000,3.42754102,3.45281898,25.277964,0.006608
1270.000000,3.42720819,3.45249833,25.290147,0.006660
1280.000000,3.42687392,3.45218619,25.312264,0.006712
1290.000000,3.42655754,3.45187404,25.316502,0.006764
1300.000000,3.42622995,3.45156190,25.331947,0.006816
1310.000000,3.42590547,3.45124976,25.344294,0.006869
1320.000000,3.42560363,3.45093762,25.333993,0.006921
1330.000000,3.42529845,3.45063602,25.337567,0.006973
1340.000000,3.42498946,3.45033533,25.345871,0.007025
1350.000000,3.42470598,3.45003465,25.328666,0.007077
1360.000000,3.42439938,3.44973396,25.334589,0.007129
1370.000000,3.42412233,3.44943328,25.310948,0.007181
1380.000000,3.42383218,3.44913873,25.306548,0.007233
1390.000000,3.42355227,3.44884907,25.296800,0.007285
1400.000000,3.42328668,3.44855942,25.272748,0.007337
1410.000000,3.42301345,3.44826977,25.256325,0.007389
1420.000000,3.42275000,3.44798013,25.230129,0.007441
1430.000000,3.42249393,3.44769250,25.198569,0.007493
1440.000000,3.42224407,3.44741348,25.169407,0.007545
1450.000000,3.42199731,3.44713445,25.137146,0.007597
1460.000000,3.42175269,3.44685543,25.102741,0.007649
1470.000000,3.42152214,3.44657641,25.054269,0.007701
1480.000000,3.42127752,3.44629739,25.019865,0.007753
1490.000000,3.42105103,3.44602682,24.975793,0.007805
1500.000000,3.42083001,3.44575803,24.928019,0.007857
1510.000000,3.42058969,3.44548924,24.899558,0.007909
1520.000000,3.42037725,3.44522046,24.843202,0.007961
1530.000000,3.42017579,3.44495167,24.775879,0.008013
1540.000000,3.41994476,3.44468743,24.742666,0.008065
1550.000000,3.41974092,3.44442850,24.687584,0.008117
1560.000000,3.41954017,3.44416957,24.629403,0.008169
