t_s,V_exp,V_sim,residual_mV,cap_fraction
0.000000,3.54626894,3.54673992,0.470975,0.000052
10.000000,3.54150796,3.54101467,-0.493293,0.000104
20.000000,3.53881192,3.53812080,-0.691126,0.000156
30.000000,3.53652883,3.53590568,-0.623144,0.000208
40.000000,3.53442907,3.53404579,-0.383284,0.000260
50.000000,3.53247118,3.53236277,-0.108410,0.000312
60.000000,3.53059506,3.53086111,0.266049,0.000364
70.000000,3.52877617,3.52945519,0.679026,0.000416
80.000000,3.52703023,3.52812091,1.090679,0.000468
90.000000,3.52537870,3.52686776,1.489057,0.000519
100.000000,3.52370405,3.52568297,1.978921,0.000571
110.000000,3.52210140,3.52453614,2.434733,0.000623
120.000000,3.52054405,3.52342158,2.877526,0.000675
130.000000,3.51900983,3.52236167,3.351843,0.000727
140.000000,3.51751041,3.52134151,3.831094,0.000779
150.000000,3.51603770,3.52033809,4.300387,0.000831
160.000000,3.51461244,3.51935286,4.740428,0.000883
170.000000,3.51319170,3.51839887,5.207174,0.000935
180.000000,3.51180506,3.51747939,5.674337,0.000987
190.000000,3.51045942,3.51657247,6.113046,0.001039
200.000000,3.50912499,3.51567687,6.551877,0.001091
210.000000,3.50781226,3.51479154,6.979275,0.001143
220.000000,3.50652337,3.51394449,7.421116,0.001195
230.000000,3.50525832,3.51310879,7.850465,0.001247
240.000000,3.50400543,3.51228058,8.275145,0.001299
250.000000,3.50277472,3.51145922,8.684507,0.001351
260.000000,3.50157380,3.51064698,9.073175,0.001403
270.000000,3.50038815,3.50986809,9.479946,0.001455
280.000000,3.49920654,3.50909359,9.887045,0.001506
290.000000,3.49805737,3.50832380,10.266437,0.001558
300.000000,3.49692011,3.50755836,10.638253,0.001610
310.000000,3.49579144,3.50680097,11.009533,0.001662
320.000000,3.49468398,3.50607149,11.387507,0.001714
330.000000,3.49360132,3.50534486,11.743539,0.001766
340.000000,3.49251747,3.50462129,12.103814,0.001818
350.000000,3.49146199,3.50390053,12.438538,0.001870
360.000000,3.49041653,3.50318420,12.767678,0.001922
370.000000,3.48937297,3.50249505,13.122086,0.001974
380.000000,3.48835468,3.50180776,13.453076,0.002026
390.000000,3.48734117,3.50112246,13.781298,0.002078
400.000000,3.48633313,3.50043902,14.105890,0.002130
410.000000,3.48536873,3.49975730,14.388569,0.002182
420.000000,3.48437929,3.49909993,14.720642,0.002234
430.000000,3.48342276,3.49844620,15.023443,0.002286
440.000000,3.48248363,3.49779379,15.310162,0.002338
450.000000,3.48153615,3.49714260,15.606450,0.002390
460.000000,3.48059940,3.49649255,15.893145,0.002442
470.000000,3.47967982,3.49585972,16.179900,0.002494
480.000000,3.47875404,3.49523551,16.481463,0.002545
490.000000,3.47785521,3.49461217,16.756962,0.002597
500.000000,3.47693920,3.49398964,17.050437,0.002649
510.000000,3.47610378,3.49336786,17.264080,0.002701
520.000000,3.47525311,3.49275608,17.502979,0.002753
530.000000,3.47437954,3.49215844,17.778903,0.002805
540.000000,3.47353363,3.49156138,18.027755,0.002857
550.000000,3.47270036,3.49096487,18.264508,0.002909
560.000000,3.47185254,3.49036885,18.516305,0.002961
570.000000,3.47105122,3.48977562,18.724405,0.003013
580.000000,3.47022247,3.48920235,18.979877,0.003065
590.000000,3.46941400,3.48862947,19.215475,0.003117
