t_s,V_exp,V_sim,residual_mV,cap_fraction
0.000000,2.81397152,2.81333366,-0.637864,0.000052
10.000000,2.82158184,2.81816212,-3.419717,0.000104
20.000000,2.82466722,2.82065221,-4.015007,0.000155
30.000000,2.82985067,2.82258710,-7.263575,0.000207
40.000000,2.83795857,2.82424060,-13.717972,0.000259
50.000000,2.84746289,2.82572911,-21.733785,0.000311
60.000000,2.85719466,2.82710255,-30.092109,0.000362
70.000000,2.86679506,2.82837881,-38.416254,0.000414
80.000000,2.87610865,2.82959607,-46.512574,0.000466
90.000000,2.88509345,2.83076115,-54.332305,0.000518
100.000000,2.89370513,2.83187756,-61.827566,0.000569
110.000000,2.90193677,2.83295254,-68.984226,0.000621
120.000000,2.90982080,2.83400089,-75.819906,0.000673
130.000000,2.91734838,2.83502301,-82.325372,0.000725
140.000000,2.92453814,2.83601630,-88.521837,0.000776
150.000000,2.93142962,2.83698832,-94.441308,0.000828
160.000000,2.93806267,2.83794273,-100.119934,0.000880
170.000000,2.94442368,2.83888148,-105.542193,0.000932
180.000000,2.95056677,2.83980348,-110.763288,0.000983
190.000000,2.95650458,2.84070710,-115.797479,0.001035
200.000000,2.96227074,2.84160127,-120.669462,0.001087
210.000000,2.96785808,2.84248519,-125.372885,0.001139
220.000000,2.97331572,2.84335979,-129.955928,0.001190
230.000000,2.97862339,2.84422044,-134.402955,0.001242
240.000000,2.98382902,2.84507240,-138.756624,0.001294
250.000000,2.98893023,2.84591731,-143.012916,0.001346
260.000000,2.99391508,2.84675576,-147.159324,0.001398
270.000000,2.99885488,2.84758827,-151.266608,0.001449
280.000000,3.00371361,2.84840857,-155.305034,0.001501
290.000000,3.00849938,2.84922452,-159.274867,0.001553
300.000000,3.01322293,2.85003585,-163.187080,0.001605
310.000000,3.01788092,2.85084294,-167.037975,0.001656
320.000000,3.02252936,2.85164608,-170.883287,0.001708
330.000000,3.02712417,2.85243922,-174.684942,0.001760
340.000000,3.03167701,2.85322951,-178.447500,0.001812
350.000000,3.03619027,2.85401671,-182.173561,0.001863
360.000000,3.04068518,2.85480106,-185.884114,0.001915
370.000000,3.04513121,2.85558278,-189.548430,0.001967
380.000000,3.04957366,2.85635653,-193.217128,0.002019
390.000000,3.05399060,2.85712776,-196.862843,0.002070
400.000000,3.05838227,2.85789690,-200.485370,0.002122
410.000000,3.06276131,2.85866411,-204.097193,0.002174
420.000000,3.06712508,2.85942953,-207.695547,0.002226
430.000000,3.07146859,2.86018915,-211.279439,0.002277
440.000000,3.07578135,2.86094551,-214.835831,0.002329
450.000000,3.08010817,2.86170064,-218.407522,0.002381
460.000000,3.08441257,2.86245446,-221.958118,0.002433
470.000000,3.08870530,2.86320705,-225.498253,0.002485
480.000000,3.09298658,2.86395577,-229.030813,0.002536
490.000000,3.09725022,2.86470046,-232.549759,0.002588
500.000000,3.10151100,2.86544432,-236.066686,0.002640
510.000000,3.10575891,2.86618727,-239.571638,0.002692
520.000000,3.10999703,2.86692938,-243.067649,0.002743
530.000000,3.11422801,2.86766959,-246.558420,0.002795
540.000000,3.11843824,2.86840459,-250.033652,0.002847
550.000000,3.12265968,2.86913904,-253.520647,0.002899
560.000000,3.12685847,2.86987286,-256.985608,0.002950
570.000000,3.13106346,2.87060612,-260.457339,0.003002
580.000000,3.13526416,2.87133885,-263.925308,0.003054
590.000000,3.13944173,2.87206611,-267.375614,0.003106
600.000000,3.14360642,2.87279244,-270.813985,0.003157
610.000000,3.14778042,2.87351834,-274.262075,0.003209
620.000000,3.15193677,2.87424386,-277.692913,0.003261
630.000000,3.15608692,2.87496901,-281.117915,0.003313
640.000000,3.16022134,2.87569067,-284.530670,0.003364
650.000000,3.16437221,2.87640976,-287.962442,0.003416
660.000000,3.16848040,2.87712858,-291.351821,0.003468
670.000000,3.17258167,2.87784712,-294.734553,0.003520
680.000000,3.17667937,2.87856542,-298.113957,0.003572
690.000000,3.18076324,2.87928226,-301.480985,0.003623
700.000000,3.18482828,2.87999468,-304.833602,0.003675
710.000000,3.18881130,2.88070698,-308.104321,0.003727
720.000000,3.19291997,2.88141910,-311.500870,0.003779
730.000000,3.19693780,2.88213105,-314.806751,0.003830
740.000000,3.20095682,2.88284284,-318.113983,0.003882
750.000000,3.20493913,2.88354974,-321.389385,0.003934
760.000000,3.20890927,2.88425594,-324.653329,0.003986
770.000000,3.21283197,2.88496202,-327.869954,0.004037
780.000000,3.21676755,2.88566798,-331.099570,0.004089
790.000000,3.22065759,2.88637383,-334.283756,0.004141
800.000000,3.22452998,2.88707671,-337.453276,0.004193
810.000000,3.22837400,2.88777714,-340.596866,0.004244
820.000000,3.23217559,2.88847745,-343.698141,0.004296
