baseline,model,leg,direction,T_exp_s,Q_meas_mAh,I_abs_uA,x0,x_end_model_at_meas_end,V_sim_at_meas_end,V_meas_end,model_cutoff_t_s,model_Q_cutoff_mAh,model_Q_over_meas,Qperdx_mAh
D0A,DFN,c1_charge,charge,191583.97,3.2782556857497274,61.60079999999999,0.9531422206678014,0.06033408774682003,3.406938152881733,3.6500036716,203313.84605034793,3.4789709910495197,1.0612262509517738,3.6718495845999173
D0A,DFN,c2_charge,charge,191524.789,3.277219646815357,61.6003,0.9461431140455457,0.05361801735989857,3.4071915082268154,3.6500041485,201813.49239985962,3.453269909966409,1.053719396965696,3.6718495845999173
D0A,DFN,c3_charge,charge,192913.89,3.3008999013967726,61.598600000000005,0.9766768104634099,0.07770317100862334,3.40651752494804,3.6500017643,208371.93873772133,3.565394362647056,1.0801279860496111,3.6718495845999173
D0A,DFN,c4_charge,charge,193176.51799999992,3.3055065299248145,61.60079999999999,0.9850390259040781,0.08480939625522876,3.406369490429101,3.6500048637,210159.159334137,3.596103428419529,1.087912970633679,3.6718495845999173
D0A,DFN,c5_charge,charge,193200.89699999988,3.3059345886448255,61.6009,0.9852964303070615,0.08495172952657093,3.4063665608170406,3.6500012875,210214.06209884823,3.597048727206928,1.088058045540894,3.6718495845999173
D0A,DFN,c1_discharge,discharge,190879.78000000003,3.266215732158425,61.60099999999999,0.013142936876667607,0.9026723338063191,3.3392347649939857,2.4999952316,211430.76281009166,3.6178740055179044,1.1076653540968318,3.6718495845999173
D0A,DFN,c2_discharge,discharge,192161.52299999993,3.288176281834675,61.6015,0.00925774352920762,0.9047675303204495,3.3359634400055382,2.499997139,212262.8586419601,3.6321418018424185,1.104606776074616,3.6718495845999173
D0A,DFN,c3_discharge,discharge,192478.20500000007,3.293450257566969,61.599000000000004,0.008517685925806272,0.9054668692113254,3.3348257493702786,2.4999854565,212430.31457862418,3.6348597077024087,1.1036631567004918,3.6718495845999173
D0A,DFN,c4_discharge,discharge,192582.09999999986,3.295328295192276,61.60079999999999,0.00832456520105939,0.9057841237173674,3.3343015243045433,2.4999988079,212465.6384065864,3.635570360654568,1.1032498236848476,3.6718495845999173
D0A,DFN,c5_discharge,discharge,192608.44699999993,3.2957920363981428,61.6009,0.008031432451536457,0.9056152287731967,3.3345813705001093,2.499997139,212528.1216656629,3.6366454360873153,1.1034207850267395,3.6718495845999173
D0A,SPMe,c1_charge,charge,191583.97,3.2782556857497274,61.60079999999999,0.9531422206678014,0.06033408774682003,3.406829963032968,3.6500036716,203314.4409013225,3.4789811697428292,1.0612293558631307,3.6718495845999173
D0A,SPMe,c2_charge,charge,191524.789,3.277219646815357,61.6003,0.9461431140455457,0.05361801735989857,3.4070817770355415,3.6500041485,201814.0872621019,3.4532800887699047,1.0537225028922412,3.6718495845999173
D0A,SPMe,c3_charge,charge,192913.89,3.3008999013967726,61.598600000000005,0.9766768104634099,0.07770317100862334,3.4064162458245177,3.6500017643,208372.53356258094,3.56540454053,1.080131069415738,3.6718495845999173
D0A,SPMe,c4_charge,charge,193176.51799999992,3.3055065299248145,61.60079999999999,0.9850390259040781,0.08480939625522876,3.40626897529041,3.6500048637,210159.7541806055,3.596113607035734,1.0879160499245875,3.6718495845999173
D0A,SPMe,c5_charge,charge,193200.89699999988,3.3059345886448255,61.6009,0.9852964303070615,0.08495172952657093,3.4062660544551515,3.6500012875,210214.65696839197,3.597058906234505,1.0880611245575242,3.6718495845999173
D0A,SPMe,c1_discharge,discharge,190879.78000000003,3.266215732158425,61.60099999999999,0.013142936876667607,0.9026723338063191,3.3393347885423004,2.4999952316,211431.0611735739,3.6178791109314794,1.1076669171943103,3.6718495845999173
D0A,SPMe,c2_discharge,discharge,192161.52299999993,3.288176281834675,61.6015,0.00925774352920762,0.9047675303204495,3.336063317328954,2.499997139,212263.1501678724,3.632146790296164,1.10460829316291,3.6718495845999173
D0A,SPMe,c3_discharge,discharge,192478.20500000007,3.293450257566969,61.599000000000004,0.008517685925806272,0.9054668692113254,3.3349256281706436,2.4999854565,212430.61298276111,3.6348648136458617,1.103664707033138,3.6718495845999173
D0A,SPMe,c4_discharge,discharge,192582.09999999986,3.295328295192276,61.60079999999999,0.00832456520105939,0.9057841237173674,3.3344013963671624,2.4999988079,212465.84893950087,3.635573963153446,1.1032509168988023,3.6718495845999173
D0A,SPMe,c5_discharge,discharge,192608.44699999993,3.2957920363981428,61.6009,0.008031432451536457,0.9056152287731967,3.3346812709304445,2.499997139,212528.41891714832,3.6366505224648225,1.1034223283211742,3.6718495845999173
D0A,SPM,c1_charge,charge,191583.97,3.2782556857497274,61.60079999999999,0.9531422206678014,0.06033408774682003,3.4067079505640745,3.6500036716,203315.16600179486,3.4789935771787124,1.0612331406307245,3.6718495845999173
D0A,SPM,c2_charge,charge,191524.789,3.277219646815357,61.6003,0.9461431140455457,0.05361801735989857,3.4069597660714366,3.6500041485,201814.81235942588,3.453292496051206,1.053726288809158,3.6718495845999173
D0A,SPM,c3_charge,charge,192913.89,3.3008999013967726,61.598600000000005,0.9766768104634099,0.07770317100862334,3.406294234925618,3.6500017643,208373.25868272356,3.5654169478593376,1.0801348281874996,3.6718495845999173
D0A,SPM,c4_charge,charge,193176.51799999992,3.3055065299248145,61.60079999999999,0.9850390259040781,0.08480939625522876,3.4061469584658903,3.6500048637,210160.47932528364,3.5961260152280365,1.0879198037191087,3.6718495845999173
D0A,SPM,c5_charge,charge,193200.89699999988,3.3059345886448255,61.6009,0.9852964303070615,0.08495172952657093,3.4061440373777545,3.6500012875,210215.38208010787,3.597071313882921,1.088064877701479,3.6718495845999173
D0A,SPM,c1_discharge,discharge,190879.78000000003,3.266215732158425,61.60099999999999,0.013142936876667607,0.9026723338063191,3.339456837517283,2.4999952316,211431.42608385556,3.6178853550532186,1.1076688289240462,3.6718495845999173
D0A,SPM,c2_discharge,discharge,192161.52299999993,3.288176281834675,61.6015,0.00925774352920762,0.9047675303204495,3.336185366140281,2.499997139,212263.52256852906,3.6321531626403454,1.1046102311198913,3.6718495845999173
D0A,SPM,c3_discharge,discharge,192478.20500000007,3.293450257566969,61.599000000000004,0.008517685925806272,0.9054668692113254,3.335047671830468,2.4999854565,212430.9776020075,3.6348710525850167,1.1036666013806056,3.6718495845999173
D0A,SPM,c4_discharge,discharge,192582.09999999986,3.295328295192276,61.60079999999999,0.00832456520105939,0.9057841237173674,3.3345234435344793,2.4999988079,212466.2442077074,3.6355807267194837,1.1032529693698863,3.6718495845999173
D0A,SPM,c5_discharge,discharge,192608.44699999993,3.2957920363981428,61.6009,0.008031432451536457,0.9056152287731967,3.3348033182226846,2.499997139,212528.79921154652,3.636657029819599,1.1034243027645565,3.6718495845999173
