baseline,model,leg,direction,n,rmse_mV,bias_mV,sigma_mV,maxabs_mV
D0A,DFN,c1_charge,charge,19160,69.4209837632323,-63.69403481520781,27.611278600296274,243.0655187182671
D0A,DFN,c2_charge,charge,19154,58.54841145992819,-54.51532109833461,21.354626152462167,242.8126402731845
D0A,DFN,c3_charge,charge,19293,79.44947050003776,-62.320477171404434,49.27983728318164,343.5193907422511
D0A,DFN,c4_charge,charge,19319,90.55593215224859,-66.33538760768198,61.64568035380014,427.09115789481444
D0A,DFN,c5_charge,charge,19322,89.92328563702648,-65.91411592282837,61.16960252155558,423.42376994388565
D0A,DFN,c1_discharge,discharge,19089,67.48428370530503,2.4694455406343985,67.44085299290246,839.239533393986
D0A,DFN,c2_discharge,discharge,19218,62.13448491540835,0.35445391307968327,62.135090500717446,835.9663010055383
D0A,DFN,c3_discharge,discharge,19249,59.70980964537552,-0.9335900112286618,59.70406150274006,834.8402928702785
D0A,DFN,c4_discharge,discharge,19260,59.25658637793602,-1.3554070576799409,59.24262087105608,834.3027164045434
D0A,DFN,c5_discharge,discharge,19262,59.13496347298389,-1.634768753033687,59.113897291605724,834.5842315001094
D0A,SPMe,c1_charge,charge,19160,69.51274558357572,-63.79391304556812,27.61156004360698,243.1737085670318
D0A,SPMe,c2_charge,charge,19154,58.64161487700925,-54.6152665893796,21.354986762895827,242.9223714644584
D0A,SPMe,c3_charge,charge,19293,79.52781687988634,-62.420272371232016,49.27990594476351,343.61945058285625
D0A,SPMe,c4_charge,charge,19319,90.62911478922513,-66.43518641576233,61.645755419511026,427.19122612902095
D0A,SPMe,c5_charge,charge,19322,89.9965141211938,-66.01391273831851,61.169678192695464,423.52383872345587
D0A,SPMe,c1_discharge,discharge,19089,67.48799912948553,2.569258272703611,67.44084226063681,839.3395569423005
D0A,SPMe,c2_discharge,discharge,19218,62.135115716268906,0.4542678595524503,62.13507173143261,836.066178328954
D0A,SPMe,c3_discharge,discharge,19249,59.70831226174255,-0.8337782174360965,59.704041314216745,834.9401716706435
D0A,SPMe,c4_discharge,discharge,19260,59.254362320911504,-1.2555975700503863,59.24259578583239,834.4025884671624
D0A,SPMe,c5_discharge,discharge,19262,59.13226379193072,-1.534959471744591,59.11387263032663,834.6841319304446
D0A,SPM,c1_charge,charge,19160,69.62473671568378,-63.91592630220663,27.611557703119992,243.29572103592545
D0A,SPM,c2_charge,charge,19154,58.75526390049381,-54.73727769414556,21.354982452112655,243.0443824285633
D0A,SPM,c3_charge,charge,19293,79.62362054614655,-62.54228687741229,49.2799064139268,343.7414569982176
D0A,SPM,c4_charge,charge,19319,90.71858981321738,-66.55719986101593,61.64574918176015,427.31323540627653
D0A,SPM,c5_charge,charge,19322,90.08605118421012,-66.13592861736797,61.169675617255386,423.64584855586475
D0A,SPM,c1_discharge,discharge,19089,67.49275562573709,2.691308853370704,67.44084211369774,839.461605917283
D0A,SPM,c2_discharge,discharge,19218,62.136128010996764,0.5763207787806679,62.135071834222245,836.1882271402811
D0A,SPM,c3_discharge,discharge,19249,59.706732171182715,-0.7117358886902762,59.70404074099471,835.0622153304679
D0A,SPM,c4_discharge,discharge,19260,59.251901491716936,-1.1335504026968246,59.24259549100161,834.5246356344793
D0A,SPM,c5_discharge,discharge,19262,59.12922167294361,-1.4129080265006377,59.113872850067956,834.8061792226846
D0B,DFN,c1_charge,charge,19160,21.94090456009931,-8.867267625193671,20.069775298395456,223.69150801905892
D0B,DFN,c3_charge,charge,19293,69.35692200239714,-11.854258722042779,68.33813899828972,472.0441723122173
D0B,DFN,c4_charge,charge,19319,89.4426416171969,-17.58637700119984,87.69893724719984,562.6713734662832
D0B,DFN,c5_charge,charge,19322,88.76455749671108,-17.214324285695785,87.08160639217353,559.0935910665911
D0B,DFN,c2_discharge,discharge,19218,26.913879561480826,-5.506612234526095,26.345213044920772,225.79815789585612
D0B,DFN,c3_discharge,discharge,19240,35.39399521916835,-7.351072436749901,34.62309831835148,307.7218401019932
D0B,DFN,c4_discharge,discharge,19244,38.87852606918413,-8.062629259921781,38.03431306961463,343.001553793397
D0B,DFN,c5_discharge,discharge,19250,38.364886706343825,-8.141267869995481,37.49209664207338,342.9300963084967
