leg,direction,V0_rest_V,U_afshar_at_x0_V,U_minus_V0_mV,dUdx_V_per_sto,hysteresis_proxy_unrepresented_mV
c1_charge,charge,3.1677107811,3.1677107811000003,4.440892098500626e-13,-6.661824784825422,37.5
c2_charge,charge,3.209646225,3.2096462249999997,-4.440892098500626e-13,-5.403809487910456,37.5
c3_charge,charge,2.9408383369,2.9408383369000006,4.440892098500626e-13,-13.46175965784517,37.5
c4_charge,charge,2.8131945133,2.8131945133000005,4.440892098500626e-13,-17.365996821270546,37.5
c5_charge,charge,2.8087351322,2.808735132200001,1.3322676295501878e-12,-17.496578850436578,37.5
c1_discharge,discharge,3.4770736694,3.4770736694,0.0,-10.300497398685797,37.5
c2_discharge,discharge,3.5322194099,3.5322194099,0.0,-18.062631725728178,37.5
c3_discharge,discharge,3.5468790531,3.5468790530999947,-5.329070518200751e-12,-20.210976575518718,37.5
c4_discharge,discharge,3.5509932041,3.5509932041,0.0,-20.982503834474624,37.5
c5_discharge,discharge,3.5574374199,3.5574374199,0.0,-21.783512690797462,37.5
