baseline,model,direction,bin_lo,bin_hi,n,mean_resid_mV,sd_resid_mV
D0A,DFN,charge,0.0,0.1,1915,-126.98401355509571,42.33655886495281
D0A,DFN,charge,0.1,0.2,1916,-62.59636501028901,4.055961739534136
D0A,DFN,charge,0.2,0.3,1916,-57.00951078972809,0.6255280271031354
D0A,DFN,charge,0.3,0.4,1916,-54.994367947899164,0.5369403092704919
D0A,DFN,charge,0.4,0.5,1916,-53.51974515314943,0.364461092053917
D0A,DFN,charge,0.5,0.6,1916,-52.38899731961279,0.29197607419653226
D0A,DFN,charge,0.6,0.7,1916,-51.67182404891241,0.16436761405249561
D0A,DFN,charge,0.7,0.8,1916,-51.338209590947656,0.05943858519477236
D0A,DFN,charge,0.8,0.9,1916,-52.54535221438892,0.90922853205731
D0A,DFN,charge,0.9,1.0,1917,-73.91965790600538,30.5082789532265
D0A,DFN,charge,0.0,0.1,1915,-104.75020637013402,30.36310175484109
D0A,DFN,charge,0.1,0.2,1915,-54.619349754310996,3.6697054190319296
D0A,DFN,charge,0.2,0.3,1916,-49.24847674334815,0.5218169415491953
D0A,DFN,charge,0.3,0.4,1915,-47.9902876815,0.2579075840543228
D0A,DFN,charge,0.4,0.5,1916,-47.20384291241365,0.23119418415888135
D0A,DFN,charge,0.5,0.6,1915,-46.413663424419994,0.17620813299642654
D0A,DFN,charge,0.6,0.7,1915,-45.97665681801333,0.14855352585870102
D0A,DFN,charge,0.7,0.8,1916,-45.565448947059636,0.1494571123715287
D0A,DFN,charge,0.8,0.9,1915,-45.52505990347821,0.17813824892194
D0A,DFN,charge,0.9,1.0,1915,-57.77313272397738,25.475864560630992
D0A,DFN,charge,0.0,0.1,1929,-184.08822096457263,83.1397664969016
D0A,DFN,charge,0.1,0.2,1929,-60.43993218559725,8.058097878737504
D0A,DFN,charge,0.2,0.3,1929,-49.376536671404445,0.9398520261685147
D0A,DFN,charge,0.3,0.4,1930,-47.447141960589036,0.2681090842542188
D0A,DFN,charge,0.4,0.5,1929,-46.711775693361346,0.23041504995589634
D0A,DFN,charge,0.5,0.6,1929,-45.86759715817433,0.23923978827390902
D0A,DFN,charge,0.6,0.7,1929,-45.08690261712465,0.2023326590331243
D0A,DFN,charge,0.7,0.8,1930,-44.548699304838344,0.0847014307826341
D0A,DFN,charge,0.8,0.9,1929,-44.717322508029156,0.19195360536820746
D0A,DFN,charge,0.9,1.0,1930,-54.94139132786538,24.442920628239996
D0A,DFN,charge,0.0,0.1,1931,-218.81380163013498,105.85247301439392
D0A,DFN,charge,0.1,0.2,1932,-62.9845193553007,10.166463151614723
D0A,DFN,charge,0.2,0.3,1932,-49.29937381433415,0.9932416912460288
D0A,DFN,charge,0.3,0.4,1932,-47.58806171433104,0.2475002272599815
D0A,DFN,charge,0.4,0.5,1932,-46.82960477096224,0.1757584095050919
D0A,DFN,charge,0.5,0.6,1932,-46.204269008032,0.19569854570357476
D0A,DFN,charge,0.6,0.7,1932,-45.542787657953205,0.20431069870711424
D0A,DFN,charge,0.7,0.8,1932,-45.11766252602308,0.04888055399904996
D0A,DFN,charge,0.8,0.9,1932,-45.316366972808034,0.17893880311261673
D0A,DFN,charge,0.9,1.0,1931,-55.639044613154,23.738722904572935
D0A,DFN,charge,0.0,0.1,1932,-216.79082727609972,105.64366833739501
D0A,DFN,charge,0.1,0.2,1932,-62.570274825664626,10.33341440532807
D0A,DFN,charge,0.2,0.3,1932,-48.91845566517659,0.9008948151715247
D0A,DFN,charge,0.3,0.4,1932,-47.347735465036386,0.23723649239605726
D0A,DFN,charge,0.4,0.5,1933,-46.74224737067899,0.202726842868446
D0A,DFN,charge,0.5,0.6,1932,-45.97218289746017,0.19530097004123248
D0A,DFN,charge,0.6,0.7,1932,-45.29537835005573,0.14165662053797295
D0A,DFN,charge,0.7,0.8,1932,-44.99650983753477,0.02935883828006484
D0A,DFN,charge,0.8,0.9,1932,-45.225520338965694,0.2016220660849584
D0A,DFN,charge,0.9,1.0,1933,-55.29744569994189,23.93833003107766
D0A,DFN,discharge,0.0,0.1,1908,-0.1666504868301925,5.566349660239033
D0A,DFN,discharge,0.1,0.2,1909,-4.574561764392093,0.27483784646184245
D0A,DFN,discharge,0.2,0.3,1909,-5.335705268558808,0.22768390435906044
D0A,DFN,discharge,0.3,0.4,1909,-6.161353300806862,0.20596747061237303
D0A,DFN,discharge,0.4,0.5,1909,-6.827496439557585,0.2123340282707999
D0A,DFN,discharge,0.5,0.6,1909,-7.655983465353803,0.3265426907336244
D0A,DFN,discharge,0.6,0.7,1909,-8.37094242566171,0.11195610222164082
D0A,DFN,discharge,0.7,0.8,1909,-8.562517829546241,0.014497862820448971
D0A,DFN,discharge,0.8,0.9,1909,-8.692980690091504,0.23012461281177693
D0A,DFN,discharge,0.9,1.0,1908,80.64388765243407,195.568475724511
D0A,DFN,discharge,0.0,0.1,1921,1.0093943581533402,8.41417422640167
D0A,DFN,discharge,0.1,0.2,1922,-4.846473421663544,0.21323445120912782
D0A,DFN,discharge,0.2,0.3,1922,-5.694830506786304,0.2794276526956405
D0A,DFN,discharge,0.3,0.4,1922,-6.606670014204216,0.23423163706733383
D0A,DFN,discharge,0.4,0.5,1921,-7.461299732876194,0.253740470759802
D0A,DFN,discharge,0.5,0.6,1922,-8.412194326819149,0.2520825890362372
D0A,DFN,discharge,0.6,0.7,1922,-9.010569495778025,0.1154750259550739
D0A,DFN,discharge,0.7,0.8,1922,-9.237990533488025,0.02710337347065048
D0A,DFN,discharge,0.8,0.9,1922,-9.612097107498473,0.44367577304828515
D0A,DFN,discharge,0.9,1.0,1922,63.41354420249578,184.45718299609123
D0A,DFN,discharge,0.0,0.1,1924,0.6766968113101991,9.16364035519947
D0A,DFN,discharge,0.1,0.2,1925,-5.309111450486499,0.2624766927925615
D0A,DFN,discharge,0.2,0.3,1925,-6.2676533155277445,0.239312648260453
D0A,DFN,discharge,0.3,0.4,1925,-7.101152940699015,0.26996797462473104
D0A,DFN,discharge,0.4,0.5,1925,-8.041524994679271,0.30434843154512015
D0A,DFN,discharge,0.5,0.6,1925,-8.909742189599765,0.20213978984071843
