geometry_tag,L_um,area_m2,c_smax_source,c_smax_mol_m3,eps_s,dx,Q_geom_mAh,Q_nominal_mAh,Q_exp_mean_mAh,geom_vs_nominal_pct,geom_vs_experimental_pct,in_experimental_band
"SINTEF LFP-NMP-1 (78um, 1.539 cm2)",78.0,1.539380e-04,ae94f3/theoretical,22820.0,0.4,0.8,2.35,3.07876,3.2878,-23.67,-28.52,False
"SINTEF LFP-NMP-1 (78um, 1.539 cm2)",78.0,1.539380e-04,ae94f3/theoretical,22820.0,0.4,0.85,2.4969,3.07876,3.2878,-18.9,-24.06,False
"SINTEF LFP-NMP-1 (78um, 1.539 cm2)",78.0,1.539380e-04,ae94f3/theoretical,22820.0,0.4,0.9,2.6437,3.07876,3.2878,-14.13,-19.59,False
"SINTEF LFP-NMP-1 (78um, 1.539 cm2)",78.0,1.539380e-04,ae94f3/theoretical,22820.0,0.4,0.95,2.7906,3.07876,3.2878,-9.36,-15.12,False
"SINTEF LFP-NMP-1 (78um, 1.539 cm2)",78.0,1.539380e-04,ae94f3/theoretical,22820.0,0.4,0.98,2.8787,3.07876,3.2878,-6.5,-12.44,False
"SINTEF LFP-NMP-1 (78um, 1.539 cm2)",78.0,1.539380e-04,ae94f3/theoretical,22820.0,0.4,1.0,2.9375,3.07876,3.2878,-4.59,-10.66,False
"SINTEF LFP-NMP-1 (78um, 1.539 cm2)",78.0,1.539380e-04,ae94f3/theoretical,22820.0,0.45,0.8,2.6437,3.07876,3.2878,-14.13,-19.59,False
"SINTEF LFP-NMP-1 (78um, 1.539 cm2)",78.0,1.539380e-04,ae94f3/theoretical,22820.0,0.45,0.85,2.809,3.07876,3.2878,-8.76,-14.56,False
"SINTEF LFP-NMP-1 (78um, 1.539 cm2)",78.0,1.539380e-04,ae94f3/theoretical,22820.0,0.45,0.9,2.9742,3.07876,3.2878,-3.4,-9.54,False
"SINTEF LFP-NMP-1 (78um, 1.539 cm2)",78.0,1.539380e-04,ae94f3/theoretical,22820.0,0.45,0.95,3.1394,3.07876,3.2878,1.97,-4.51,False
"SINTEF LFP-NMP-1 (78um, 1.539 cm2)",78.0,1.539380e-04,ae94f3/theoretical,22820.0,0.45,0.98,3.2386,3.07876,3.2878,5.19,-1.5,False
"SINTEF LFP-NMP-1 (78um, 1.539 cm2)",78.0,1.539380e-04,ae94f3/theoretical,22820.0,0.45,1.0,3.3047,3.07876,3.2878,7.34,0.51,True
"SINTEF LFP-NMP-1 (78um, 1.539 cm2)",78.0,1.539380e-04,ae94f3/theoretical,22820.0,0.5,0.8,2.9375,3.07876,3.2878,-4.59,-10.66,False
"SINTEF LFP-NMP-1 (78um, 1.539 cm2)",78.0,1.539380e-04,ae94f3/theoretical,22820.0,0.5,0.85,3.1211,3.07876,3.2878,1.37,-5.07,False
"SINTEF LFP-NMP-1 (78um, 1.539 cm2)",78.0,1.539380e-04,ae94f3/theoretical,22820.0,0.5,0.9,3.3047,3.07876,3.2878,7.34,0.51,True
"SINTEF LFP-NMP-1 (78um, 1.539 cm2)",78.0,1.539380e-04,ae94f3/theoretical,22820.0,0.5,0.95,3.4883,3.07876,3.2878,13.3,6.1,False
"SINTEF LFP-NMP-1 (78um, 1.539 cm2)",78.0,1.539380e-04,ae94f3/theoretical,22820.0,0.5,0.98,3.5984,3.07876,3.2878,16.88,9.45,False
"SINTEF LFP-NMP-1 (78um, 1.539 cm2)",78.0,1.539380e-04,ae94f3/theoretical,22820.0,0.5,1.0,3.6719,3.07876,3.2878,19.26,11.68,False
"SINTEF LFP-NMP-1 (78um, 1.539 cm2)",78.0,1.539380e-04,ae94f3/theoretical,22820.0,0.55,0.8,3.2312,3.07876,3.2878,4.95,-1.72,False
"SINTEF LFP-NMP-1 (78um, 1.539 cm2)",78.0,1.539380e-04,ae94f3/theoretical,22820.0,0.55,0.85,3.4332,3.07876,3.2878,11.51,4.42,False
"SINTEF LFP-NMP-1 (78um, 1.539 cm2)",78.0,1.539380e-04,ae94f3/theoretical,22820.0,0.55,0.9,3.6351,3.07876,3.2878,18.07,10.56,False
"SINTEF LFP-NMP-1 (78um, 1.539 cm2)",78.0,1.539380e-04,ae94f3/theoretical,22820.0,0.55,0.95,3.8371,3.07876,3.2878,24.63,16.71,False
