window,dataset,protocol,parameter_match_grade,bin_by,bin,bin_edge_low,bin_edge_high,n_points,RMSE_mV,MAE_mV,Bias_mV
calce_20r/2/DST_50SOC,calce_20r,DST,B,abs_current_A,low,1.9243103452026844e-05,0.4997650980949402,504,109.72231641369628,104.75707622316637,104.75707622316637
calce_20r/2/DST_50SOC,calce_20r,DST,B,abs_current_A,medium,0.4997650980949402,0.500126302242279,763,132.33181328222065,127.02488821692255,127.02488821692255
calce_20r/2/DST_50SOC,calce_20r,DST,B,abs_current_A,high,0.500126302242279,4.00015754169924,733,192.85498091204371,161.99067692819582,161.71934654440872
calce_20r/2/DST_80SOC,calce_20r,DST,B,abs_current_A,low,1.9243103452026844e-05,0.4997650980949402,496,240.37267606339918,234.74640090816402,234.74640090816402
calce_20r/2/DST_80SOC,calce_20r,DST,B,abs_current_A,medium,0.4997650980949402,0.500126302242279,738,261.98805521034853,255.8697420157198,255.8697420157198
calce_20r/2/DST_80SOC,calce_20r,DST,B,abs_current_A,high,0.500126302242279,4.001421638269732,766,307.78223414004424,289.2303322087086,289.2303322087086
calce_20r/2/FUDS_50SOC,calce_20r,FUDS,B,abs_current_A,low,1.9243103369759318e-05,0.14212025701999206,667,113.22188809091237,108.03000845914434,108.03000845914434
calce_20r/2/FUDS_50SOC,calce_20r,FUDS,B,abs_current_A,medium,0.14212025701999206,0.9202708999315891,666,128.38866972008321,120.93109611223193,120.93109611223193
calce_20r/2/FUDS_50SOC,calce_20r,FUDS,B,abs_current_A,high,0.9202708999315891,3.999796337190697,667,197.8581283054229,176.66998923193444,176.54417502108797
calce_20r/2/FUDS_80SOC,calce_20r,FUDS,B,abs_current_A,low,1.924310276374408e-05,0.1419396549463272,663,240.0885716660228,235.0578793095501,235.0578793095501
calce_20r/2/FUDS_80SOC,calce_20r,FUDS,B,abs_current_A,medium,0.1419396549463272,0.9111930727958679,666,254.69678538289716,248.1521558384568,248.1521558384568
calce_20r/2/FUDS_80SOC,calce_20r,FUDS,B,abs_current_A,high,0.9111930727958679,4.00015754169924,671,312.4483055498568,297.3205855839763,297.3205855839763
calce_20r/2/US06_50SOC,calce_20r,US06,B,abs_current_A,low,1.9243103451970466e-05,0.29329022765159607,666,128.23515684076276,116.89494541920496,116.89494541920496
calce_20r/2/US06_50SOC,calce_20r,US06,B,abs_current_A,medium,0.29329022765159607,0.7939776182174683,665,160.92846233245578,135.43526183414264,135.43526183414264
calce_20r/2/US06_50SOC,calce_20r,US06,B,abs_current_A,high,0.7939776182174683,3.9963647751500044,669,216.0178041886331,193.99280510331644,193.99280510331644
calce_20r/2/US06_80SOC,calce_20r,US06,B,abs_current_A,low,1.9243103452026844e-05,0.288654585679372,667,257.889258825353,246.87259280140262,246.87259280140262
calce_20r/2/US06_80SOC,calce_20r,US06,B,abs_current_A,medium,0.288654585679372,0.8093293905258179,664,269.21922888586755,259.1002050531194,259.1002050531194
calce_20r/2/US06_80SOC,calce_20r,US06,B,abs_current_A,high,0.8093293905258179,3.9963647751501297,669,330.1658107026804,316.3111884313086,316.3111884313086
calce_a123/007/DST,calce_a123,DST,B,abs_current_A,low,2.7571220471145352e-06,0.4806569516658783,499,99.81153207150604,46.570514843658685,40.347125984692354
calce_a123/007/DST,calce_a123,DST,B,abs_current_A,medium,0.4806569516658783,0.48122596740722656,742,162.96278709244783,105.90180024060425,104.19774941576748
calce_a123/007/DST,calce_a123,DST,B,abs_current_A,high,0.48122596740722656,3.849223171421155,759,269.36921766470556,214.60031606087085,172.72837417671084
calce_a123/007/FUDS,calce_a123,FUDS,B,abs_current_A,low,2.7571220471145352e-06,0.1575893511374788,667,83.39223620574553,39.11259595297169,32.48172743955842
calce_a123/007/FUDS,calce_a123,FUDS,B,abs_current_A,medium,0.1575893511374788,0.926008105278015,666,145.24609755202124,100.85801734332901,82.46774508373576
calce_a123/007/FUDS,calce_a123,FUDS,B,abs_current_A,high,0.926008105278015,3.8494110454493606,667,299.46017079861133,256.055166329078,214.6364977401738
calce_a123/007/US06,calce_a123,US06,B,abs_current_A,low,2.7571220471145352e-06,0.2793646653493245,667,85.74289340016506,44.95562992417541,38.61304307420617
calce_a123/007/US06,calce_a123,US06,B,abs_current_A,medium,0.2793646653493245,0.7769917647043864,666,134.66453544547667,95.16848617860502,76.01555901614711
calce_a123/007/US06,calce_a123,US06,B,abs_current_A,high,0.7769917647043864,3.8454666445323076,667,260.79397960952394,225.8836819338772,224.95068982481553
calce_a123/008/DST,calce_a123,DST,B,abs_current_A,low,9.031515219248831e-05,0.4811803996562958,628,78.51478305823318,44.461857748486615,12.954361076203496
calce_a123/008/DST,calce_a123,DST,B,abs_current_A,medium,0.4811803996562958,0.48154130578041077,607,142.41492549239518,115.16675643272576,115.16675643272576
calce_a123/008/DST,calce_a123,DST,B,abs_current_A,high,0.48154130578041077,3.849536692078636,765,309.64118800155944,254.29601116223873,210.78339787357615
calce_a123/008/FUDS,calce_a123,FUDS,B,abs_current_A,low,9.031515219248831e-05,0.13597191870212555,658,99.61324733983945,44.4740880062058,36.414537458878556
calce_a123/008/FUDS,calce_a123,FUDS,B,abs_current_A,medium,0.13597191870212555,0.9261797070503235,673,143.14349880401383,109.11899269528858,80.36070746967474
calce_a123/008/FUDS,calce_a123,FUDS,B,abs_current_A,high,0.9261797070503235,3.849536692078636,669,351.0952389154672,310.9764644198325,256.9943660536015
calce_a123/008/US06,calce_a123,US06,B,abs_current_A,low,0.00027076905825906133,0.2796134054660797,664,111.61760724039887,51.05061832861423,39.7864333342479
calce_a123/008/US06,calce_a123,US06,B,abs_current_A,medium,0.2796134054660797,0.7957115173339844,667,144.98897623406705,112.23874879280356,83.63457525446785
calce_a123/008/US06,calce_a123,US06,B,abs_current_A,high,0.7957115173339844,3.8453860587039737,669,311.93036766354703,275.44679847161507,273.0669934466343
calce_cs2/33/C0p5,calce_cs2,CC,B,abs_current_A,low,0.5499932169914246,0.5501731634140015,29,238.04853431261787,168.77840554320667,168.77840554320667
calce_cs2/33/C0p5,calce_cs2,CC,B,abs_current_A,medium,0.5501731634140015,0.5503531098365784,363,187.9488736528679,169.30126823023886,169.30126823023886
calce_cs2/33/C0p5,calce_cs2,CC,B,abs_current_A,high,0.5503531098365784,0.5505330567989946,368,208.80669445275709,184.49148228333402,184.49148228333402
calce_cs2/35/C1,calce_cs2,CC,B,abs_current_A,low,1.0993878841400146,1.0997490882873535,106,239.1896138260104,231.91932226437916,231.91932226437916
calce_cs2/35/C1,calce_cs2,CC,B,abs_current_A,high,1.0997490882873535,1.1001102931571007,268,281.1608923142632,257.5160021340291,257.5160021340291
chen2020/02/C0p1,chen2020,CC,A,abs_current_A,low,0.499275,0.499886,277,83.72153808352715,69.2240781691763,69.2240781691763
chen2020/02/C0p1,chen2020,CC,A,abs_current_A,medium,0.499886,0.500038,321,92.23549803981125,69.82293410674342,69.82293410674342
chen2020/02/C0p1,chen2020,CC,A,abs_current_A,high,0.500038,0.502174002899,615,87.70675011136262,68.3792734068419,68.3792734068419
chen2020/02/C0p5,chen2020,CC,A,abs_current_A,low,2.49943,2.49989,58,103.65773394236298,79.14824280415323,78.5510917113731
chen2020/02/C0p5,chen2020,CC,A,abs_current_A,medium,2.49989,2.50004,70,120.09077566019198,91.6803845669628,91.6803845669628
chen2020/02/C0p5,chen2020,CC,A,abs_current_A,high,2.50004,2.50065000122,156,132.1820493070402,99.85852423447646,99.85651352280651
chen2020/02/C1,chen2020,CC,A,abs_current_A,low,4.99947,4.99992,48,73.42055725621904,66.47963698251799,66.47963698251799
chen2020/02/C1,chen2020,CC,A,abs_current_A,medium,4.99992,5.00008,39,87.3232557319876,79.52872818071629,79.52872818071629
chen2020/02/C1,chen2020,CC,A,abs_current_A,high,5.00008,5.0038900044200005,89,83.56358428540712,75.20986937790566,75.20986937790566
chen2020/02/C1p5,chen2020,CC,A,abs_current_A,low,7.4992,7.49981,30,47.592458413317345,40.052010875518924,35.151157707515175
chen2020/02/C1p5,chen2020,CC,A,abs_current_A,medium,7.49981,7.49996,27,52.080654267275506,46.1311924461996,44.75931351415634
chen2020/02/C1p5,chen2020,CC,A,abs_current_A,high,7.49996,7.50256000336,86,46.85921699165889,40.36337623732651,33.516663672980414
