window,dataset,protocol,RMSE_mV,Bias_mV,residual_std_mV,bias_fraction,dynamic_residual_component
calce_20r/2/DST_50SOC,calce_20r,DST,152.7932984959594,134.12891857151968,73.17940467173798,0.770612825937254,0.22938717406274586
calce_20r/2/DST_80SOC,calce_20r,DST,275.5686436396226,263.4082594649607,80.95780507783844,0.9136906486033887,0.0863093513966114
calce_20r/2/FUDS_50SOC,calce_20r,FUDS,151.0631052009017,135.1755451960307,67.43614560378253,0.8007177288506274,0.19928227114937272
calce_20r/2/FUDS_80SOC,calce_20r,FUDS,271.04093766983226,260.30741134874603,75.51980859255829,0.9223659971998498,0.07763400280015052
calce_20r/2/US06_50SOC,calce_20r,US06,172.325323062479,148.84883469150705,86.83341165454786,0.7460925016461311,0.2539074983538693
calce_20r/2/US06_80SOC,calce_20r,US06,287.5877814728341,274.1593703071761,86.85258617473212,0.9087937397834317,0.09120626021656847
calce_a123/007/DST,calce_a123,DST,199.6863486770989,114.2743909664922,163.75592025093076,0.327492289222643,0.6725077107773568
calce_a123/007/FUDS,calce_a123,FUDS,198.11975057932563,109.87568721032471,164.8598463230907,0.3075726139628624,0.6924273860371375
calce_a123/007/US06,calce_a123,US06,176.55917686961573,113.21168607420073,135.48526515128086,0.4111515444469877,0.5888484555530126
calce_a123/008/DST,calce_a123,DST,211.57616279527298,119.64542964190305,174.49769003908412,0.3197854902013105,0.6802145097986895
calce_a123/008/FUDS,calce_a123,FUDS,226.69937789401084,124.98637633244628,189.13226501265098,0.3039657821549777,0.6960342178450223
calce_a123/008/US06,calce_a123,US06,209.03115926161848,132.44213602223448,161.719220094966,0.4014489206806635,0.5985510793193366
calce_cs2/33/C0p5,calce_cs2,CC,200.36521775876244,176.636578432364,94.58192029782234,0.7771710627154715,0.22282893728452838
calce_cs2/35/C1,calce_cs2,CC,269.9288134456615,250.26132816027805,101.14757513473248,0.8595853376197816,0.14041466238021855
chen2020/02/C0p1,chen2020,CC,88.0461064531649,68.95423301429038,54.748795520750875,0.6133403734100814,0.3866596265899184
chen2020/02/C0p5,chen2020,CC,123.88059325590942,93.49016319896074,81.27724632680267,0.5695413794704389,0.43045862052956124
chen2020/02/C1,chen2020,CC,81.7983977763997,73.78591675478638,35.30745484231123,0.8136869692254898,0.18631303077451067
chen2020/02/C1p5,chen2020,CC,48.04015878520048,35.982302601286655,31.82971497856547,0.5610079745909415,0.4389920254090586
