window,dataset,protocol,parameter_match_grade,progress_bin,n_points,mean_residual_mV,rmse_mV,mean_abs_residual_mV
calce_20r/2/DST_50SOC,calce_20r,DST,B,0-20%,400,103.92187227807398,112.59088926533411,104.29372353802165
calce_20r/2/DST_50SOC,calce_20r,DST,B,20-40%,400,106.43203268243178,114.09687257177615,106.55435945058636
calce_20r/2/DST_50SOC,calce_20r,DST,B,40-60%,400,112.81814046520219,121.64315313799061,112.8211753653898
calce_20r/2/DST_50SOC,calce_20r,DST,B,60-80%,400,137.7019100313287,146.74693499408275,137.7019100313287
calce_20r/2/DST_50SOC,calce_20r,DST,B,80-100%,400,209.77063740056175,233.88551903580452,209.77063740056175
calce_20r/2/DST_80SOC,calce_20r,DST,B,0-20%,400,173.0416300746816,181.96306367029828,173.0416300746816
calce_20r/2/DST_80SOC,calce_20r,DST,B,20-40%,400,262.5759753113718,266.8429464694342,262.5759753113718
calce_20r/2/DST_80SOC,calce_20r,DST,B,40-60%,400,275.66837332866305,279.03058205121727,275.66837332866305
calce_20r/2/DST_80SOC,calce_20r,DST,B,60-80%,400,272.678755967627,276.4338924339031,272.678755967627
calce_20r/2/DST_80SOC,calce_20r,DST,B,80-100%,400,333.0765626424599,347.9955596845116,333.0765626424599
calce_20r/2/FUDS_50SOC,calce_20r,FUDS,B,0-20%,400,104.97990776662124,114.79292709855528,105.17261234834297
calce_20r/2/FUDS_50SOC,calce_20r,FUDS,B,20-40%,400,110.61840459693676,120.274414045458,110.61840459693676
calce_20r/2/FUDS_50SOC,calce_20r,FUDS,B,40-60%,400,113.81746442853105,123.05787732844077,113.83455504339581
calce_20r/2/FUDS_50SOC,calce_20r,FUDS,B,60-80%,400,140.44823852413398,148.90223436682146,140.44823852413398
calce_20r/2/FUDS_50SOC,calce_20r,FUDS,B,80-100%,400,206.01371066393048,221.67959176894834,206.01371066393048
calce_20r/2/FUDS_80SOC,calce_20r,FUDS,B,0-20%,400,175.88810363667173,184.69956908996556,175.88810363667173
calce_20r/2/FUDS_80SOC,calce_20r,FUDS,B,20-40%,400,260.13600695080225,264.7921992223014,260.13600695080225
calce_20r/2/FUDS_80SOC,calce_20r,FUDS,B,40-60%,400,269.6300685589547,272.63437954119877,269.6300685589547
calce_20r/2/FUDS_80SOC,calce_20r,FUDS,B,60-80%,400,269.6734982390975,273.7963207213213,269.6734982390975
calce_20r/2/FUDS_80SOC,calce_20r,FUDS,B,80-100%,400,326.2093793582039,337.3324468908388,326.2093793582039
calce_20r/2/US06_50SOC,calce_20r,US06,B,0-20%,401,110.12641895685573,115.72065372722703,110.12641895685573
calce_20r/2/US06_50SOC,calce_20r,US06,B,20-40%,400,112.19325837722417,117.88950247936624,112.19325837722417
calce_20r/2/US06_50SOC,calce_20r,US06,B,40-60%,401,115.1391121426706,120.56129790248491,115.1391121426706
calce_20r/2/US06_50SOC,calce_20r,US06,B,60-80%,399,147.31251291500124,153.18835318028823,147.31251291500124
calce_20r/2/US06_50SOC,calce_20r,US06,B,80-100%,399,259.92780804042314,288.767206299229,259.92780804042314
calce_20r/2/US06_80SOC,calce_20r,US06,B,0-20%,401,173.7111693687132,180.3922224346858,173.7111693687132
calce_20r/2/US06_80SOC,calce_20r,US06,B,20-40%,399,266.02065072795284,268.96192944323644,266.02065072795284
calce_20r/2/US06_80SOC,calce_20r,US06,B,40-60%,400,281.26311093895345,283.3829298932857,281.26311093895345
calce_20r/2/US06_80SOC,calce_20r,US06,B,60-80%,399,277.66195591111335,280.3942491112801,277.66195591111335
calce_20r/2/US06_80SOC,calce_20r,US06,B,80-100%,401,372.1345567903477,386.8422158572515,372.1345567903477
