dataset,cell,window,chemistry,model,parameter_set,parameter_match_grade,parameter_match_level,protocol,c_rate,initial_state_value,time_s,elapsed_fraction,q_fraction,current_A,abs_current_A,dI_dt_A_s,abs_dI_dt_A_s,voltage_exp_V,voltage_sim_V,residual_mV,abs_residual_mV
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,0.0,0.0,0.0,0.502174,0.502174,-6.609999999999857e-05,6.609999999999857e-05,4.1694,4.177856122527917,8.456122527916499,8.456122527916499
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,30.0,0.0008336753708855825,0.0008336801689987292,0.500191,0.500191,-6.609999999999857e-05,6.609999999999857e-05,4.1605,4.168052318200228,7.552318200228392,7.552318200228392
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,60.0,0.001667350741771165,0.0016673543353033535,0.500038,0.500038,-5.1000000000023246e-06,5.1000000000023246e-06,4.1563,4.163238153290594,6.938153290594329,6.938153290594329
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,90.0,0.0025010261126567476,0.0025010265007099426,0.499733,0.499733,-1.0166666666666657e-05,1.0166666666666657e-05,4.1527,4.159776358487787,7.076358487786649,7.076358487786649
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,120.0,0.00333470148354233,0.0033347006670145667,0.500191,0.500191,1.526666666666898e-05,1.526666666666898e-05,4.1498,4.156901931856943,7.101931856943189,7.101931856943189
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,150.0,0.004168376854427913,0.00416837483331919,0.499886,0.499886,-1.0166666666668507e-05,1.0166666666668507e-05,4.1472,4.1544121819994615,7.21218199946172,7.21218199946172
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,180.0,0.005002052225313495,0.0050020489996238145,0.499886,0.499886,0.0,0.0,4.1451,4.152138645036382,7.038645036382185,7.038645036382185
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,210.0,0.005835727596199078,0.00583574317490879,0.500343,0.500343,1.5233333333332839e-05,1.5233333333332839e-05,4.1427,4.150002099872818,7.3020998728186015,7.3020998728186015
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,240.0,0.00666940296708466,0.006669417341213415,0.500038,0.500038,-1.0166666666666657e-05,1.0166666666666657e-05,4.1401,4.148023560830566,7.92356083056589,7.92356083056589
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,270.0,0.007503078337970243,0.007503091507518038,0.500191,0.500191,5.1000000000023246e-06,5.1000000000023246e-06,4.1379,4.146127812864462,8.227812864461725,8.227812864461725
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,300.0,0.008336753708855825,0.008336765673822664,0.500343,0.500343,5.066666666664332e-06,5.066666666664332e-06,4.1363,4.144313085879263,8.01308587926286,8.01308587926286
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,330.0,0.009170429079741407,0.009170439840127286,0.49958,0.49958,-2.543333333333194e-05,2.543333333333194e-05,4.134,4.142615626235244,8.615626235243923,8.615626235243923
