dataset,cell,window,chemistry,model,parameter_set,parameter_match_grade,parameter_match_level,protocol,c_rate,initial_state_value,n_points,duration_s,RMSE_mV,MAE_mV,Bias_mV,residual_std_mV,max_abs_error_mV,current_rms_A,peak_discharge_current_A,peak_charge_current_A,charge_fraction,current_std_A,dynamicity_index_1_per_s,dynamicity_index_norm,bias_fraction,dynamic_residual_component
calce_20r,2,calce_20r/2/DST_50SOC,NMC_Graphite,SPMe,Chen2020,B,compatible_surrogate,DST,,0.5,2000,6740.395424119313,152.7932984959594,134.22836115717766,134.12891857151968,73.17940467173798,989.6565888630007,1.072447252272512,4.000153541564941,2.0018539428710938,0.12004168728458359,0.92776143146473,0.06098418677723116,0.05686450932482309,0.770612825937254,0.22938717406274586
calce_20r,2,calce_20r/2/DST_80SOC,NMC_Graphite,SPMe,Chen2020,B,compatible_surrogate,DST,,0.8,2000,10710.211569359202,275.5686436396226,263.4082594649607,263.4082594649607,80.95780507783844,1231.8220672255582,1.0901745468347792,4.001417636871338,2.000770330429077,0.12375255741444338,0.9474857410221773,0.06008014205515659,0.05511057126548562,0.9136906486033887,0.0863093513966114
calce_20r,2,calce_20r/2/FUDS_50SOC,NMC_Graphite,SPMe,Chen2020,B,compatible_surrogate,FUDS,,0.5,2000,7061.188114766715,151.0631052009017,135.217504235348,135.1755451960307,67.43614560378253,957.2106676166823,1.1203960230452317,3.9997923374176025,2.1418261528015137,0.15785904155535405,0.99644527742488,0.18266747792752971,0.16303831339122418,0.8007177288506274,0.19928227114937272
calce_20r,2,calce_20r/2/FUDS_80SOC,NMC_Graphite,SPMe,Chen2020,B,compatible_surrogate,FUDS,,0.8,2000,11200.29497775761,271.04093766983226,260.30741134874603,260.30741134874603,75.51980859255829,1110.630360712107,1.1310133791361177,4.000153541564941,2.1418261528015137,0.1563210822058889,1.0055598924827502,0.1423843336846864,0.12589093666906165,0.9223659971998498,0.07763400280015052
calce_20r,2,calce_20r/2/US06_50SOC,NMC_Graphite,SPMe,Chen2020,B,compatible_surrogate,US06,,0.5,2000,6897.365931018807,172.325323062479,148.84883469150705,148.84883469150705,86.83341165454786,974.2957465888961,0.9476497348822133,3.9963607788084685,0.8593196868896484,0.0954788707532195,0.7712702169646083,0.16472329284192233,0.17382297148259782,0.7460925016461311,0.2539074983538693
calce_20r,2,calce_20r/2/US06_80SOC,NMC_Graphite,SPMe,Chen2020,B,compatible_surrogate,US06,,0.8,2000,10776.868759291596,287.5877814728341,274.1593703071761,274.1593703071761,86.85258617473212,1128.835153085652,0.9524675391856008,3.9963607788085938,0.859139084815979,0.09821197774165936,0.7800233280831835,0.12605269931640511,0.13234330213939405,0.9087937397834317,0.09120626021656847
calce_a123,007,calce_a123/007/DST,LFP_Graphite,SPMe,Prada2013,B,compatible_surrogate,DST,,0.995,2000,7387.429972633699,199.6863486770989,132.3497312878575,114.2743909664922,163.75592025093076,1251.0554489652811,1.037860165424163,3.84921932220459,1.9252712726593018,0.13630849952094645,0.9066066407894232,0.06570648977732492,0.06330957865645738,0.327492289222643,0.6725077107773568
calce_a123,007,calce_a123/007/FUDS,LFP_Graphite,SPMe,Prada2013,B,compatible_surrogate,FUDS,,0.995,2000,7400.064474844039,198.11975057932563,132.02416849639215,109.87568721032471,164.8598463230907,1291.8226668976731,1.099905039692578,3.849407196044922,2.061073064804077,0.15319265567599594,0.9719607028255177,0.17548103879138166,0.15954198995254024,0.3075726139628624,0.6924273860371375
calce_a123,007,calce_a123/007/US06,LFP_Graphite,SPMe,Prada2013,B,compatible_surrogate,US06,,0.995,2000,6980.396680012684,176.55917686961573,122.01601640213602,113.21168607420073,135.48526515128086,1235.7026309085204,0.91903940683046,3.8454627990722656,0.8266472816467285,0.09798442881407565,0.7542096264606382,0.15930392474959665,0.17333742553977805,0.4111515444469877,0.5888484555530126
calce_a123,008,calce_a123/008/DST,LFP_Graphite,SPMe,Prada2013,B,compatible_surrogate,DST,,0.995,2000,7460.715811408664,211.57616279527298,146.18235817991336,119.64542964190305,174.49769003908412,1174.6536675174575,1.031557329425237,3.8495328426361084,1.9249918460845947,0.13804473233619396,0.9024972101883487,0.06571734842404288,0.06370692791321571,0.3197854902013105,0.6802145097986895
calce_a123,008,calce_a123/008/FUDS,LFP_Graphite,SPMe,Prada2013,B,compatible_surrogate,FUDS,,0.995,2000,7605.717300356799,226.69937789401084,155.3721433444403,124.98637633244628,189.13226501265098,1216.4291235376843,1.0955189082528765,3.8495328426361084,2.061053991317749,0.15864737238629945,0.9734743079850207,0.17097073843722393,0.15606370382952725,0.3039657821549777,0.6960342178450223
calce_a123,008,calce_a123/008/US06,LFP_Graphite,SPMe,Prada2013,B,compatible_surrogate,US06,,0.995,2000,7184.041438723565,209.03115926161848,146.51738209625515,132.44213602223448,161.719220094966,1209.2449228434814,0.9174235332447588,3.8453822135925293,0.8269298672676086,0.09440652611818819,0.746782882743239,0.15531135394889226,0.1692907891730055,0.4014489206806635,0.5985510793193366
calce_cs2,33,calce_cs2/33/C0p5,LCO_Graphite,SPMe,Ramadass2004,B,compatible_surrogate,CC,0.5,,760,7590.153560088605,200.36521775876244,176.636578432364,176.636578432364,94.58192029782234,1051.2968744255215,0.5502600703550089,0.5505330562591553,-0.5499932169914246,0.0,0.0001137664789162081,1.1552884526846474e-05,2.099531684970881e-05,0.7771710627154715,0.22282893728452838
calce_cs2,35,calce_cs2/35/C1,LCO_Graphite,SPMe,Ramadass2004,B,compatible_surrogate,CC,1.0,,374,3726.804642819028,269.9288134456615,250.26132816027805,250.26132816027805,101.14757513473248,1037.322884307026,1.0997143255304849,1.1001102924346924,-1.0993878841400146,0.0,0.00011055197269095349,1.0414582433255973e-05,9.470261677488054e-06,0.8595853376197816,0.14041466238021855
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1213,35985.230039999995,88.0461064531649,68.95423301429038,68.95423301429038,54.748795520750875,420.2568468313017,0.4999725006492754,0.502174,-0.499275,0.0,0.00022659918478599997,8.364811814699145e-06,1.6730543787581147e-05,0.6133403734100814,0.3866596265899184
chen2020,02,chen2020/02/C0p5,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.5,,284,7090.529980000007,123.88059325590942,93.61322106657258,93.49016319896074,81.27724632680267,377.46229845816214,2.499993918682674,2.50065,-2.49943,0.0,0.00022618515427207385,1.781241224234668e-05,7.1249822286498215e-06,0.5695413794704389,0.43045862052956124
chen2020,02,chen2020/02/C1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,1.0,,176,3549.369999999996,81.7983977763997,73.78591675478638,73.78591675478638,35.30745484231123,176.20731858954565,5.000015751887177,5.00389,-4.99947,0.0,0.00036401723218195845,0.0001696657116565415,3.393303542943917e-05,0.8136869692254898,0.18631303077451067
chen2020,02,chen2020/02/C1p5,NMC_Graphite,SPMe,Chen2020,A,exact,CC,1.5,,143,2357.950000000012,48.04015878520048,41.38708306799327,35.982302601286655,31.82971497856547,90.12900019532744,7.49993672004386,7.50256,-7.4992,0.0,0.00031836508976785925,0.0001763868131159489,2.351844018157494e-05,0.5610079745909415,0.4389920254090586
