window,dataset,protocol,parameter_match_grade,bin_by,bin,bin_edge_low,bin_edge_high,n_points,RMSE_mV,MAE_mV,Bias_mV
calce_20r/2/DST_50SOC,calce_20r,DST,B,abs_dI_dt_A_s,low,0.0,4.4635929635616014e-05,1000,136.76500192717364,125.60675980134349,125.55934250631486
calce_20r/2/DST_50SOC,calce_20r,DST,B,abs_dI_dt_A_s,medium,4.4635929635616014e-05,0.16492399305827538,800,165.9415166849746,144.1957213847814,144.09137267525475
calce_20r/2/DST_50SOC,calce_20r,DST,B,abs_dI_dt_A_s,high,0.16492399305827538,1.166535731915856,200,172.59271147187982,137.46692702593364,137.12698248260352
calce_20r/2/DST_80SOC,calce_20r,DST,B,abs_dI_dt_A_s,low,0.0,3.565068362158703e-05,1000,266.57778443685106,257.1699665254913,257.1699665254913
calce_20r/2/DST_80SOC,calce_20r,DST,B,abs_dI_dt_A_s,medium,3.565068362158703e-05,0.29639887340727283,800,284.396572746716,271.43751712754784,271.43751712754784
calce_20r/2/DST_80SOC,calce_20r,DST,B,abs_dI_dt_A_s,high,0.29639887340727283,0.6956460670973029,200,283.7896323638332,262.4826935119587,262.4826935119587
calce_20r/2/FUDS_50SOC,calce_20r,FUDS,B,abs_dI_dt_A_s,low,0.0,0.13723335349289284,1000,139.64699199441233,126.03943430474129,126.03943430474129
calce_20r/2/FUDS_50SOC,calce_20r,FUDS,B,abs_dI_dt_A_s,medium,0.13723335349289284,0.44329183567587604,800,153.79750579258146,138.6546283443883,138.63593287257194
calce_20r/2/FUDS_50SOC,calce_20r,FUDS,B,abs_dI_dt_A_s,high,0.44329183567587604,1.5254220737121182,200,189.9460831706544,167.35935745222037,167.01454894631283
calce_20r/2/FUDS_80SOC,calce_20r,FUDS,B,abs_dI_dt_A_s,low,0.0,0.10481462268689087,1000,259.6763646527794,251.28896715621354,251.28896715621354
calce_20r/2/FUDS_80SOC,calce_20r,FUDS,B,abs_dI_dt_A_s,medium,0.10481462268689087,0.35208761041258346,800,277.2388254833644,266.90655196595054,266.90655196595054
calce_20r/2/FUDS_80SOC,calce_20r,FUDS,B,abs_dI_dt_A_s,high,0.35208761041258346,0.8911175924098484,200,300.0455993868619,279.00306984259043,279.00306984259043
calce_20r/2/US06_50SOC,calce_20r,US06,B,abs_dI_dt_A_s,low,0.0,0.10731725169745239,1000,167.155237898557,142.19111012179195,142.19111012179195
calce_20r/2/US06_50SOC,calce_20r,US06,B,abs_dI_dt_A_s,medium,0.10731725169745239,0.38212241040601963,800,170.4602741790649,151.1535618605935,151.1535618605935
calce_20r/2/US06_50SOC,calce_20r,US06,B,abs_dI_dt_A_s,high,0.38212241040601963,1.343045292451539,200,202.55611965194657,172.9185488637366,172.9185488637366
calce_20r/2/US06_80SOC,calce_20r,US06,B,abs_dI_dt_A_s,low,0.0,0.08707872858167512,1000,277.70870180885885,265.41035434803865,265.41035434803865
calce_20r/2/US06_80SOC,calce_20r,US06,B,abs_dI_dt_A_s,medium,0.08707872858167512,0.2986584890384541,800,287.0432502866692,275.70066543853994,275.70066543853994
calce_20r/2/US06_80SOC,calce_20r,US06,B,abs_dI_dt_A_s,high,0.2986584890384541,0.8698757705252284,200,334.4867636877665,311.7392695774079,311.7392695774079
calce_a123/007/DST,calce_a123,DST,B,abs_dI_dt_A_s,low,0.0,4.667415509840416e-05,1000,200.2031565908184,131.01987461116275,116.65403574839496
calce_a123/007/DST,calce_a123,DST,B,abs_dI_dt_A_s,medium,4.667415509840416e-05,0.23908214285272983,800,185.19815311601192,124.06584019526981,115.23360379888247
calce_a123/007/DST,calce_a123,DST,B,abs_dI_dt_A_s,high,0.23908214285272983,1.121297564775525,200,247.27805253388988,172.1345790416821,98.53931572741769
calce_a123/007/FUDS,calce_a123,FUDS,B,abs_dI_dt_A_s,low,0.0,0.12921136318954593,1000,162.01071888853645,98.08345041921967,87.32764241704149
calce_a123/007/FUDS,calce_a123,FUDS,B,abs_dI_dt_A_s,medium,0.12921136318954593,0.42897551497560193,800,208.29235218497237,149.14848207413306,117.84913119093783
calce_a123/007/FUDS,calce_a123,FUDS,B,abs_dI_dt_A_s,high,0.42897551497560193,1.0422801422049417,200,296.19955200378973,233.2305045712908,190.72213525428836
calce_a123/007/US06,calce_a123,US06,B,abs_dI_dt_A_s,low,0.0,0.10651619985205771,1000,144.1421072655971,97.88091282042068,88.72557296959424
calce_a123/007/US06,calce_a123,US06,B,abs_dI_dt_A_s,medium,0.10651619985205771,0.3683639139591186,800,189.82737954208434,136.39598098750997,128.3870790640528
calce_a123/007/US06,calce_a123,US06,B,abs_dI_dt_A_s,high,0.3683639139591186,1.291639784694054,200,252.40633478316232,185.17167596921666,174.94067963782473
calce_a123/008/DST,calce_a123,DST,B,abs_dI_dt_A_s,low,0.0,4.4842726323494555e-05,1000,206.70031050676334,143.9494128987041,123.75906754991931
calce_a123/008/DST,calce_a123,DST,B,abs_dI_dt_A_s,medium,4.4842726323494555e-05,0.23914398247877924,800,186.84484728992328,132.26142069259376,118.5702260208969
calce_a123/008/DST,calce_a123,DST,B,abs_dI_dt_A_s,high,0.23914398247877924,1.1201171195856552,200,307.20619619170714,213.0308345352382,103.37805458584647
