dataset,cell,window,run_id,run_short,protocol,parameter_match_grade,parameter,delta,time_s,residual_mV,response_mV_per_unit,abs_current_A,progress_fraction,valid,response_rms_mV,cosine_alignment,projection_fraction
calce_20r,2,DST_50SOC,calce_20r/2/DST_50SOC,20R DST50,DST,B,Dsn,0.2,0.0,66.17849205371407,0.0,1.9243103452026844e-05,0.0,True,0.6046781180263681,0.8182040242924821,0.6694578253684127
calce_20r,2,DST_50SOC,calce_20r/2/DST_50SOC,20R DST50,DST,B,Dsn,0.2,3.031179934681859,66.1784537908563,4.786393503763975e-08,1.9243103452026844e-05,0.0004497035773057642,True,0.6046781180263681,0.8182040242924821,0.6694578253684127
calce_20r,2,DST_50SOC,calce_20r/2/DST_50SOC,20R DST50,DST,B,Dsn,0.2,6.061788622839231,66.17842095917447,9.09261554937757e-08,1.9243103452026844e-05,0.0008993224049064231,True,0.6046781180263681,0.8182040242924821,0.6694578253684127
calce_20r,2,DST_50SOC,calce_20r/2/DST_50SOC,20R DST50,DST,B,Dsn,0.2,10.078114660711435,66.17838411796484,1.343303246414962e-07,1.9243103452026844e-05,0.0014951815177858385,True,0.6046781180263681,0.8182040242924821,0.6694578253684127
calce_20r,2,DST_50SOC,calce_20r/2/DST_50SOC,20R DST50,DST,B,Dsn,0.2,13.109236019634409,66.17835929455308,1.6145085268703951e-07,1.9243103452026844e-05,0.0019448764048360316,True,0.6046781180263681,0.8182040242924821,0.6694578253684127
calce_20r,2,DST_50SOC,calce_20r/2/DST_50SOC,20R DST50,DST,B,Dsn,0.2,16.109364594201907,85.4214162120619,0.0007401770540926833,0.499945729970932,0.0023899732256890144,True,0.6046781180263681,0.8182040242924821,0.6694578253684127
calce_20r,2,DST_50SOC,calce_20r/2/DST_50SOC,20R DST50,DST,B,Dsn,0.2,20.1405007163994,87.59085333017458,0.0028565829879312332,0.499945729970932,0.0029880295515497773,True,0.6046781180263681,0.8182040242924821,0.6694578253684127
calce_20r,2,DST_50SOC,calce_20r/2/DST_50SOC,20R DST50,DST,B,Dsn,0.2,23.17121613514973,88.28325947523474,0.003958387098101923,0.499945729970932,0.0034376642136210037,True,0.6046781180263681,0.8182040242924821,0.6694578253684127
calce_20r,2,DST_50SOC,calce_20r/2/DST_50SOC,20R DST50,DST,B,Dsn,0.2,26.187353532059205,88.90640219026213,0.00483255195637966,0.500126302242279,0.0038851360913266884,True,0.6046781180263681,0.8182040242924821,0.6694578253684127
calce_20r,2,DST_50SOC,calce_20r/2/DST_50SOC,20R DST50,DST,B,Dsn,0.2,30.234515794687468,89.58467602477515,0.00581769977414659,0.499945729970932,0.004485570043338793,True,0.6046781180263681,0.8182040242924821,0.6694578253684127
calce_20r,2,DST_50SOC,calce_20r/2/DST_50SOC,20R DST50,DST,B,Dsn,0.2,33.249743522919744,90.03622245743692,0.006457718497721032,0.499945729970932,0.004932906963283106,True,0.6046781180263681,0.8182040242924821,0.6694578253684127
calce_20r,2,DST_50SOC,calce_20r/2/DST_50SOC,20R DST50,DST,B,Dsn,0.2,36.29610629450326,90.36472745951407,0.0070469350765822725,0.499945729970932,0.00538486305486234,True,0.6046781180263681,0.8182040242924821,0.6694578253684127
calce_20r,2,DST_50SOC,calce_20r/2/DST_50SOC,20R DST50,DST,B,Dsn,0.2,40.31220515706445,90.92523820085185,0.007755500708306329,0.4997650980949402,0.005980688464183325,True,0.6046781180263681,0.8182040242924821,0.6694578253684127
calce_20r,2,DST_50SOC,calce_20r/2/DST_50SOC,20R DST50,DST,B,Dsn,0.2,43.34339164305129,91.32840211402194,0.008249791801917539,0.499945729970932,0.006430393013435774,True,0.6046781180263681,0.8182040242924821,0.6694578253684127
