k,t_pulse_start,pulse_s,I_A,V_start,dV_pulse_mV,dV_relax_mV,rest_s,n_pulse,n_rest,score_mV
4,22307.601051,150.01122233332717,-0.000650966922559367,0.930126699183599,-279.209655034814,37.95267851907591,12756.014822333338,154,1427,317.1623335538899
6,35213.96067766668,150.01102999998693,-0.0006509700140572643,0.688869722667861,-121.29599767905796,24.221056140315,10935.01481033329,154,1223,145.51705381937296
8,46299.3211746666,150.01104866688547,-0.0006509697564324397,0.591794781129118,-87.34837568712095,20.02528263569392,9114.015336333126,154,1020,107.37365832281486
10,55563.68089500012,150.0113793333585,-0.0006509749089289327,0.524471688077691,-69.80241375870393,18.11811286086601,9114.014751333118,154,1020,87.92052661956994
12,64828.04105466684,150.01103566655365,-0.0006509743936792839,0.47259667020237,-59.122263019666995,16.40166006352001,7293.01420333331,154,817,75.523923083187
14,72271.40113666657,150.01127833354985,-0.0006509713021813877,0.429876067246223,-51.68430089783699,15.638792153588987,7293.013314000127,154,817,67.32309305142599
16,79714.75919266655,150.0110263335664,-0.0006509684683083163,0.393830558501975,-46.34422552832002,14.685207266176004,5472.014006333513,154,614,61.02943279449602
18,85337.1200933334,150.0111213332275,-0.0006509738784296339,0.362171540239831,-41.76701806873301,14.303773311210023,5472.013694000052,154,614,56.07079137994303
20,90959.47995466656,150.01105200011807,-0.0006509728479303367,0.334708295482308,-38.334112474042,13.540905401278003,3651.01411633307,154,410,51.875017875320005
22,94760.83783966681,150.01145633302804,-0.0006509700140572643,0.309724371432062,-35.28264083431798,13.350188423795984,3651.014153999873,154,410,48.632829258113965
24,98562.20066766684,150.01102533312223,-0.0006509684683083163,0.28779191902154,-32.994037104523976,13.731622378761966,5472.014494666684,154,613,46.72565948328594
26,104184.55876966668,150.0113176668092,-0.000650969498807615,0.268529504295778,-30.705433374731,12.587320513864992,3651.013937666503,154,411,43.292753888595996
28,107985.91828266684,150.0114846664801,-0.0006509723326806865,0.250411391434912,-28.416829644936968,12.587320513864992,3651.013801666806,154,410,41.00415015880196
30,111787.27869166668,150.01102866671863,-0.0006509692411827904,0.234391165326357,-25.365358005212002,12.015169581415991,3651.0138299998653,154,410,37.38052758662799
32,115588.63742266655,150.01104700008,-0.0006509692411827905,0.221040976902561,-18.499546815830993,11.06158469400198,3651.014112999852,154,410,29.561131509832972
34,119389.99737733343,150.01141466666013,-0.000650972075055861,0.213412297803249,-13.159471446312992,10.870867716519989,3651.0138169999263,154,410,24.03033916283298
36,123191.35607666663,150.01119600012316,-0.0006509723326806871,0.211123694073456,-12.205886558898982,11.443018648967989,3651.0149626668135,154,410,23.64890520786697
38,126992.71655300015,150.0112386666151,-0.0006509715598062119,0.210170109186042,-12.20588655889901,11.443018648967989,3651.013879999926,154,410,23.648905207867
40,130794.07477166675,150.01109133336286,-0.0006509689835579658,0.209597958253593,-12.58732051386402,11.824452603933,3651.015320999999,154,410,24.41177311779702
42,134595.43614200017,150.01161033310927,-0.0006509725903055117,0.208835090343662,-12.778037491346982,12.205886558898982,3651.0139643335133,154,410,24.983924050245964
44,138396.79702533348,150.01104933323222,-0.0006509692411827904,0.208072222433731,-12.968754468830001,12.587320513863991,3651.0140909998736,154,410,25.556074982693993
46,142198.15622633352,150.0112133330549,-0.0006509767123027054,0.207690788478765,-13.540905401277975,12.778037491346982,3651.0134609998495,154,410,26.318942892624957
48,145999.51458500017,150.0114759998396,-0.0006509687259331405,0.206927920568834,-13.922339356243985,12.778037491346982,3651.014316000248,154,410,26.700376847590967
50,149800.87482133321,150.0110256668122,-0.0006509684683083157,0.20597433568142,-14.113056333727004,12.778037491347982,3651.0134203331836,154,410,26.891093825074986
52,153602.23308066683,150.01140166670666,-0.000650968725933141,0.204639316839041,-14.303773311209994,13.159471446312992,3651.0136866665853,154,410,27.463244757522986
54,157403.59300266657,150.0111020001932,-0.0006509676954338417,0.203113581019178,-14.303773311208994,12.968754468829975,3651.0133740001475,154,410,27.27252778003897
56,161204.95078800013,150.0110713331669,-0.0006509702716820882,0.201778562176799,-14.875924243657995,12.77803749134701,3651.014048000041,154,410,27.653961735005005
58,165006.30979599984,150.01135633367812,-0.0006509743936792833,0.199871392401971,-15.066641221140987,12.778037491346982,3651.014045666496,154,410,27.84467871248797
