cycle,step,n_rows,dur_s,mean_I_A,absmax_I_A,V_start,V_end
1,1,49,14399.98,0.0,0.0,2.7292232513,2.9019911289
1,2,9450000,2199737.6210000003,0.0,0.0,2.9019918442,0.8845480084
1,3,85155,2206937.611,0.0,0.0,2.9098417759,0.8797786236
1,4,187027,1113922.42,-4.415456248830383e-05,4.41571e-05,2.9485411644,0.009994694
1,7,1981,19799.97999999998,0.0,0.0,0.0204779096,0.0416576639
1,8,8640000,1026899.99,0.0,0.0,0.0416465439,0.651848495
1,9,77856,1034099.98,0.0,0.0,0.0417777412,0.6478723288
1,10,172412,1027315.1710000001,4.415453431431687e-05,4.41562e-05,0.0542923585,1.0000075102
1,13,1981,19799.97999999998,0.0,0.0,0.9965894222,0.8852485418
2,2,8910000,2134826.699,0.0,0.0,0.5436006188,0.8779951334
2,3,80289,2142026.689,0.0,0.0,0.5628191829,0.871815145
2,4,178128,1060028.8020000001,-4.415448141336567e-05,4.41568e-05,0.8756830096,0.0099998815
2,7,1981,19799.97999999998,0.0,0.0,0.0198893808,0.0459034033
2,8,8640000,1026899.9899999998,0.0,0.0,0.0459308289,0.68057549
2,9,77856,1034099.9799999995,0.0,0.0,0.0460079126,0.6755148768
2,10,172194,1027097.8669999996,4.415453535779411e-05,4.41562e-05,0.0573268905,1.0
2,13,1981,19799.979999999516,0.0,0.0,0.9966465235,0.8788883686
3,2,9000000,2144109.1690000007,0.0,0.0,0.5445204973,0.8800803423
3,3,81100,2151309.159,0.0,0.0,0.56092453,0.8725326657
3,4,179153,1070052.745,-4.4154488320039296e-05,4.41561e-05,0.8677356839,0.0099991402
3,7,1981,19799.980000000447,0.0,0.0,0.0185314603,0.0391315669
3,8,8640000,1026899.9900000002,0.0,0.0,0.0391478725,0.8605610132
3,9,77856,1034099.9800000004,0.0,0.0,0.0392657258,0.8312411904
3,10,171453,1026356.3940000003,4.4153677195499644e-05,4.41557e-05,0.0498628393,1.0000154972
3,13,1981,19799.980000000447,0.0,0.0,0.9968059063,0.8811381459
4,2,9000000,2144922.2920000004,0.0,0.0,0.5479332209,0.8641658425
4,3,81100,2152122.2820000006,0.0,0.0,0.5616969466,0.8560458422
4,4,179269,1070168.2240000004,-4.41546389760639e-05,4.41565e-05,0.8692004681,0.0099991402
4,7,1981,19799.980000000447,0.0,0.0,0.0194876343,0.0428554788
4,8,8640000,1026899.9900000002,0.0,0.0,0.0428562202,0.6915670633
4,9,77856,1034099.9800000004,0.0,0.0,0.0429510996,0.6852595806
4,10,172151,1027054.0380000006,4.415472953453653e-05,4.4157e-05,0.0539424941,1.0000103712
4,13,1981,19799.980000000447,0.0,0.0,0.9970349073,0.8652821779
5,2,8820000,1048499.9910000004,0.0,0.0,0.5442061424,0.0456662141
5,3,79478,1055699.9810000006,0.0,0.0,0.5571700931,0.0597932376
5,4,177942,1059842.8279999997,-4.415474656123905e-05,4.41567e-05,0.8527937531,0.0099954354
5,7,1981,19799.980000000447,0.0,0.0,0.019935336,0.0484917648
5,8,8640000,1026899.9910000004,0.0,0.0,0.0484806485,0.7387539744
5,9,77856,1034099.9810000006,0.0,0.0,0.0485451333,0.7282472253
5,10,171894,1026797.273,4.415479312715976e-05,4.41567e-05,0.0601865128,1.0000007153
5,13,1981,19799.979999998584,0.0,0.0,0.9970371723,0.8645327687
