cycle,step,n_rows,dur_s,mean_I_A,absmax_I_A,V_start,V_end
1,1,49,14399.98,0.0,0.0,2.7674927711,2.9428532124
1,2,9180000,2159102.4480000003,0.0,0.0,2.9428682327,0.9967216253
1,3,82722,2166302.438,0.0,0.0,2.9503996372,0.9803652763
1,4,181195,1081093.999,-4.32022745743536e-05,4.32053e-05,2.9881942272,0.0099884178
1,7,2161,21599.97999999998,-5.787301064322073e-06,4.31975e-05,0.0099928621,0.0100454371
1,8,8550000,1016099.99,0.0,0.0,0.0102875009,0.7509861588
1,9,77045,1023299.98,0.0,0.0,0.0109308474,0.7396307588
1,10,170004,1015908.4180000001,4.320126709548011e-05,4.32044e-05,0.0238796528,1.0000100136
1,13,2161,21599.97999999998,9.498116612679315e-07,4.31971e-05,0.999987781,0.9999499917
2,2,8730000,2105122.754,0.0,0.0,0.5625169277,0.9958250523
2,3,78667,2112322.744,0.0,0.0,0.5826073289,0.9749959707
2,4,174127,1038029.0290000001,-4.320228243982839e-05,4.32052e-05,0.9753655791,0.009998044
2,7,2161,21599.97999999998,-5.006236603424341e-06,4.31968e-05,0.0100246947,0.0100409929
2,8,8550000,1016099.9900000002,0.0,0.0,0.010131292,0.7878433466
2,9,77045,1023299.9800000004,0.0,0.0,0.0104992352,0.7713195682
2,10,169889,1015793.6940000001,4.3199685446968314e-05,4.32035e-05,0.0217496026,1.0000034571
2,13,2161,21599.980000000447,1.0922454419250346e-06,4.31903e-05,1.0000189543,0.9999648929
3,2,8820000,2115226.6740000006,0.0,0.0,0.5687889457,0.9950073957
3,3,79478,2122426.664000001,0.0,0.0,0.5829545856,0.9701481462
3,4,175493,1048394.2110000001,-4.3198838749123895e-05,4.32034e-05,0.971280396,0.0099987853
3,7,2161,21599.979999999516,-4.632938315594633e-06,4.31994e-05,0.0100372825,0.0100654233
3,8,8550000,1016099.9899999993,0.0,0.0,0.0100942738,0.8705350757
3,9,77045,1023299.9799999995,0.0,0.0,0.0104377903,0.8367323875
3,10,169628,1015532.432,4.3201085519489705e-05,4.32041e-05,0.0218066107,1.0000070333
3,13,2161,21599.980000000447,1.088842341508561e-06,4.31963e-05,1.0000070333,0.9999536872
4,2,8730000,2105282.000999999,0.0,0.0,0.5662989616,0.9945623875
4,3,78667,2112481.9909999995,0.0,0.0,0.5809213519,0.9675357342
4,4,174096,1037998.0300000003,-4.320243041999816e-05,4.32052e-05,0.9661784768,0.009998044
4,7,2161,21599.980000000447,-5.2163718186024985e-06,4.3198e-05,0.0100180339,0.010066906
4,8,8550000,1016099.9900000002,0.0,0.0,0.010116484,0.7393938303
4,9,77045,1023299.9800000004,0.0,0.0,0.0104873888,0.7283449769
4,10,170079,1015983.9409999996,4.3201899925328805e-05,4.32046e-05,0.0221153479,1.0000070333
4,13,2161,21599.979999998584,1.2196165664044425e-06,4.31967e-05,0.9999944568,0.9999418855
5,2,8640000,1026899.9900000002,0.0,0.0,0.5653415918,0.0415102206
5,3,77856,1034099.9799999986,0.0,0.0,0.5796375275,0.0568055175
5,4,173890,1037792.5809999984,-4.3202795559836674e-05,4.32057e-05,0.963978529,0.0099973027
5,7,2161,21599.979999998584,-5.181620823692734e-06,4.31997e-05,0.0100202542,0.0100247059
5,8,8550000,1016099.9899999984,0.0,0.0,0.0102438219,0.6887087226
5,9,77045,1023299.9799999986,0.0,0.0,0.0103904083,0.6816523671
5,10,170351,1016255.538999999,4.320381736943134e-05,4.32061e-05,0.0226728451,1.0000300407
5,13,2161,21599.980000000447,1.2631389634428504e-06,4.31953e-05,0.9999700189,0.9999729991
