cycle,step,n_rows,dur_s,mean_I_A,absmax_I_A,V_start,V_end
1,1,73,21599.98,0.0,0.0,2.7837283611,3.0160996914
1,2,16160,161589.31600000002,-4.32756288490099e-05,4.32777e-05,3.0002844334,0.0099927252
1,3,2881,28799.98000000001,0.0,0.0,0.0228842329,0.0824394673
1,4,14848,148461.31100000002,4.327549670662716e-05,4.32773e-05,0.0966956839,1.0000014305
1,5,2881,28799.98000000004,0.0,0.0,0.9951844811,0.6517304778
2,2,15741,157394.82400000008,-4.3275057734578486e-05,4.32773e-05,0.6476589441,0.0099993953
2,3,2881,28799.980000000098,0.0,0.0,0.0198786836,0.0797533616
2,4,15639,156373.16800000006,4.327555367350854e-05,4.32777e-05,0.0900398418,1.0000081062
2,5,2881,28799.97999999998,0.0,0.0,0.9957953095,0.7850440741
3,2,16177,161759.735,-4.3275168634481055e-05,4.3277e-05,0.7810783982,0.0099971713
3,3,2881,28799.97999999998,0.0,0.0,0.0177040193,0.0774119049
3,4,16087,160858.96899999992,4.32753393298937e-05,4.32773e-05,0.0861612186,1.0000081062
3,5,2881,28799.97999999998,0.0,0.0,0.996162951,0.8878418207
4,2,16404,164026.56799999997,-4.32752447695684e-05,4.32774e-05,0.883936286,0.00999643
4,3,2881,28799.97999999998,0.0,0.0,0.0179404598,0.0773125887
4,4,16290,162888.47800000012,4.327581505831799e-05,4.32779e-05,0.0853696391,1.0000029802
4,5,2881,28799.97999999998,0.0,0.0,0.9968107343,0.8887654543
5,2,16610,166085.45900000003,-4.3275227423239015e-05,4.32772e-05,0.8852245212,0.0099956887
5,3,2881,28799.97999999998,0.0,0.0,0.017052507,0.0749881938
5,4,16501,164991.79099999997,4.327502694382159e-05,4.32773e-05,0.0827310234,1.0000007153
5,5,2881,28799.97999999998,0.0,0.0,0.9966136813,0.8892235756
