parameter,label,group,factor,rate,voltage_rms_shift_mV,cutoff_capacity_shift_pct,rmse_mV,capacity_error_pct
Dsn,Negative particle diffusivity,solid_transport,0.8,C10,1.4192004340371958,-0.046036781749884036,81.62627030893496,2.391343761178009
Dsn,Negative particle diffusivity,solid_transport,0.8,C2,6.050080205009862,-0.23192902296138188,110.18614559105264,2.424431640504173
Dsn,Negative particle diffusivity,solid_transport,0.8,1C,10.103126227279242,-0.4674082845132139,56.38270538756413,0.522106613031074
Dsn,Negative particle diffusivity,solid_transport,0.8,1p5C,12.46480882684327,-0.7027605475614747,53.38214251533351,-1.2318977483748494
Dsn,Negative particle diffusivity,solid_transport,1.2,C10,0.9477594493624407,0.03068255628539999,82.80025912680689,2.469933902688941
Dsn,Negative particle diffusivity,solid_transport,1.2,C2,4.070684094873735,0.15464064614944636,119.3950255291153,2.821293865666839
Dsn,Negative particle diffusivity,solid_transport,1.2,1C,6.83521965093114,0.31154820640981734,79.44963983965448,1.3088071909815029
Dsn,Negative particle diffusivity,solid_transport,1.2,1p5C,8.46330127547489,0.46799341823221435,44.38590422088163,-0.06738252073458055
Dsp,Positive particle diffusivity,solid_transport,0.8,C10,2.986761374740844,-0.04999975071882723,79.97566997740546,2.3872841550858728
Dsp,Positive particle diffusivity,solid_transport,0.8,C2,10.377307123705807,-0.0827043792955266,108.3698698298091,2.5776294438149097
Dsp,Positive particle diffusivity,solid_transport,0.8,1C,18.15340599528691,-0.14987394516869407,54.209341501467854,0.842797757135199
Dsp,Positive particle diffusivity,solid_transport,0.8,1p5C,24.506237177180136,-0.29468185904056793,43.02889041811969,-0.8259936380813562
Dsp,Positive particle diffusivity,solid_transport,1.2,C10,1.9893763298341796,0.03264938939166501,83.9011528866461,2.471948697082483
Dsp,Positive particle diffusivity,solid_transport,1.2,C2,7.011900387784634,0.05412748317251281,120.99947377189253,2.718104503684776
Dsp,Positive particle diffusivity,solid_transport,1.2,1C,12.612595546510827,0.09531563818852457,81.16979716205813,1.0904249214020776
Dsp,Positive particle diffusivity,solid_transport,1.2,1p5C,17.239109583288414,0.16999536908208757,55.57749064325406,-0.36379259166452055
j0n,Negative exchange-current density,kinetics,0.8,C10,3.6205821455337595,-0.048482301666171186,79.33414942719176,2.3888386071814973
