parameter,factor,rate,rmse_mV,mae_mV,bias_mV,Q_exp_Ah,Q_sim_Ah,capacity_error_pct,runtime_s
BASELINE,1.0,C10,82.33269564510856,64.94824533495661,64.94824533495661,4.99775592,5.119626355603564,2.4385031513016218,1.2034969940000053
BASELINE,1.0,C2,115.80890895505135,87.96807110939886,87.69112029973786,4.92394309,5.055044840342846,2.662535856864377,1.2034969940000053
BASELINE,1.0,1C,70.0201912418658,64.22124212866589,64.22124212866589,4.92969848,4.978707653802137,0.9941616916525285,1.2034969940000053
BASELINE,1.0,1p5C,46.83735555078302,39.806487857945804,27.08661234268426,4.92251608,4.896284873635219,-0.5328820858779475,1.2034969940000053
Dsn,0.8,C10,81.62627030893496,64.61256975118069,64.61256975118069,4.99775592,5.117269444391825,2.391343761178009,1.2813740240000016
Dsn,0.8,C2,110.18614559105264,84.86417659613791,84.60003930425806,4.92394309,5.043320724234379,2.424431640504173,1.2813740240000016
Dsn,0.8,1C,56.38270538756413,53.283693569721684,53.283693569721684,4.92969848,4.955436761766572,0.522106613031074,1.2813740240000016
Dsn,0.8,1p5C,53.38214251533351,45.69560212395795,19.841566370689723,4.92251608,4.86187571524709,-1.2318977483748494,1.2813740240000016
Dsn,1.2,C10,82.80025912680689,65.17022135070724,65.17022135070724,4.99775592,5.121197187841724,2.469933902688941,1.165292438999984
Dsn,1.2,C2,119.3950255291153,89.95175107850757,89.66549051890179,4.92394309,5.062861994347096,2.821293865666839,1.165292438999984
Dsn,1.2,1C,79.44963983965448,70.81193015583722,70.81193015583722,4.92969848,4.994218728199946,1.3088071909815029,1.165292438999984
Dsn,1.2,1p5C,44.38590422088163,37.21941302154384,34.65709744249685,4.92251608,4.919199164581731,-0.06738252073458055,1.165292438999984
Dsp,0.8,C10,79.97566997740546,62.358829565762676,62.356007483256974,4.99775592,5.1170665551880266,2.3872841550858728,1.1440588950000006
Dsp,0.8,C2,108.3698698298091,78.47439250084128,77.95235560773304,4.92394309,5.0508640968845295,2.5776294438149097,1.1440588950000006
Dsp,0.8,1C,54.209341501467854,47.30387773685234,47.044206672509354,4.92969848,4.971245868222968,0.842797757135199,1.1440588950000006
Dsp,0.8,1p5C,43.02889041811969,34.5641720539216,5.278795990890206,4.92251608,4.8818564103456685,-0.8259936380813562,1.1440588950000006
Dsp,1.2,C10,83.9011528866461,66.67808382278436,66.67808382278436,4.99775592,5.121297882347803,2.471948697082483,1.0950477540000065
Dsp,1.2,C2,120.99947377189253,94.36042747571842,94.25431199007208,4.92394309,5.057781008888165,2.718104503684776,1.0950477540000065
Dsp,1.2,1C,81.16979716205813,75.92386528681794,75.92386528681794,4.92969848,4.983453140775899,1.0904249214020776,1.0950477540000065
Dsp,1.2,1p5C,55.57749064325406,50.01111004368752,42.12178566635794,4.92251608,4.9046083311774655,-0.36379259166452055,1.0950477540000065
j0n,0.8,C10,79.33414942719176,61.69242711978192,61.65985433525459,4.99775592,5.117144242909659,2.3888386071814973,1.096496435000006
j0n,0.8,C2,108.18626175344673,79.3793443586515,78.24230462221786,4.92394309,5.051184466480773,2.584135806508141,1.096496435000006
j0n,0.8,1C,59.558127810651136,52.97075410027195,52.97075410027195,4.92969848,4.974173340217562,0.9021821597811434,1.096496435000006
j0n,0.8,1p5C,40.929396408469934,33.985106505656866,16.92145573489452,4.92251608,4.890895892900516,-0.6423582287106424,1.096496435000006
j0n,1.2,C10,84.37150769257988,67.16238402783269,67.16238402783269,4.99775592,5.12131620347608,2.4723152841781713,1.1118934109999827
j0n,1.2,C2,121.72540962259541,94.74858818024074,94.74858818024074,4.92394309,5.05793190858388,2.721169114565868,1.1118934109999827
j0n,1.2,1C,78.36171845582398,73.02207726586185,73.02207726586185,4.92969848,4.982153029715175,1.0640518873108586,1.1118934109999827
j0n,1.2,1p5C,52.40664286168482,45.77991014205504,35.61842604048794,4.92251608,4.900405966968658,-0.4491628401413396,1.1118934109999827
j0p,0.8,C10,82.02123280202095,64.58859747058823,64.58859747058823,4.99775592,5.11944638769564,2.4349021769682504,0.9939562659999979
