time_s,voltage_V,capacity_Ah
0.000000000000000000e+00,4.037713830274228144e+00,0.000000000000000000e+00
7.015337124398776832e-03,4.037675891013481788e+00,9.743523783887190307e-06
1.403067424879755366e-02,4.037637989103370906e+00,1.948704756777438061e-05
2.806134849759510733e-02,4.037562264857868399e+00,3.897409513554876123e-05
5.612269699519021465e-02,4.037411186027300758e+00,7.794819027109752246e-05
1.122453939903804293e-01,4.037110059121800099e+00,1.558963805421950449e-04
2.244907879807608586e-01,4.036513575251408525e+00,3.117927610843900898e-04
3.367361819711413018e-01,4.035921682970995406e+00,4.676891416265851077e-04
5.612269699519021326e-01,4.034755218410202460e+00,7.794819027109752517e-04
7.857177579326629635e-01,4.033606902823024143e+00,1.091274663795365396e-03
1.010208545913423794e+00,4.032476668621121974e+00,1.403067424879755540e-03
1.459190121874945456e+00,4.030260555141859768e+00,2.026652947048535828e-03
1.908171697836467118e+00,4.028111391009179698e+00,2.650238469217316116e-03
2.806134849759510441e+00,4.024018834024738922e+00,3.897409513554876692e-03
3.704098001682553765e+00,4.020186054218616079e+00,5.144580557892437268e-03
4.602061153605597532e+00,4.016594774882969787e+00,6.391751602229997845e-03
5.500024305528641300e+00,4.013225445784009082e+00,7.638922646567558421e-03
6.397987457451685067e+00,4.010062296952678906e+00,8.886093690905118997e-03
7.295950609374728835e+00,4.007084399192775592e+00,1.013326473524267871e-02
9.091876913220815482e+00,4.001620990691643343e+00,1.262760682391779986e-02
1.088780321706690302e+01,3.996724214673458064e+00,1.512194891259292101e-02
1.268372952091299055e+01,3.992298069057401033e+00,1.761629100126804043e-02
1.447965582475907809e+01,3.988282953365124950e+00,2.011063308994315985e-02
1.627558212860516562e+01,3.984612626666062418e+00,2.260497517861827926e-02
1.807150843245125316e+01,3.981265834184624097e+00,2.509931726729339868e-02
1.986743473629734069e+01,3.978176939740211804e+00,2.759365935596851810e-02
2.166336104014342823e+01,3.975335452662297264e+00,3.008800144464363752e-02
2.345928734398951576e+01,3.972711093881541089e+00,3.258234353331875693e-02
2.525521364783560330e+01,3.970281492661961842e+00,3.507668562199387635e-02
2.705113995168169083e+01,3.968031131850687565e+00,3.757102771066899577e-02
3.064299255937386590e+01,3.963995850016485356e+00,4.255971188801923460e-02
3.423484516706604097e+01,3.960500594495026228e+00,4.754839606536947344e-02
3.782669777475821604e+01,3.957442095508079127e+00,5.253708024271971228e-02
4.141855038245039111e+01,3.954789900380395906e+00,5.752576442006995111e-02
4.501040299014256618e+01,3.952435541502904215e+00,6.251444859742019688e-02
4.860225559783474125e+01,3.950429838643138680e+00,6.750313277477043572e-02
5.219410820552691632e+01,3.948612833859890703e+00,7.249181695212067456e-02
5.578596081321909139e+01,3.947035749051938325e+00,7.748050112947091339e-02
5.937781342091126646e+01,3.945646525556895767e+00,8.246918530682115223e-02
